Region-County-District-Type-School (RCDTS) ,District/Parent Entity,Facility,Enrollment PreK-12,Unduplicated Count  Non-compliant-Immunization Requirements,Non-compliant with Physical Exam Only,Total Excluded,School Compliance %,Protected and in compliance,Religious objection,Medical reasons ,Approved schedule,McKinney Vento Act,Unprotected and in noncompliance,Vaccination Acquired,No Vaccination,Protection %,year,state
04101014X100000,Boone/Winnebago ROE,St Peter Cathedral School,118.0,0.0,0.0,0.0,1.0,118.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,1.0,2018,IL
04101020X100000,Boone/Winnebago ROE,St Rita School,261.0,0.0,5.0,5.0,0.9808429118773946,257.0,0.0,4.0,0.0,0.0,0.0,257.0,4.0,0.9846743295019157,2018,IL
04101021X100000,Boone/Winnebago ROE,St Peters School,79.0,0.0,0.0,0.0,1.0,72.0,2.0,0.0,5.0,0.0,0.0,72.0,7.0,0.9113924050632911,2018,IL
04101022Z060000,Boone/Winnebago ROE,Rockford Lutheran School,810.0,0.0,0.0,0.0,1.0,796.0,12.0,0.0,2.0,0.0,0.0,796.0,14.0,0.9827160493827161,2018,IL
04101023Z260000,Boone/Winnebago ROE,Rockford Christian Schools,1003.0,0.0,0.0,0.0,1.0,956.0,44.0,1.0,2.0,0.0,0.0,956.0,47.0,0.9531405782652044,2018,IL
04101025X020000,Boone/Winnebago ROE,Cathedral Baptist School,128.0,0.0,0.0,0.0,1.0,123.0,5.0,0.0,0.0,0.0,0.0,123.0,5.0,0.9609375,2018,IL
04101026X140000,Boone/Winnebago ROE,House of Grace Learning Ctr,8.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,2018,IL
04101027X010000,Boone/Winnebago ROE,Spectrum School,70.0,0.0,0.0,0.0,1.0,65.0,4.0,0.0,1.0,0.0,0.0,65.0,5.0,0.9285714285714286,2018,IL
04101030Z200000,Boone/Winnebago ROE,North Love Christian School,86.0,0.0,0.0,0.0,1.0,79.0,7.0,0.0,0.0,0.0,0.0,79.0,7.0,0.9186046511627907,2018,IL
04101032Z140000,Boone/Winnebago ROE,Christian Life Center School,449.0,0.0,0.0,0.0,1.0,425.0,23.0,0.0,1.0,0.0,0.0,425.0,24.0,0.9465478841870824,2018,IL
04101070X160000,Boone/Winnebago ROE,Montessori Private Academy Inc,194.0,78.0,0.0,0.0,0.5979381443298969,115.0,1.0,0.0,0.0,0.0,78.0,115.0,79.0,0.5927835051546392,2018,IL
04101088X230000,Boone/Winnebago ROE,Rockford Iqra School,153.0,30.0,0.0,0.0,0.803921568627451,135.0,4.0,0.0,0.0,0.0,14.0,135.0,18.0,0.8823529411764706,2018,IL
04101094Z100000,Boone/Winnebago ROE,Our Lady Sacred Heart Acad,79.0,3.0,0.0,0.0,0.9620253164556962,57.0,14.0,0.0,5.0,0.0,3.0,57.0,22.0,0.7215189873417721,2018,IL
04101095Y140000,Boone/Winnebago ROE,Lydia Urban Academy-Rockford,21.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,2018,IL
04101096X060000,Boone/Winnebago ROE,Alpine Academy,109.0,12.0,8.0,0.0,0.8165137614678899,100.0,2.0,0.0,0.0,0.0,7.0,100.0,9.0,0.9174311926605505,2018,IL
041011220220002,Harlem UD 122,Harlem High School,1514.0,55.0,0.0,27.0,0.9636723910171731,1491.0,4.0,0.0,0.0,0.0,19.0,1491.0,23.0,0.9848084544253632,2018,IL
041011220220003,Harlem UD 122,Harlem HS -  9th Grade Campus,501.0,20.0,10.0,0.0,0.9401197604790419,481.0,0.0,0.0,0.0,0.0,20.0,481.0,20.0,0.9600798403193613,2018,IL
041011220221005,Harlem UD 122,Harlem Middle School,990.0,3.0,1.0,2.0,0.9959595959595959,977.0,6.0,4.0,0.0,0.0,3.0,977.0,13.0,0.9868686868686869,2018,IL
041011220222005,Harlem UD 122,Loves Park Elem School,338.0,9.0,0.0,1.0,0.9733727810650887,318.0,10.0,1.0,0.0,0.0,9.0,318.0,20.0,0.9408284023668639,2018,IL
041011220222006,Harlem UD 122,Maple Elem School,273.0,21.0,0.0,21.0,0.9230769230769231,253.0,0.0,0.0,0.0,0.0,20.0,253.0,20.0,0.9267399267399268,2018,IL
041011220222007,Harlem UD 122,Marquette Elem School,296.0,2.0,0.0,0.0,0.9932432432432432,290.0,4.0,0.0,0.0,0.0,2.0,290.0,6.0,0.9797297297297297,2018,IL
041011220222008,Harlem UD 122,Rock Cut Elem School,432.0,0.0,0.0,0.0,1.0,429.0,3.0,0.0,0.0,0.0,0.0,429.0,3.0,0.9930555555555556,2018,IL
041011220222010,Harlem UD 122,Ralston Elem School,334.0,25.0,0.0,2.0,0.9251497005988024,308.0,1.0,2.0,0.0,0.0,23.0,308.0,26.0,0.9221556886227545,2018,IL
041011220222011,Harlem UD 122,Windsor Elem School,417.0,7.0,0.0,1.0,0.9832134292565947,403.0,6.0,1.0,1.0,0.0,6.0,403.0,14.0,0.9664268585131894,2018,IL
041011220222013,Harlem UD 122,Machesney Elem School,373.0,2.0,0.0,0.0,0.9946380697050938,370.0,2.0,1.0,0.0,0.0,0.0,370.0,3.0,0.9919571045576407,2018,IL
