county,num_schools,num_students,full_immunization_count,full_immunization_perc,temp_medical_exemp_count,temp_medical_exemp_perc,perm_medical_exemp_count,perm_medical_exemp_perc,religious_exemp_count,religious_exemp_perc,30_day_exemp_count,30_day_exemp_perc,year,state
Liberty,4,99,98,99.0,0,0.0,0,0.0,0,0.0,1,1.0,2019,FL
Madison,5,203,200,98.5,1,0.5,1,0.5,0,0.0,1,0.5,2019,FL
Manatee,28,"3,961","3,857",97.4,30,0.8,2,0.1,68,1.7,4,0.1,2019,FL
Marion,19,"3,253","3,166",97.3,17,0.5,2,0.1,52,1.6,16,0.5,2019,FL
Martin,9,"1,397","1,346",96.3,11,0.8,1,0.1,39,2.8,0,0.0,2019,FL
Monroe,8,690,650,94.2,5,0.7,3,0.4,32,4.6,0,0.0,2019,FL
Nassau,7,949,933,98.3,4,0.4,3,0.3,9,0.9,0,0.0,2019,FL
Okaloosa,24,"2,542","2,454",96.5,24,0.9,7,0.3,57,2.2,0,0.0,2019,FL
Okeechobee,5,535,531,99.3,2,0.4,0,0.0,1,0.2,1,0.2,2019,FL
Orange,80,"15,836","14,951",94.4,599,3.8,44,0.3,215,1.4,27,0.2,2019,FL
Osceola,35,"5,320","4,950",93.0,278,5.2,8,0.2,75,1.4,8,0.2,2019,FL
Palm Beach,76,"15,208","14,508",95.4,409,2.7,12,0.1,275,1.8,3,0.0,2019,FL
Pasco,35,"5,832","5,675",97.3,20,0.3,10,0.2,124,2.1,3,0.1,2019,FL
Pinellas,53,"7,740","7,483",96.7,30,0.4,12,0.2,205,2.6,10,0.1,2019,FL
Polk,56,"7,861","7,663",97.5,86,1.1,10,0.1,94,1.2,5,0.1,2019,FL
Putnam,8,884,863,97.6,7,0.8,1,0.1,11,1.2,2,0.2,2019,FL
Santa Rosa,14,"2,364","2,303",97.4,8,0.3,2,0.1,47,2.0,4,0.2,2019,FL
Sarasota,25,"3,519","3,327",94.5,11,0.3,10,0.3,170,4.8,1,0.0,2019,FL
Seminole,23,"5,241","5,082",97.0,27,0.5,10,0.2,122,2.3,0,0.0,2019,FL
St Johns,20,"3,509","3,413",97.3,8,0.2,3,0.1,80,2.3,5,0.1,2019,FL
St Lucie,22,"3,238","3,163",97.7,14,0.4,6,0.2,54,1.7,1,0.0,2019,FL
Sumter,8,736,717,97.4,1,0.1,1,0.1,17,2.3,0,0.0,2019,FL
Suwannee,6,504,492,97.6,3,0.6,0,0.0,9,1.8,0,0.0,2019,FL
Taylor,2,204,202,99.0,0,0.0,0,0.0,1,0.5,1,0.5,2019,FL
Union,2,220,218,99.1,0,0.0,1,0.5,1,0.5,0,0.0,2019,FL
Volusia,27,"4,989","4,803",96.3,53,1.1,11,0.2,113,2.3,9,0.2,2019,FL
Wakulla,5,359,353,98.3,0,0.0,0,0.0,6,1.7,0,0.0,2019,FL
Walton,10,808,776,96.0,5,0.6,1,0.1,22,2.7,4,0.5,2019,FL
Washington,5,282,280,99.3,0,0.0,0,0.0,2,0.7,0,0.0,2019,FL
Deaf/Blind (St Johns),2,42,40,95.2,1,2.4,0,0.0,1,2.4,0,0.0,2019,FL
FL Virtual (Statewide),1,482,435,90.2,6,1.2,4,0.8,35,7.3,0,0.0,2019,FL
