,unnamed:_0,total_agriculture,total_construction,total_manufacturing,total_wholesale_trade,total_retail_trade,transportation_warehousing_utilities,total_information,total_finance_and_real_estate,total_scientific_administrative_and_waste_management_services,total_educational_healthcare_and_social_assistance,total_arts_and_entertainment,total_other_services,total_public_administration,total_management_business_science_and_arts_occupations,total_service_occupations,total_sales_and_office_occupations,total_natural_resources_and_maintenance_occupations,"total_production,_transportation,_and_material_moving_occupations",population_of_one_race_total,white,black_or_african_american,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_other_pacific_islander,population_of_one_race_some_other_race,median_age:_total,ed_total,ed_no_schooling_completed,ed_nursery_school,ed_kindergarten,ed_1st_grade,ed_2nd_grade,ed_3rd_grade,ed_4th_grade,ed_5th_grade,ed_6th_grade,ed_7th_grade,ed_8th_grade,ed_9th_grade,e_10th_grade,ed_11th_grade,ed_12th_grade_no_diploma,median_income,unemployed_pop_16_years_and_over,in_civilian_labor_force,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,state_fip,county_fip
346,"Chambers County, Texas: Summary level: 050, state:48> county:071",587,2103,3779,676,1579,1683,140,1046,1338,3607,1241,689,449,7246,1909,3620,2683,3459,40399,36369,2997,63,465,0,505,35.2,26117,433,0,0,7,108,90,110,22,441,111,231,247,410,430,354,37261,1127,20044,668,1606,2359,41023,16,41305,48,071
347,"Cherokee County, Texas: Summary level: 050, state:48> county:073",1354,2041,2325,260,2310,965,237,728,1244,5688,1204,873,1022,5825,3759,3957,2876,3834,51088,42374,7092,329,241,43,1009,37.9,33977,625,65,26,83,87,133,236,111,1086,113,695,902,973,1059,933,23891,1341,21592,1705,3154,4369,49386,169,52118,48,073
348,"Childress County, Texas: Summary level: 050, state:48> county:075",233,269,202,18,244,164,0,73,174,842,80,181,373,967,661,418,399,408,7089,6189,583,0,76,0,241,34.5,5178,67,0,0,0,0,33,0,47,62,20,87,139,146,247,85,27867,253,3106,43,328,670,5747,0,7253,48,075
349,"Clay County, Texas: Summary level: 050, state:48> county:077",399,284,527,88,496,270,62,236,221,1098,282,239,217,1443,656,1006,555,759,10237,9879,52,106,117,0,83,46.6,7558,95,0,0,10,0,0,11,25,13,95,99,59,138,109,61,27652,250,4669,224,430,559,10313,86,10403,48,077
350,"Cochran County, Texas: Summary level: 050, state:48> county:079",383,75,53,22,93,131,8,53,25,228,30,48,59,288,149,194,319,258,2816,2565,144,2,0,0,105,35.1,1881,75,0,0,5,44,17,48,42,98,39,43,77,45,69,6,25346,107,1315,208,277,298,2863,0,2887,48,079
351,"Coke County, Texas: Summary level: 050, state:48> county:081",118,101,61,36,170,183,5,31,102,434,87,71,49,467,260,232,335,154,3276,2971,32,22,0,0,251,48.1,2502,20,0,0,0,0,9,0,14,84,32,31,40,109,48,20,25556,43,1491,125,86,263,3206,1,3303,48,081
352,"Coleman County, Texas: Summary level: 050, state:48> county:083",302,197,359,95,471,243,70,137,236,762,125,325,220,1141,337,785,523,756,8026,7300,134,95,42,4,451,47.2,6147,48,0,0,8,14,28,0,7,31,18,201,79,134,117,144,26692,124,3666,444,475,1007,8299,0,8334,48,083
353,"Collin County, Texas: Summary level: 050, state:48> county:085",4349,26036,42228,14663,57786,17444,19280,59731,88753,101977,41627,22969,12337,272908,62244,114318,26497,33213,943870,673508,94720,4560,147553,762,22767,36.9,638328,5451,109,88,173,313,980,923,3009,6006,1138,2967,3748,4494,4062,5990,46479,19659,528839,19957,34313,44659,971106,2428,973977,48,085
354,"Collingsworth County, Texas: Summary level: 050, state:48> county:087",220,91,98,19,75,44,0,16,78,424,116,87,43,397,281,201,253,179,2876,2283,273,62,0,0,258,39.6,1966,33,0,0,0,10,11,26,28,88,12,2,28,51,143,82,21048,128,1439,132,177,361,2904,6,2969,48,087
355,"Colorado County, Texas: Summary level: 050, state:48> county:089",886,829,1054,289,1138,612,24,353,704,2177,757,328,402,2761,1641,1981,1560,1610,20817,15520,2740,64,5,0,2488,42.9,14338,242,18,0,7,0,67,144,87,360,75,241,355,204,235,389,29522,342,9895,839,827,1449,20909,13,21224,48,089
356,"Comal County, Texas: Summary level: 050, state:48> county:091",1174,6970,4248,2117,8021,2916,1275,4326,8057,13657,7201,3095,3172,27171,9983,15685,6762,6628,138310,128737,2901,376,1597,44,4655,42.2,98736,1277,9,19,102,85,160,84,236,276,374,620,990,1041,849,1169,36265,2344,68573,2898,5632,7448,140424,143,141642,48,091
357,"Comanche County, Texas: Summary level: 050, state:48> county:093",589,490,729,97,779,507,65,237,185,1414,332,274,277,1987,873,1106,930,1079,13383,12684,177,99,82,0,341,44.8,9571,210,0,21,16,18,40,12,29,202,75,182,140,194,246,96,27745,216,6191,365,563,946,13327,11,13529,48,093
358,"Concho County, Texas: Summary level: 050, state:48> county:095",140,82,39,10,111,15,20,29,34,200,64,93,68,285,156,230,150,84,3257,3157,41,14,13,0,32,45.3,2626,77,0,19,4,7,60,13,14,147,24,106,100,56,138,79,24384,12,917,4,63,209,2195,3,3266,48,095
359,"Cooke County, Texas: Summary level: 050, state:48> county:097",1558,1181,3030,360,1802,955,196,723,1141,3655,3055,1006,641,5721,4015,3546,2152,3869,38909,36719,1125,320,344,31,370,40.7,27025,335,20,1,0,4,24,72,150,306,104,336,617,926,437,434,30926,908,20211,1151,2011,2525,39576,1,40041,48,097
360,"Coryell County, Texas: Summary level: 050, state:48> county:099",293,1784,1487,537,2959,1217,247,1107,2393,5488,1944,1074,3502,7443,5100,5507,3006,2976,68587,54825,10234,567,1546,592,823,31.8,47776,466,17,0,6,4,63,89,285,341,318,657,1042,1037,979,445,26408,2092,26124,777,2739,2654,57995,50,75280,48,099
361,"Cottle County, Texas: Summary level: 050, state:48> county:101",141,34,0,6,75,19,3,36,35,198,23,34,66,153,226,136,117,38,1561,1149,238,15,0,0,159,37.1,1067,10,0,0,0,0,9,17,0,14,14,33,68,25,38,26,19886,61,731,3,109,83,1642,0,1642,48,101
362,"Crane County, Texas: Summary level: 050, state:48> county:103",650,203,83,35,108,143,31,55,86,506,81,58,105,517,324,368,610,325,4802,2543,129,15,95,0,2020,32.7,2902,74,0,0,4,13,29,8,40,109,15,26,102,89,59,27,27260,30,2174,184,166,359,4706,0,4802,48,103
363,"Crockett County, Texas: Summary level: 050, state:48> county:105",489,321,19,20,95,45,0,54,54,409,70,73,89,456,227,391,467,197,3449,1494,24,0,0,0,1931,38.8,2370,6,0,0,0,0,37,3,23,0,13,0,167,142,103,50,31618,0,1738,64,266,387,3418,0,3484,48,105
364,"Crosby County, Texas: Summary level: 050, state:48> county:107",312,239,99,55,241,99,25,118,173,571,250,136,171,656,507,548,455,323,5746,5148,212,0,33,11,342,38.4,3747,111,3,0,0,7,28,37,43,108,31,97,75,130,164,65,22188,141,2630,207,449,587,5758,0,5836,48,107
365,"Culberson County, Texas: Summary level: 050, state:48> county:109",143,67,7,5,50,33,2,14,71,237,202,85,90,234,294,160,238,80,2152,1733,3,1,13,0,402,34.4,1425,31,0,1,47,6,55,26,32,96,10,39,16,40,61,20,16921,102,1108,76,145,223,2208,78,2214,48,109
366,"Dallam County, Texas: Summary level: 050, state:48> county:111",795,246,437,94,220,264,0,78,54,421,797,95,199,919,770,486,562,963,7145,6550,56,86,142,0,311,31.7,4511,129,0,0,0,0,2,62,35,257,91,159,191,196,106,109,30367,72,3772,832,652,737,7262,0,7304,48,111
367,"Dallas County, Texas: Summary level: 050, state:48> county:113",9133,137272,107817,39295,140355,85121,28953,113413,187301,232477,125254,69968,28650,455568,222862,289323,154805,182451,2538015,1597069,588903,10155,163971,1240,176677,33.4,1669564,41396,298,465,2792,6138,12788,7307,10683,61387,12955,29676,60284,32919,35440,30360,31136,65324,1370333,99906,204511,232589,2588571,6778,2606868,48,113
368,"Dawson County, Texas: Summary level: 050, state:48> county:115",659,300,216,108,476,257,35,227,240,1187,279,237,268,1144,904,969,785,687,12291,9638,1036,143,24,0,1450,33.5,8084,425,8,0,4,58,139,40,33,165,120,196,456,204,411,173,21316,275,4764,352,693,756,11065,38,12813,48,115
369,"Deaf Smith County, Texas: Summary level: 050, state:48> county:117",1182,647,1705,131,951,534,32,184,364,1188,536,662,334,1946,1322,1328,1638,2216,18052,16799,191,123,118,18,803,31.9,10999,456,0,0,24,88,172,125,54,362,303,196,221,278,467,131,28087,336,8786,698,1534,1327,18532,84,18736,48,117
370,"Delta County, Texas: Summary level: 050, state:48> county:119",130,162,304,67,257,96,29,132,93,570,122,112,114,844,353,361,274,356,5144,4594,461,4,28,0,57,44.3,3603,50,0,0,0,0,7,5,0,13,14,46,96,46,110,54,26636,67,2255,73,223,290,5183,0,5249,48,119
371,"Denton County, Texas: Summary level: 050, state:48> county:121",4190,24451,36763,15488,53955,25398,12580,49239,61857,93677,42220,21387,12186,211773,61006,108701,27522,44389,803635,619566,81758,3993,72510,707,25101,35.5,547409,6686,143,217,113,396,605,659,941,4456,905,3124,6632,4638,4353,7167,40677,18215,471606,16487,34617,40318,830187,1541,833822,48,121
372,"DeWitt County, Texas: Summary level: 050, state:48> county:123",1281,765,642,163,939,296,39,321,381,1502,514,384,483,2208,1358,1639,1313,1192,20093,13159,1900,242,4,0,4788,41.0,14385,159,0,0,9,69,34,39,75,332,148,328,522,379,432,242,27063,598,8308,324,829,1433,18413,37,20340,48,123
373,"Dickens County, Texas: Summary level: 050, state:48> county:125",75,56,72,13,62,56,20,24,52,149,98,50,42,207,163,156,125,118,2198,2023,59,21,11,0,84,46.0,1639,17,0,0,0,0,0,0,17,0,0,49,61,48,43,20,23000,83,852,44,108,236,2088,0,2203,48,125
374,"Dimmit County, Texas: Summary level: 050, state:48> county:127",632,195,94,39,137,307,18,128,118,739,543,114,266,752,725,998,372,483,10376,9366,4,0,147,0,859,34.3,6468,389,0,0,0,73,109,44,258,310,243,216,153,121,201,56,15656,514,3844,324,664,1138,10326,0,10438,48,127
375,"Donley County, Texas: Summary level: 050, state:48> county:129",265,132,47,20,165,112,20,82,126,303,99,61,64,445,256,317,325,153,3274,3002,189,12,12,0,59,41.4,2194,17,0,0,0,0,0,0,6,23,11,8,23,40,83,37,23774,39,1535,50,166,239,3271,5,3342,48,129
376,"Duval County, Texas: Summary level: 050, state:48> county:131",1035,302,218,12,326,92,48,151,131,1433,146,240,180,857,1354,588,949,566,11259,10705,148,0,0,0,406,36.1,7094,130,0,0,29,37,40,87,79,253,159,261,268,312,345,230,20615,465,4779,274,1296,796,10754,0,11268,48,131
377,"Eastland County, Texas: Summary level: 050, state:48> county:133",567,532,562,68,1028,441,126,272,417,1944,503,241,330,2512,1268,1293,941,1017,18144,16816,599,64,123,0,542,41.2,12485,141,0,0,0,3,0,2,66,106,175,203,269,394,366,220,20255,357,7388,336,1015,1752,18010,0,18273,48,133
378,"Ector County, Texas: Summary level: 050, state:48> county:135",11409,6896,4622,2833,10060,5620,695,3675,4415,11844,6372,4498,2021,17482,11682,17827,13232,14737,155777,129198,7702,927,1909,47,15994,30.4,95420,2169,0,9,91,284,667,410,649,2455,885,1415,3062,3156,4672,3023,31823,4846,79806,8694,11700,12879,159427,150,160579,48,135
379,"Edwards County, Texas: Summary level: 050, state:48> county:137",161,119,17,0,67,115,9,43,44,154,74,49,16,139,249,240,203,37,1917,1912,0,1,0,0,4,49.1,1465,141,0,0,0,17,22,0,0,30,12,47,57,26,50,7,19526,0,868,60,170,145,1906,0,1918,48,137
380,"Ellis County, Texas: Summary level: 050, state:48> county:139",1110,7833,11206,2574,10145,6472,1542,5722,8199,17248,6178,3909,3234,29786,10765,21360,10211,13250,167235,141636,17580,1386,1120,85,5428,36.2,111737,1636,0,52,131,139,387,180,180,2066,859,990,2820,1748,2437,1803,34653,3007,88379,5961,9274,10516,172528,234,173772,48,139
381,"El Paso County, Texas: Summary level: 050, state:48> county:141",3778,22292,23040,9335,41741,25189,6418,16800,38161,90199,35617,14878,24842,109424,74002,89101,32219,47544,813852,666059,27876,5215,10421,1133,103148,32.2,510680,15451,188,88,865,1893,4720,2918,3713,24746,3075,7276,15618,7879,9470,12068,23153,22773,375063,23423,66917,71743,811690,2764,836062,48,141
382,"Erath County, Texas: Summary level: 050, state:48> county:143",1486,1137,2508,462,1978,944,303,698,1446,4908,2233,1258,715,6312,4391,4124,2276,2973,41065,37186,799,679,388,85,1928,30.4,24233,394,0,0,55,16,82,27,182,246,72,194,308,296,346,626,23502,743,20819,1270,3222,2429,41333,15,41841,48,143
383,"Falls County, Texas: Summary level: 050, state:48> county:145",533,354,1072,200,675,361,46,218,258,1301,357,303,319,1434,1032,1226,708,1597,17091,12433,4233,86,82,0,257,39.0,12209,306,0,0,0,15,69,0,44,200,146,305,427,426,417,464,21182,310,6307,308,1287,1002,15526,77,17272,48,145
384,"Fannin County, Texas: Summary level: 050, state:48> county:147",668,1277,1927,445,1324,722,262,829,913,3577,717,473,864,4561,2163,3087,2024,2163,33395,30288,1953,267,232,13,642,41.3,24275,257,2,5,3,34,31,0,121,145,199,364,565,660,864,280,28875,553,14551,885,1654,2532,31653,70,34537,48,147
385,"Fayette County, Texas: Summary level: 050, state:48> county:149",822,1119,1086,403,1222,779,82,843,647,2079,1039,563,579,2962,1750,2854,1732,1965,24949,22671,1645,11,125,0,497,47.0,18267,274,0,0,0,15,156,2,46,275,98,343,256,375,229,472,30069,382,11645,610,691,1360,24726,49,25141,48,149
386,"Fisher County, Texas: Summary level: 050, state:48> county:151",218,124,158,22,156,109,15,53,59,458,97,119,121,563,317,326,249,254,3671,3408,102,46,12,0,103,44.6,2677,53,0,0,4,0,32,15,20,17,30,26,49,43,57,25,27609,78,1787,91,149,242,3838,0,3856,48,151
387,"Floyd County, Texas: Summary level: 050, state:48> county:153",469,127,81,31,279,253,0,133,145,609,160,99,113,683,521,431,476,388,5705,5375,242,3,10,0,75,37.2,3770,151,0,0,20,13,64,61,40,86,31,115,157,117,59,60,25377,131,2630,243,418,577,5766,0,5803,48,153
388,"Foard County, Texas: Summary level: 050, state:48> county:155",80,78,40,16,53,21,0,32,27,127,29,33,34,143,148,91,109,79,1151,1048,29,6,0,0,68,51.2,937,2,0,0,0,0,29,0,0,12,12,23,13,23,49,7,21806,58,628,46,35,101,1239,0,1275,48,155
389,"Fort Bend County, Texas: Summary level: 050, state:48> county:157",18775,21825,32433,12309,41559,18892,5768,25220,48110,89976,26308,15410,10450,185246,45253,81397,23105,32034,743774,395904,157134,2600,154513,408,33215,36.3,490211,9259,74,186,175,864,1448,858,1481,4266,1879,2903,5050,5257,5595,6716,40880,19761,386796,15534,30885,39309,760164,2925,765394,48,157
390,"Franklin County, Texas: Summary level: 050, state:48> county:159",323,326,649,99,548,349,15,319,208,1113,355,248,246,1627,768,1006,475,922,10324,9213,473,31,5,0,602,43.2,7289,192,0,0,0,0,13,0,24,58,5,43,18,135,100,43,28613,326,5124,341,446,708,10622,0,10716,48,159
391,"Freestone County, Texas: Summary level: 050, state:48> county:161",881,583,507,151,644,505,66,447,472,1415,583,428,354,1885,1483,1409,1033,1226,19372,15857,2995,83,139,0,298,41.5,13915,286,18,0,0,10,28,26,5,262,138,237,394,385,367,265,26288,320,7356,561,905,1083,18047,4,19714,48,161
392,"Frio County, Texas: Summary level: 050, state:48> county:163",991,575,286,204,603,510,0,124,392,1304,772,367,506,1604,1520,1123,1092,1295,19507,16342,718,27,170,0,2250,31.2,12449,500,0,22,50,116,353,179,135,317,228,345,678,395,570,325,17164,478,7112,542,1288,1483,15664,62,19871,48,163
393,"Gaines County, Texas: Summary level: 050, state:48> county:165",1538,1605,400,330,692,626,146,275,149,1452,387,400,228,2311,1016,1505,2172,1224,20646,19578,522,57,102,9,378,27.8,11319,672,28,0,8,79,205,38,123,998,448,523,408,408,271,113,27542,471,8699,2560,1887,2489,20597,15,20706,48,165
394,"Galveston County, Texas: Summary level: 050, state:48> county:167",3512,12505,14895,3387,14537,8019,1746,9804,18366,40743,15682,7280,6538,66580,25751,31568,14742,18373,323317,262336,41809,1306,10946,123,6797,37.7,223167,2463,56,55,31,117,555,497,556,1962,1014,2186,3382,4060,4419,3168,34255,10423,167437,7713,16859,20799,327847,222,332885,48,167
395,"Garza County, Texas: Summary level: 050, state:48> county:169",196,151,126,33,120,141,27,49,71,477,285,74,190,639,548,300,247,206,5989,5120,347,16,119,0,387,41.1,4509,97,0,0,39,32,108,73,72,359,132,203,271,145,176,26,23376,51,1991,45,276,304,4208,0,6070,48,169
396,"Gillespie County, Texas: Summary level: 050, state:48> county:171",741,1371,921,195,1369,431,263,665,732,2406,2073,574,346,3964,2666,2615,1521,1321,25651,24065,29,854,32,0,671,50.0,19327,284,0,0,18,10,44,30,94,231,55,220,253,366,250,279,28772,540,12627,1638,1268,2101,26117,60,26459,48,171
397,"Glasscock County, Texas: Summary level: 050, state:48> county:173",375,36,27,32,4,57,0,15,57,97,0,11,27,244,93,52,94,255,1510,1003,0,0,0,0,507,30.8,887,0,0,0,0,0,8,12,0,71,65,56,29,5,25,0,23286,0,738,31,187,91,1510,0,1510,48,173
398,"Goliad County, Texas: Summary level: 050, state:48> county:175",363,260,344,50,303,150,35,133,192,780,258,99,137,1080,462,652,407,503,7529,6119,445,0,55,0,910,46.1,5315,138,0,0,0,0,50,53,44,54,115,100,119,127,74,30,27950,162,3266,178,191,357,7464,0,7565,48,175
399,"Gonzales County, Texas: Summary level: 050, state:48> county:177",1049,738,1489,450,919,516,48,326,423,1449,630,346,430,1965,1314,1799,1494,2241,20404,13784,1382,64,76,5,5093,36.3,13376,328,0,0,124,61,147,140,84,284,179,120,630,370,494,156,27132,306,9119,520,1374,1859,20450,50,20731,48,177
400,"Gray County, Texas: Summary level: 050, state:48> county:179",1091,1082,662,241,994,506,73,296,414,1925,762,421,549,2342,1611,2035,1751,1277,21789,19089,1007,286,150,45,1212,36.5,14794,207,0,19,27,82,87,48,52,280,142,176,548,440,488,336,26651,527,9543,566,1515,1910,20803,28,22410,48,179
401,"Grayson County, Texas: Summary level: 050, state:48> county:181",980,5555,7574,1318,7887,3020,696,3763,4937,13543,5858,3416,2442,18572,11563,13975,6932,9947,126418,113326,7182,1401,2080,12,2417,39.9,88311,1074,15,13,26,26,97,140,132,787,306,865,1337,1925,1697,1514,27892,2908,63897,4307,7523,10538,129692,255,131014,48,181
402,"Gregg County, Texas: Summary level: 050, state:48> county:183",2756,3598,6051,1510,7095,2781,522,2790,4737,13052,5445,3075,1698,16193,10660,12193,6231,9833,120076,92086,24707,271,1586,130,1296,35.6,79821,793,13,0,227,134,214,185,457,1993,275,762,1508,2120,2501,1529,25980,2697,57807,3880,8679,9716,121085,83,123443,48,183
403,"Grimes County, Texas: Summary level: 050, state:48> county:185",873,982,1218,141,1434,737,44,516,844,2040,635,633,573,2888,1777,2232,1735,2038,27195,21756,4244,137,55,0,1003,40.4,19186,241,0,32,15,39,15,46,102,424,194,325,421,572,900,391,26262,667,11337,730,983,1658,24570,57,27984,48,185
404,"Guadalupe County, Texas: Summary level: 050, state:48> county:187",1426,5051,7665,2126,10308,4206,1225,4568,6568,15472,6216,3858,6145,25414,12035,18176,7497,11712,153928,116778,13085,524,2720,377,20444,37.0,104489,1333,36,25,0,80,327,177,245,712,564,1002,2048,1567,2023,1653,33952,2777,77611,2954,7235,7752,156604,310,158966,48,187
405,"Hale County, Texas: Summary level: 050, state:48> county:189",1226,1063,1055,519,2239,974,71,632,770,3142,1001,803,860,3838,2657,3084,2015,2761,32276,29018,1706,235,104,6,1207,33.4,20884,463,0,0,121,105,343,161,243,430,244,414,876,590,614,284,25386,718,15073,1107,2657,2714,32100,32,33826,48,189
406,"Hall County, Texas: Summary level: 050, state:48> county:191",272,100,57,31,96,77,15,32,84,186,122,58,109,306,276,250,272,135,2925,2376,197,35,8,0,309,44.6,2080,25,0,0,18,26,7,0,27,75,14,31,59,68,37,37,20053,141,1380,48,274,405,2993,2,3048,48,191
407,"Hamilton County, Texas: Summary level: 050, state:48> county:193",424,341,192,35,380,199,4,162,135,915,313,168,141,1065,583,593,586,582,8223,7939,66,120,0,0,98,45.8,5923,29,0,0,5,20,8,0,4,141,23,143,151,95,244,83,24120,71,3480,155,583,591,8116,0,8332,48,193
408,"Hansford County, Texas: Summary level: 050, state:48> county:195",764,105,61,73,186,129,0,79,94,447,178,200,58,767,422,351,538,296,5466,5055,17,8,4,0,382,35.1,3373,160,0,0,0,0,38,17,21,298,73,61,130,135,81,73,24501,107,2481,408,374,476,5441,0,5520,48,195
409,"Hardeman County, Texas: Summary level: 050, state:48> county:197",251,82,153,29,116,111,8,113,28,469,162,78,101,524,354,316,277,230,3854,3469,232,45,0,0,108,43.5,2765,32,0,0,4,12,30,14,15,37,13,50,95,81,128,73,19629,142,1843,44,256,245,3935,0,3945,48,197
410,"Hardin County, Texas: Summary level: 050, state:48> county:199",665,2758,2816,738,3078,1149,165,1376,2099,4465,2193,1366,1208,7898,3749,5403,3142,3884,55990,51841,3279,163,351,0,356,39.2,38280,416,0,0,8,0,4,5,72,226,154,415,800,809,1038,660,30905,878,24954,1380,2822,3647,56320,145,56765,48,199
411,"Harris County, Texas: Summary level: 050, state:48> county:201",72917,231835,211388,76844,239890,149386,28062,132749,290715,430264,202887,126847,54879,810995,388801,474461,261282,313124,4533677,2905947,884292,19269,324288,3104,396777,33.5,2963957,79913,569,806,4720,10866,20976,12816,21626,94090,20825,39717,83812,48162,55605,56408,31323,138920,2387583,158267,354222,406777,4624525,15817,4646630,48,201
412,"Harrison County, Texas: Summary level: 050, state:48> county:203",1832,1966,3799,880,2763,1482,207,1312,1881,7053,1998,1834,927,9613,4653,5132,3363,5173,65231,49704,13760,205,528,14,1020,38.7,43881,644,0,0,76,72,105,114,87,385,148,440,915,1103,1488,893,26572,1594,29528,1778,3071,4858,65819,70,66580,48,203
413,"Hartley County, Texas: Summary level: 050, state:48> county:205",416,72,167,73,205,73,0,116,80,569,115,61,63,722,315,393,296,284,5441,4808,425,20,82,0,106,38.1,4273,0,0,0,0,0,0,0,57,161,16,81,147,117,122,44,34152,8,2018,149,304,186,4130,10,5669,48,205
414,"Haskell County, Texas: Summary level: 050, state:48> county:207",333,280,45,17,308,126,10,72,59,360,319,174,110,549,440,453,455,316,5606,5114,228,27,16,0,221,43.5,4008,108,0,0,0,15,84,26,43,39,52,197,154,140,289,44,20731,308,2521,95,319,646,5271,39,5726,48,207
415,"Hays County, Texas: Summary level: 050, state:48> county:209",1154,10085,6627,2455,14598,4308,2520,6585,11548,25387,13388,4986,6167,41518,20079,26054,10866,11291,208116,188901,8997,814,3348,52,6004,32.0,127858,1187,33,0,66,156,383,237,490,1676,263,635,1804,1998,2045,1724,31519,5310,115118,4717,12736,10936,211703,36,213366,48,209
416,"Hemphill County, Texas: Summary level: 050, state:48> county:211",467,108,43,29,248,93,41,125,83,330,125,79,71,560,274,400,410,198,3899,3629,40,0,1,0,229,36.4,2428,43,0,0,0,0,1,0,56,90,0,48,63,49,51,34,35830,98,1940,348,94,498,3958,0,3994,48,211
417,"Henderson County, Texas: Summary level: 050, state:48> county:213",1572,3616,2950,778,4293,1545,434,1416,3100,6834,2228,1850,1603,9243,6547,6793,4596,5040,79915,72540,5404,690,525,26,730,43.9,57241,929,0,2,116,5,59,60,189,624,341,898,1366,1907,2097,848,23787,1695,33914,2202,4814,7260,80091,49,81070,48,213
418,"Hidalgo County, Texas: Summary level: 050, state:48> county:215",10249,27580,15787,9456,43523,16220,4065,13151,28921,95234,30820,19121,13970,91150,77567,77163,42437,39780,840761,737739,4669,1504,8370,96,88383,29.2,479260,17182,96,239,2626,4177,9091,6257,7704,31804,6648,14990,27305,12811,13772,9582,19271,24392,352489,44220,98073,110337,846855,4253,855176,48,215
419,"Hill County, Texas: Summary level: 050, state:48> county:217",991,1470,1957,206,1983,1210,169,673,964,3281,1368,608,547,3821,2734,3455,2308,3109,35009,30697,2340,403,143,59,1367,42.1,24415,416,18,13,4,19,103,57,67,355,171,391,680,554,783,396,25335,1034,16461,877,1623,2822,35029,75,35689,48,217
420,"Hockley County, Texas: Summary level: 050, state:48> county:219",1700,724,485,291,914,633,84,347,553,2429,1027,661,326,2888,1833,2040,1845,1568,22504,20383,746,123,83,21,1148,33.8,14392,416,0,0,0,40,94,212,44,471,196,268,511,327,664,181,25420,826,11000,558,1507,1946,22835,6,23064,48,219
421,"Hood County, Texas: Summary level: 050, state:48> county:221",1146,2471,1468,723,3980,2084,346,1529,2445,4959,1225,1199,1237,8401,3452,5097,3061,4801,57581,55523,466,654,411,46,481,47.0,42070,490,21,0,0,143,139,61,39,552,290,216,554,741,606,593,31204,972,25784,1691,2482,4386,57636,19,58318,48,221
422,"Hopkins County, Texas: Summary level: 050, state:48> county:223",813,1244,1887,777,2245,1067,240,960,909,3616,1128,763,753,4975,2811,3446,2001,3169,35754,30839,2586,112,243,44,1930,39.2,24497,378,0,12,36,0,107,9,88,458,131,358,302,623,727,466,26608,726,17128,1286,2127,3189,36013,63,36486,48,223
423,"Houston County, Texas: Summary level: 050, state:48> county:225",821,529,627,102,873,535,110,347,392,2098,482,503,808,2467,1720,1555,895,1590,22534,16003,5888,82,88,0,473,44.5,16645,170,10,0,25,24,30,65,20,168,95,420,591,460,684,365,21103,154,8381,333,1165,1460,19877,5,22954,48,225
424,"Howard County, Texas: Summary level: 050, state:48> county:227",1879,1100,796,346,1524,581,210,789,837,3659,1188,631,763,4067,2690,3116,2186,2244,35187,30306,2020,430,252,19,2160,36.5,24691,418,11,0,68,39,77,126,128,360,357,526,605,934,776,517,25808,1075,15378,1064,1857,2464,31769,14,36349,48,227
425,"Hudspeth County, Texas: Summary level: 050, state:48> county:229",217,69,84,35,87,54,36,26,99,211,69,6,169,148,405,181,255,173,4296,2974,89,2,34,0,1197,37.0,2936,150,0,0,38,40,105,56,13,318,48,133,210,89,74,32,14326,82,1244,343,194,425,3624,0,4415,48,229
426,"Hunt County, Texas: Summary level: 050, state:48> county:231",682,4110,5480,1196,5317,2288,556,1943,3675,9079,3298,2182,1552,13716,6965,9656,5343,5678,92231,75231,7364,1053,1216,43,7324,38.0,62076,782,0,0,76,3,171,54,192,951,512,703,1543,1455,1965,1197,26198,2210,43568,2756,5039,7343,93354,55,94162,48,231
427,"Hutchinson County, Texas: Summary level: 050, state:48> county:233",605,1061,1614,180,1202,240,19,377,830,1165,700,344,443,1967,1549,1932,1482,1850,20445,19043,344,352,82,150,474,38.0,13977,168,0,0,17,0,7,0,45,87,41,134,257,456,434,317,24896,629,9409,741,1440,1870,21239,0,21344,48,233
428,"Irion County, Texas: Summary level: 050, state:48> county:235",176,54,14,25,33,46,0,15,24,83,89,50,55,197,58,133,104,172,1606,1233,66,0,0,0,307,42.7,1039,0,0,0,0,6,0,0,0,0,0,19,17,8,18,3,30909,41,705,93,70,73,1604,0,1620,48,235
429,"Jack County, Texas: Summary level: 050, state:48> county:237",552,273,94,101,541,261,13,46,247,522,167,118,237,880,417,755,615,505,8782,8227,443,24,9,0,79,39.6,6066,98,0,0,0,0,5,0,0,102,69,104,150,194,155,212,24394,130,3302,259,404,727,7717,0,8852,48,237
430,"Jackson County, Texas: Summary level: 050, state:48> county:239",863,752,1018,155,630,363,63,195,380,1377,380,161,265,1660,1067,1231,1319,1325,14559,12912,1010,0,162,9,466,37.7,9862,304,0,0,0,48,68,0,24,125,28,123,290,336,277,109,27460,230,6832,483,667,1137,14594,13,14816,48,239
431,"Jasper County, Texas: Summary level: 050, state:48> county:241",553,1815,1848,420,1401,745,17,434,558,3250,781,751,891,3594,2874,2432,1964,2600,35015,27455,5889,93,177,58,1343,40.5,24038,139,0,16,0,0,49,50,154,216,179,420,630,734,728,293,24871,1204,14668,919,2044,3085,34598,21,35506,48,241
