,unnamed:_0,total_agriculture,total_construction,total_manufacturing,total_wholesale_trade,total_retail_trade,transportation_warehousing_utilities,total_information,total_finance_and_real_estate,total_scientific_administrative_and_waste_management_services,total_educational_healthcare_and_social_assistance,total_arts_and_entertainment,total_other_services,total_public_administration,total_management_business_science_and_arts_occupations,total_service_occupations,total_sales_and_office_occupations,total_natural_resources_and_maintenance_occupations,"total_production,_transportation,_and_material_moving_occupations",population_of_one_race_total,white,black_or_african_american,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_other_pacific_islander,population_of_one_race_some_other_race,median_age:_total,ed_total,ed_no_schooling_completed,ed_nursery_school,ed_kindergarten,ed_1st_grade,ed_2nd_grade,ed_3rd_grade,ed_4th_grade,ed_5th_grade,ed_6th_grade,ed_7th_grade,ed_8th_grade,ed_9th_grade,e_10th_grade,ed_11th_grade,ed_12th_grade_no_diploma,median_income,unemployed_pop_16_years_and_over,in_civilian_labor_force,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,state_fip,county_fip
228,"Alcona County, Michigan: Summary level: 050, state:26> county:001",106,245,546,54,356,279,71,140,264,621,298,173,196,907,677,720,470,575,10194,10028,41,63,20,7,35,58.2,8514,112,0,3,0,0,4,2,5,9,22,88,107,147,266,142,23311,276,3625,21,157,297,10261,0,10353,26,001
229,"Alger County, Michigan: Summary level: 050, state:26> county:003",124,186,463,41,364,130,65,78,207,514,607,116,217,809,792,700,229,582,8827,7773,702,334,13,0,5,49.5,6992,117,0,0,0,2,5,0,7,15,30,104,75,97,143,112,22430,171,3283,91,250,275,8141,57,9151,26,003
230,"Allegan County, Michigan: Summary level: 050, state:26> county:005",1577,4428,15083,1950,5633,2323,489,1830,3933,9905,4592,2858,1211,17046,8024,10707,6785,13250,113180,108625,1569,398,802,12,1774,39.8,78753,708,15,21,117,9,27,0,73,182,80,1323,681,1488,1378,1045,30827,1581,57393,609,1898,2691,115272,3,116143,26,005
231,"Alpena County, Michigan: Summary level: 050, state:26> county:007",340,677,1657,312,1899,449,253,469,835,3543,1004,702,525,3796,2511,2908,1276,2174,28128,27603,165,103,176,37,44,48.1,21155,133,0,3,5,23,15,6,20,5,21,246,140,359,376,369,24584,809,13474,162,426,908,28172,14,28520,26,007
232,"Antrim County, Michigan: Summary level: 050, state:26> county:009",319,730,1617,197,1263,400,124,450,912,2017,1205,484,332,2913,2043,2257,1113,1724,22852,22292,103,182,82,0,193,51.3,17456,205,4,0,0,0,16,0,0,37,45,117,164,352,373,143,27113,400,10450,202,506,701,23031,0,23206,26,009
233,"Arenac County, Michigan: Summary level: 050, state:26> county:011",199,420,1018,150,789,348,42,176,335,1291,580,323,235,1443,1163,1341,760,1199,14835,14500,62,198,55,0,20,50.0,11390,161,7,0,0,2,5,3,2,27,7,75,153,292,350,228,24345,451,6357,74,342,481,14935,0,15070,26,011
234,"Baraga County, Michigan: Summary level: 050, state:26> county:013",89,161,302,20,350,156,50,126,75,839,332,117,300,820,723,621,281,472,7883,6181,783,842,34,5,38,45.5,6242,18,0,3,0,0,0,0,2,24,38,78,41,139,212,118,25371,191,3108,53,107,241,7302,0,8421,26,013
235,"Barry County, Michigan: Summary level: 050, state:26> county:015",888,2492,6992,910,2813,1179,300,1580,1931,5335,2023,1693,964,8528,4492,6132,4076,5872,59696,58329,415,222,364,4,362,42.5,42357,303,0,0,0,29,13,0,3,26,56,329,410,660,668,614,31940,1475,30575,350,869,1255,60161,26,60540,26,015
236,"Bay County, Michigan: Summary level: 050, state:26> county:017",449,2874,7642,1353,5936,2277,738,2232,2988,11875,4490,2590,1604,14016,9348,11076,4569,8039,101709,98568,1796,362,606,0,377,43.4,74642,711,23,18,25,6,46,3,27,121,35,843,1050,1659,1453,1100,27109,3207,50255,692,2352,2223,103211,3,104104,26,017
237,"Benzie County, Michigan: Summary level: 050, state:26> county:019",180,744,881,209,927,251,75,280,550,2085,916,417,315,2514,1680,1544,968,1124,17295,16863,32,304,76,10,10,50.2,13287,136,8,0,0,0,8,0,36,32,4,124,108,123,161,153,27368,369,8199,89,353,481,17430,0,17615,26,019
238,"Berrien County, Michigan: Summary level: 050, state:26> county:021",1050,4345,14204,1306,7437,3873,1101,3141,5415,16558,7672,3622,1898,25016,13109,14792,6679,12026,149300,121313,22561,621,2931,27,1847,42.1,107629,1344,17,0,46,31,40,88,72,323,173,907,1411,2328,2494,1833,27125,4518,76140,1738,3880,4860,153075,134,154133,26,021
239,"Branch County, Michigan: Summary level: 050, state:26> county:023",671,1034,4876,410,2164,1274,198,685,1061,3335,1433,967,619,4318,3111,3824,2051,5423,42834,40858,1032,187,342,15,400,41.2,30314,395,2,0,0,2,18,41,11,165,88,627,222,621,594,504,27280,823,19550,1492,1448,1334,41346,42,43513,26,023
240,"Calhoun County, Michigan: Summary level: 050, state:26> county:025",848,2457,13491,676,7138,2556,683,2598,4301,13669,6197,2772,2646,18089,11868,11657,4715,13703,128171,109110,14148,740,3233,16,924,39.8,91137,779,3,28,28,8,37,16,126,333,180,755,1130,1745,1694,1297,26362,4033,64065,1025,2969,3260,132568,78,134212,26,025
241,"Cass County, Michigan: Summary level: 050, state:26> county:027",407,1529,6809,591,2437,1203,209,1019,1411,4887,1727,1216,424,7011,3318,4720,2817,6003,49966,45779,2666,555,431,0,535,45.2,36775,335,0,0,0,2,33,0,26,93,157,406,818,1131,792,734,29198,1623,25492,492,1055,1631,51401,17,51523,26,027
242,"Charlevoix County, Michigan: Summary level: 050, state:26> county:029",211,993,2479,121,1408,445,118,494,949,2595,1640,592,333,3947,2474,2503,1395,2059,25651,24951,122,410,129,16,23,48.6,19276,79,0,0,4,4,0,2,12,19,7,64,87,331,303,241,29017,515,12893,206,608,910,25935,17,26188,26,029
243,"Cheboygan County, Michigan: Summary level: 050, state:26> county:031",184,1142,922,199,1719,501,100,425,883,1825,1525,620,425,2811,2166,2509,1498,1486,24578,23683,205,527,111,0,52,51.1,19486,140,0,3,0,14,8,0,7,4,5,259,218,442,496,329,24672,849,11319,137,420,1238,25078,6,25418,26,031
244,"Chippewa County, Michigan: Summary level: 050, state:26> county:033",431,844,1009,217,1961,578,172,349,882,3757,2562,826,1935,4531,4439,3162,1234,2157,34661,26615,2265,5342,372,35,32,40.5,26027,136,4,3,0,0,0,21,30,42,76,249,324,525,833,348,22322,1520,17043,219,829,1158,34630,37,37629,26,033
245,"Clare County, Michigan: Summary level: 050, state:26> county:035",392,981,1626,188,1477,486,106,352,707,2134,1349,631,462,2946,2323,2204,1274,2144,30015,29488,190,201,36,0,100,47.2,22457,348,0,3,0,0,6,14,0,39,36,720,298,799,764,450,21058,1222,12113,950,981,1492,30319,18,30651,26,035
246,"Clinton County, Michigan: Summary level: 050, state:26> county:037",932,2366,4321,1112,3700,1530,377,3092,3523,9700,2780,1697,3459,15540,5874,8302,3552,5321,76455,73354,1442,128,1183,0,348,40.6,53883,319,3,26,4,6,12,0,24,12,52,337,307,652,528,674,35099,1387,39976,474,1367,1397,77840,0,78389,26,037
247,"Crawford County, Michigan: Summary level: 050, state:26> county:039",83,376,579,124,811,271,101,239,319,1232,623,247,477,1551,1194,1211,566,960,13672,13337,103,42,129,0,61,50.8,10469,54,0,0,0,0,19,7,0,8,25,101,114,224,342,161,24226,381,5863,110,321,334,13708,0,13892,26,039
248,"Delta County, Michigan: Summary level: 050, state:26> county:041",325,992,2262,321,2019,1006,293,737,797,3716,1583,851,676,4428,2649,3332,1902,3267,34779,33746,121,715,156,4,37,47.4,26468,182,0,1,0,0,0,3,28,25,63,207,164,252,286,352,26120,830,16408,304,710,1029,35643,31,36026,26,041
249,"Dickinson County, Michigan: Summary level: 050, state:26> county:043",307,808,2006,157,1203,494,260,482,763,3076,832,456,405,4090,1863,2230,1276,1790,25018,24356,158,236,166,0,102,46.7,18590,67,0,0,0,0,0,3,16,18,7,64,118,124,283,233,29516,543,11792,213,325,550,25131,0,25439,26,043
250,"Eaton County, Michigan: Summary level: 050, state:26> county:045",513,2886,8739,888,5758,2360,721,3920,4061,12033,3810,2794,4974,19242,8935,11361,4363,9556,106529,94564,7435,647,2552,32,1299,40.9,76765,461,22,16,19,0,62,56,19,82,140,478,516,839,869,808,33721,2682,56139,920,1838,2479,108742,38,109456,26,045
251,"Emmet County, Michigan: Summary level: 050, state:26> county:047",116,1514,1329,246,2276,553,231,838,1343,3734,2806,872,556,5768,3653,3505,1556,1932,32084,30573,246,959,205,30,71,45.5,24091,97,2,0,0,2,0,0,6,17,20,117,184,315,395,326,29031,851,17265,390,845,1060,32780,3,33104,26,047
