school,district,type,county,total_students,total_vaccinated,vaccinated_perc,in_progress,unvacinated,total_waivers,waivers_perc,medical_waivers_n,medical_waivers_perc,religion_waivers_n,religion_wavers_perc,phil_waivers_n,phil_waivers_perc,year,state
Michigan International Prep School,Michigan International Prep School,Pub,Clinton,14,6,42.9,0,5,3,21.4,0,0.0,0,0.0,3,21.4,2019,MI
Leonard Elementary School,Ovid-Elsie Area Schools,Pub,Clinton,101,91,90.1,1,0,9,8.9,0,0.0,2,2.0,7,6.9,2019,MI
St Mary School,Pewamo-Westphalia Community Schools,Priv,Clinton,29,24,82.8,0,0,5,17.2,0,0.0,0,0.0,5,17.2,2019,MI
St Joseph Catholic School,Pewamo-Westphalia Community Schools,Priv,Clinton,23,16,69.6,1,0,6,26.1,0,0.0,1,4.3,5,21.7,2019,MI
Pewamo Elementary School,Pewamo-Westphalia Community Schools,Pub,Clinton,27,26,96.3,0,0,1,3.7,0,0.0,0,0.0,1,3.7,2019,MI
St Joseph Catholic School,St. Johns Public Schools,Priv,Clinton,29,28,96.6,0,0,1,3.4,0,0.0,0,0.0,1,3.4,2019,MI
St Peter Lutheran School,St. Johns Public Schools,Priv,Clinton,7,6,85.7,0,0,1,14.3,0,0.0,0,0.0,1,14.3,2019,MI
Eureka Elementary School,St. Johns Public Schools,Pub,Clinton,12,12,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Riley Elementary School,St. Johns Public Schools,Pub,Clinton,37,35,94.6,0,0,2,5.4,0,0.0,0,0.0,2,5.4,2019,MI
Gateway North Elementary School,St. Johns Public Schools,Pub,Clinton,57,54,94.7,0,1,2,3.5,1,1.8,0,0.0,1,1.8,2019,MI
Grayling Elementary School for K-5,Crawford Ausable School District,Pub,Crawford,131,118,90.1,1,7,5,3.8,0,0.0,2,1.5,3,2.3,2019,MI
Bark River - Harris Schools,Bark River-Harris School District,Pub,Delta,17,15,88.2,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Big Bay de Noc School,Big Bay De Noc School District,Pub,Delta,12,11,91.7,0,0,1,8.3,0,0.0,0,0.0,1,8.3,2019,MI
Holy Name School,Escanaba Area Public Schools,Priv,Delta,50,41,82.0,1,1,7,14.0,0,0.0,2,4.0,5,10.0,2019,MI
Webster Elementary School,Escanaba Area Public Schools,Pub,Delta,176,163,92.6,0,6,7,4.0,0,0.0,3,1.7,4,2.3,2019,MI
Cameron Elementary School,Gladstone Area Schools,Pub,Delta,158,143,90.5,0,9,6,3.8,0,0.0,1,0.6,5,3.2,2019,MI
Mid Peninsula School,Mid Peninsula School District,Pub,Delta,16,14,87.5,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Tri Township School,Rapid River Public Schools,Pub,Delta,20,20,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Barack Obama Leadership Academy,Barack Obama Leadership Academy,Pub,Detroit,38,36,94.7,0,0,2,5.3,0,0.0,2,5.3,0,0.0,2019,MI
Cesar Chavez Academy East Elementary School,Cesar Chavez Academy,Pub,Detroit,12,12,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Cesar Chavez Academy Elem,Cesar Chavez Academy,Pub,Detroit,110,107,97.3,1,1,1,0.9,0,0.0,1,0.9,0,0.0,2019,MI
Chandler Park Academy Elementary,Chandler Park Academy,Pub,Detroit,156,154,98.7,1,0,1,0.6,0,0.0,0,0.0,1,0.6,2019,MI
Commonwealth Elementary Academy,Commonwealth Community Devel. Academy,Pub,Detroit,20,19,95.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Voyageur Academy,Consortium College Preparatory High School,Pub,Detroit,75,74,98.7,0,0,1,1.3,0,0.0,0,0.0,1,1.3,2019,MI
Cornerstone Jefferson-Douglas Academy,Cornerstone Jefferson-Douglas Academy,Pub,Detroit,79,79,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
David Ellis Academy,David Ellis Academy,Pub,Detroit,28,27,96.4,0,0,1,3.6,0,0.0,1,3.6,0,0.0,2019,MI
Detroit Academy of Arts and Sciences,Detroit Academy of Arts and Sciences,Pub,Detroit,111,105,94.6,1,1,4,3.6,0,0.0,1,0.9,3,2.7,2019,MI
Detroit Achievement Academy,Detroit Achievement Academy,Pub,Detroit,14,14,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Detroit Community School-Elementary,Detroit Community High School,Pub,Detroit,20,19,95.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Detroit Enterprise Academy,Detroit Enterprise Academy,Pub,Detroit,81,81,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Detroit Innovation Academy,Detroit Innovation Academy,Pub,Detroit,36,36,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Detroit Leadership Academy Elementary,Detroit Leadership Academy,Pub,Detroit,52,49,94.2,0,2,1,1.9,0,0.0,0,0.0,1,1.9,2019,MI
Detroit Merit Academy,Detroit Merit Charter Academy,Pub,Detroit,99,90,90.9,0,1,8,8.1,0,0.0,5,5.1,3,3.0,2019,MI
