school,district,type,county,total_students,total_vaccinated,vaccinated_perc,in_progress,unvacinated,total_waivers,waivers_perc,medical_waivers_n,medical_waivers_perc,religion_waivers_n,religion_wavers_perc,phil_waivers_n,phil_waivers_perc,year,state
Kaleva Norman Dickson Elem School,Kaleva Norman Dickson School District,Pub,Manistee,42,35,83.3,1,2,4,9.5,0,0.0,1,2.4,3,7.1,2019,MI
Manistee Catholic Central,Manistee Area Schools,Priv,Manistee,13,9,69.2,0,1,3,23.1,1,7.7,1,7.7,1,7.7,2019,MI
Thomas Jefferson Elem. School,Manistee Area Schools,Pub,Manistee,83,77,92.8,1,2,3,3.6,0,0.0,1,1.2,2,2.4,2019,MI
Michigan Great Lakes Virtual Academy,Michigan Great Lakes Virtual Academy,Pub,Manistee,101,81,80.2,1,7,12,11.9,0,0.0,7,6.9,5,5.0,2019,MI
Onekama  Elementary School,Onekama Consolidated Schools,Pub,Manistee,19,19,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
KI Sawyer Elementary School,Gwinn Area Community Schools,Pub,Marquette,56,49,87.5,0,5,2,3.6,0,0.0,0,0.0,2,3.6,2019,MI
George D Gilbert Elementary School,Gwinn Area Community Schools,Pub,Marquette,33,33,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Birchview School,Ishpeming Public School District,Pub,Marquette,57,53,93.0,0,1,3,5.3,0,0.0,0,0.0,3,5.3,2019,MI
Graveraet Elementary School,Marquette Area Public Schools,Pub,Marquette,60,55,91.7,0,3,2,3.3,0,0.0,1,1.7,1,1.7,2019,MI
Superior Hills Elementary School,Marquette Area Public Schools,Pub,Marquette,50,49,98.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Sandy Knoll School,Marquette Area Public Schools,Pub,Marquette,68,67,98.5,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Father Marquette Elementary School,Marquette Area Public Schools,Priv,Marquette,17,16,94.1,0,0,1,5.9,1,5.9,0,0.0,0,0.0,2019,MI
Cherry Creek Elementary School,Marquette Area Public Schools,Pub,Marquette,83,80,96.4,0,2,1,1.2,0,0.0,0,0.0,1,1.2,2019,MI
Aspen Ridge Elementary School,N.I.C.E. Community Schools,Pub,Marquette,106,96,90.6,1,4,5,4.7,0,0.0,0,0.0,5,4.7,2019,MI
Lakeview School,Negaunee Public Schools,Pub,Marquette,162,144,88.9,0,3,15,9.3,0,0.0,0,0.0,15,9.3,2019,MI
North Star Academy,North Star Academy,Pub,Marquette,15,14,93.3,0,0,1,6.7,0,0.0,1,6.7,0,0.0,2019,MI
Republic-Michigamme School,Republic-Michigamme Schools,Pub,Marquette,7,7,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Franklin Elementary School,Ludington Area School District,Pub,Mason,92,88,95.7,2,0,2,2.2,0,0.0,2,2.2,0,0.0,2019,MI
Lakeview Elementary School,Ludington Area School District,Pub,Mason,69,65,94.2,2,0,2,2.9,0,0.0,0,0.0,2,2.9,2019,MI
Ludington Area Catholic School,Ludington Area School District,Priv,Mason,12,12,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Scottville Elementary,Mason County Central Schools,Pub,Mason,88,85,96.6,0,1,2,2.3,1,1.1,0,0.0,1,1.1,2019,MI
Mason County Eastern Elem. Sch.,Mason County Eastern Schools,Pub,Mason,27,25,92.6,0,0,2,7.4,0,0.0,0,0.0,2,7.4,2019,MI
St. Peters Lutheran School,Big Rapids Public Schools,Priv,Mecosta,10,9,90.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Brookside Elementary School,Big Rapids Public Schools,Pub,Mecosta,71,67,94.4,0,3,1,1.4,1,1.4,0,0.0,0,0.0,2019,MI
Riverview Elementary School,Big Rapids Public Schools,Pub,Mecosta,76,74,97.4,0,1,1,1.3,0,0.0,0,0.0,1,1.3,2019,MI
St Mary Catholic School,Big Rapids Public Schools,Priv,Mecosta,22,21,95.5,0,0,1,4.5,0,0.0,0,0.0,1,4.5,2019,MI
Weidman Elementary,Chippewa Hills School District,Pub,Mecosta,25,24,96.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Barryton Elementary,Chippewa Hills School District,Pub,Mecosta,37,36,97.3,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Mecosta Elementary,Chippewa Hills School District,Pub,Mecosta,43,43,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Crossroads Charter Acad Elementary,Crossroads Charter Academy,Pub,Mecosta,33,27,81.8,0,1,5,15.2,0,0.0,2,6.1,3,9.1,2019,MI
Morley Stanwood Elementary,Morley Stanwood Community Schools,Pub,Mecosta,71,67,94.4,0,3,1,1.4,0,0.0,0,0.0,1,1.4,2019,MI
Carney-Nadeau School,Carney-Nadeau Public Schools,Pub,Menominee,19,18,94.7,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Central Elementary School,Menominee Area Public Schools,Pub,Menominee,107,102,95.3,2,0,3,2.8,0,0.0,1,0.9,2,1.9,2019,MI
St John Paul II Catholic Academy,Menominee Area Public Schools,Priv,Menominee,12,10,83.3,0,1,1,8.3,0,0.0,0,0.0,1,8.3,2019,MI
Nah Tah Wahsh Public School Academy,Nah Tah Wahsh Public School Academy,Pub,Menominee,31,30,96.8,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
North Central Elementary School,North Central Area Schools,Pub,Menominee,35,34,97.1,0,0,1,2.9,0,0.0,0,0.0,1,2.9,2019,MI
Stephenson Elementary School,Stephenson Area Public Schools,Pub,Menominee,29,26,89.7,0,1,2,6.9,0,0.0,0,0.0,2,6.9,2019,MI
Bullock Creek Elementary,Bullock Creek School District,Pub,Midland,124,120,96.8,0,2,2,1.6,0,0.0,0,0.0,2,1.6,2019,MI
Floyd Elementary,Bullock Creek School District,Pub,Midland,68,59,86.8,1,3,5,7.4,2,2.9,3,4.4,0,0.0,2019,MI
Coleman Elementary School,Coleman Community School District,Pub,Midland,45,39,86.7,2,0,4,8.9,0,0.0,0,0.0,4,8.9,2019,MI
Meridian Elementary School,Meridian Public Schools,Pub,Midland,124,114,91.9,1,2,7,5.6,0,0.0,3,2.4,4,3.2,2019,MI
St. Brigid Catholic School,Midland Public Schools,Priv,Midland,16,14,87.5,0,1,1,6.3,0,0.0,0,0.0,1,6.3,2019,MI
Blessed Sacrament School,Midland Public Schools,Priv,Midland,16,16,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
St. Johns Lutheran School,Midland Public Schools,Priv,Midland,8,7,87.5,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Adams Elementary School,Midland Public Schools,Pub,Midland,82,76,92.7,0,3,3,3.7,1,1.2,1,1.2,1,1.2,2019,MI
Chestnut Hill Elementary School,Midland Public Schools,Pub,Midland,87,85,97.7,0,1,1,1.1,0,0.0,0,0.0,1,1.1,2019,MI
Central Park Elementary,Midland Public Schools,Pub,Midland,176,166,94.3,1,5,4,2.3,0,0.0,2,1.1,2,1.1,2019,MI
Woodcrest Elementary School,Midland Public Schools,Pub,Midland,103,97,94.2,0,0,6,5.8,4,3.9,0,0.0,2,1.9,2019,MI
Siebert Elementary School,Midland Public Schools,Pub,Midland,92,88,95.7,0,1,3,3.3,0,0.0,2,2.2,1,1.1,2019,MI
Plymouth Elementary School,Midland Public Schools,Pub,Midland,72,59,81.9,0,4,9,12.5,5,6.9,2,2.8,2,2.8,2019,MI
Lake City Elementary,Lake City Area School District,Pub,Missaukee,93,86,92.5,1,4,2,2.2,0,0.0,0,0.0,2,2.2,2019,MI
Northern Michigan Christian School,McBain Rural Agricultural Schools,Priv,Missaukee,20,19,95.0,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
McBain Elementary School,McBain Rural Agricultural Schools,Pub,Missaukee,86,79,91.9,0,3,4,4.7,0,0.0,0,0.0,4,4.7,2019,MI
Joseph C Sterling Elementary School,Airport Community School District,Pub,Monroe,44,42,95.5,1,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Loren Eyler Elementary School,Airport Community School District,Pub,Monroe,60,56,93.3,1,0,3,5.0,0,0.0,1,1.7,2,3.3,2019,MI
Fred W Ritter Elementary School,Airport Community School District,Pub,Monroe,44,36,81.8,2,1,5,11.4,0,0.0,0,0.0,5,11.4,2019,MI
Henry Neidermeier Elementary School,Airport Community School District,Pub,Monroe,62,59,95.2,0,2,1,1.6,0,0.0,0,0.0,1,1.6,2019,MI
St. Patrick Catholic School,Airport Community School District,Priv,Monroe,10,10,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Douglas Road Elementary School,Bedford Public Schools,Pub,Monroe,105,98,93.3,1,0,6,5.7,0,0.0,1,1.0,5,4.8,2019,MI
Jackman Road Elementary School,Bedford Public Schools,Pub,Monroe,134,132,98.5,0,0,2,1.5,0,0.0,1,0.7,1,0.7,2019,MI
State Line Christian School,Bedford Public Schools,Priv,Monroe,25,15,60.0,0,0,10,40.0,4,16.0,4,16.0,2,8.0,2019,MI
Monroe Road Elementary School,Bedford Public Schools,Pub,Monroe,124,117,94.4,0,0,7,5.6,1,0.8,1,0.8,5,4.0,2019,MI
Dundee Elementary School,Dundee Community Schools,Pub,Monroe,167,155,92.8,0,7,5,3.0,0,0.0,0,0.0,5,3.0,2019,MI
Meadow Montessori School,Ida Public School District,Priv,Monroe,11,9,81.8,0,0,2,18.2,0,0.0,1,9.1,1,9.1,2019,MI
Ida Elementary School,Ida Public School District,Pub,Monroe,150,142,94.7,0,1,7,4.7,1,0.7,0,0.0,6,4.0,2019,MI
Sodt Elementary School and Early Childhood Center,Jefferson Schools (Monroe),Pub,Monroe,109,102,93.6,1,1,5,4.6,0,0.0,0,0.0,5,4.6,2019,MI
St. Charles School,Jefferson Schools (Monroe),Priv,Monroe,31,30,96.8,0,0,1,3.2,0,0.0,0,0.0,1,3.2,2019,MI
St Joseph School,Mason Consolidated Schools (Monroe),Priv,Monroe,8,7,87.5,0,0,1,12.5,0,0.0,1,12.5,0,0.0,2019,MI
Mason Central School,Mason Consolidated Schools (Monroe),Pub,Monroe,65,59,90.8,1,1,4,6.2,0,0.0,3,4.6,1,1.5,2019,MI
Monroe County Education Center,Monroe ISD,Pub,Monroe,9,7,77.8,0,1,1,11.1,0,0.0,0,0.0,1,11.1,2019,MI
Manor Elementary School,Monroe Public Schools,Pub,Monroe,86,80,93.0,0,1,5,5.8,0,0.0,5,5.8,0,0.0,2019,MI
Zion Lutheran School,Monroe Public Schools,Priv,Monroe,6,3,50.0,0,0,3,50.0,0,0.0,2,33.3,1,16.7,2019,MI
Raisinville Elementary School,Monroe Public Schools,Pub,Monroe,88,80,90.9,1,2,5,5.7,0,0.0,5,5.7,0,0.0,2019,MI
Trinity Lutheran School,Monroe Public Schools,Priv,Monroe,24,21,87.5,0,0,3,12.5,0,0.0,1,4.2,2,8.3,2019,MI
St. Michael School,Monroe Public Schools,Priv,Monroe,55,53,96.4,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Holy Ghost Lutheran School,Monroe Public Schools,Priv,Monroe,6,6,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Custer Elementary School,Monroe Public Schools,Pub,Monroe,166,153,92.2,3,3,7,4.2,0,0.0,5,3.0,2,1.2,2019,MI
Arborwood Elementary School,Monroe Public Schools,Pub,Monroe,114,109,95.6,0,3,2,1.8,0,0.0,2,1.8,0,0.0,2019,MI
Waterloo School,Monroe Public Schools,Pub,Monroe,42,37,88.1,0,2,3,7.1,0,0.0,3,7.1,0,0.0,2019,MI
New Bedford Academy,New Bedford Academy,Pub,Monroe,21,21,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Summerfield Elementary School,Summerfield School District,Pub,Monroe,43,37,86.0,0,1,5,11.6,0,0.0,0,0.0,5,11.6,2019,MI
Triumph Academy,Triumph Academy,Pub,Monroe,94,91,96.8,0,3,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Whiteford Elementary School,Whiteford Agricultural Schools,Pub,Monroe,51,48,94.1,0,1,2,3.9,0,0.0,0,0.0,2,3.9,2019,MI
Fellowship Baptist Academy,Carson City-Crystal Area Schools,Priv,Montcalm,6,6,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Carson City Elementary School,Carson City-Crystal Area Schools,Pub,Montcalm,46,46,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Fish Creek School,Carson City-Crystal Area Schools,Priv,Montcalm,13,10,76.9,1,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Central Montcalm Elementary School,Central Montcalm Public Schools,Pub,Montcalm,96,91,94.8,0,2,3,3.1,1,1.0,1,1.0,1,1.0,2019,MI
Beth Haven Baptist Academy,Central Montcalm Public Schools,Priv,Montcalm,8,6,75.0,0,0,2,25.0,0,0.0,0,0.0,2,25.0,2019,MI
Flat River Academy,Flat River Academy,Pub,Montcalm,13,13,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Lincoln Heights Elementary School,Greenville Public Schools,Pub,Montcalm,78,78,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
St Charles Catholic School,Greenville Public Schools,Priv,Montcalm,13,12,92.3,0,0,1,7.7,0,0.0,0,0.0,1,7.7,2019,MI
Baldwin Heights School,Greenville Public Schools,Pub,Montcalm,60,60,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Cedar Crest Elementary School,Greenville Public Schools,Pub,Montcalm,47,47,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Walnut Hills Elementary School,Greenville Public Schools,Pub,Montcalm,56,56,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Lakeview Elementary School,Lakeview Community Schools (Montcalm),Pub,Montcalm,81,78,96.3,0,1,2,2.5,0,0.0,1,1.2,1,1.2,2019,MI
Montabella Elementary School,Montabella Community Schools,Pub,Montcalm,63,60,95.2,0,2,1,1.6,0,0.0,0,0.0,1,1.6,2019,MI
MacNaughton Elementary,Tri County Area Schools,Pub,Montcalm,169,160,94.7,0,4,5,3.0,0,0.0,2,1.2,3,1.8,2019,MI
Vestaburg Elementary School,Vestaburg Community Schools,Pub,Montcalm,41,41,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Atlanta all Buildings,Atlanta Community Schools,Pub,Montmorency,18,15,83.3,0,0,3,16.7,0,0.0,1,5.6,2,11.1,2019,MI
Hillman Elementary School,Hillman Community Schools,Pub,Montmorency,34,31,91.2,0,0,3,8.8,0,0.0,1,2.9,2,5.9,2019,MI
Calvary Christian Schools,Fruitport Community Schools,Priv,Muskegon,14,11,78.6,0,0,3,21.4,0,0.0,1,7.1,2,14.3,2019,MI
Beach Elementary School,Fruitport Community Schools,Pub,Muskegon,54,53,98.1,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Edgewood Elementary School,Fruitport Community Schools,Pub,Muskegon,99,96,97.0,0,1,2,2.0,1,1.0,1,1.0,0,0.0,2019,MI
Shettler Elementary School,Fruitport Community Schools,Pub,Muskegon,37,37,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Holton Elementary School,Holton Public Schools,Pub,Muskegon,63,62,98.4,0,0,1,1.6,0,0.0,0,0.0,1,1.6,2019,MI
Churchill Elementary School,Mona Shores Public School District,Pub,Muskegon,55,53,96.4,0,0,2,3.6,0,0.0,0,0.0,2,3.6,2019,MI
Lincoln Park Elementary,Mona Shores Public School District,Pub,Muskegon,64,61,95.3,0,1,2,3.1,0,0.0,0,0.0,2,3.1,2019,MI
Ross Park Elementary,Mona Shores Public School District,Pub,Muskegon,87,79,90.8,0,1,7,8.0,1,1.1,1,1.1,5,5.7,2019,MI
Campbell Elementary School,Mona Shores Public School District,Pub,Muskegon,67,65,97.0,0,1,1,1.5,0,0.0,0,0.0,1,1.5,2019,MI
West Shore Lutheran School,Mona Shores Public School District,Priv,Muskegon,11,11,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Montague Area Childhood Center-K,Montague Area Public Schools,Pub,Muskegon,104,99,95.2,0,2,3,2.9,0,0.0,1,1.0,2,1.9,2019,MI
Edgewood Elementary School,Muskegon Heights Public School Academy,Pub,Muskegon,29,28,96.6,0,1,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Muskegon Montessori Academy for Environmental,Muskegon Montessori Academy for Environmental,Pub,Muskegon,42,36,85.7,0,0,6,14.3,0,0.0,5,11.9,1,2.4,2019,MI
North Muskegon Elementary School,North Muskegon Public Schools,Pub,Muskegon,47,44,93.6,0,2,1,2.1,0,0.0,1,2.1,0,0.0,2019,MI
Oakridge Lower Elementary School,Oakridge Public Schools,Pub,Muskegon,206,202,98.1,1,1,2,1.0,0,0.0,1,0.5,1,0.5,2019,MI
Orchard View Early Elementary,Orchard View Schools,Pub,Muskegon,204,194,95.1,3,6,1,0.5,0,0.0,0,0.0,1,0.5,2019,MI
Lakeside Elementary,Public Schools of the City of Muskegon,Pub,Muskegon,69,67,97.1,0,0,2,2.9,0,0.0,1,1.4,1,1.4,2019,MI
Muskegon Catholic Central School,Public Schools of the City of Muskegon,Priv,Muskegon,19,19,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Marquette Elementary School,Public Schools of the City of Muskegon,Pub,Muskegon,101,98,97.0,0,1,2,2.0,2,2.0,0,0.0,0,0.0,2019,MI
Moon Elementary School,Public Schools of the City of Muskegon,Pub,Muskegon,47,45,95.7,1,0,1,2.1,0,0.0,0,0.0,1,2.1,2019,MI
Muskegon Christian School,Public Schools of the City of Muskegon,Priv,Muskegon,22,20,90.9,0,1,1,4.5,0,0.0,1,4.5,0,0.0,2019,MI
Nelson Elementary School,Public Schools of the City of Muskegon,Pub,Muskegon,34,32,94.1,1,0,1,2.9,0,0.0,0,0.0,1,2.9,2019,MI
Oakview Elementary School,Public Schools of the City of Muskegon,Pub,Muskegon,53,49,92.5,0,0,4,7.5,0,0.0,0,0.0,4,7.5,2019,MI
Beechnau Elementary School,Ravenna Public Schools,Pub,Muskegon,83,78,94.0,0,0,5,6.0,1,1.2,1,1.2,3,3.6,2019,MI
Twin Lake Elementary School,Reeths-Puffer Schools,Pub,Muskegon,50,47,94.0,1,0,2,4.0,0,0.0,0,0.0,2,4.0,2019,MI
Central Elementary School,Reeths-Puffer Schools,Pub,Muskegon,86,84,97.7,0,1,1,1.2,0,0.0,0,0.0,1,1.2,2019,MI
Pennsylvania Elementary School,Reeths-Puffer Schools,Pub,Muskegon,40,37,92.5,0,2,1,2.5,0,0.0,0,0.0,1,2.5,2019,MI
Reeths-Puffer Elementary School,Reeths-Puffer Schools,Pub,Muskegon,104,101,97.1,1,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Three Oaks Public School Academy,Three Oaks Public School Academy,Pub,Muskegon,51,49,96.1,0,2,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Timberland Charter Academy,Timberland Academy,Pub,Muskegon,84,80,95.2,0,3,1,1.2,0,0.0,1,1.2,0,0.0,2019,MI
Shoreline Elementary School,Whitehall District Schools,Pub,Muskegon,166,156,94.0,0,8,2,1.2,0,0.0,1,0.6,1,0.6,2019,MI
Big Jackson Public School,Big Jackson School District,Pub,Newaygo,7,6,85.7,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Fremont Christian School,Fremont Public School District,Priv,Newaygo,25,22,88.0,0,1,2,8.0,0,0.0,2,8.0,0,0.0,2019,MI
Pathfinder Elementary School,Fremont Public School District,Pub,Newaygo,128,114,89.1,3,2,9,7.0,1,0.8,3,2.3,5,3.9,2019,MI
Grant Christian School,Grant Public School District,Priv,Newaygo,8,6,75.0,0,0,2,25.0,0,0.0,1,12.5,1,12.5,2019,MI
Grant Primary Center,Grant Public School District,Pub,Newaygo,134,128,95.5,0,1,5,3.7,3,2.2,1,0.7,1,0.7,2019,MI
Hesperia St. Clair Elementary School,Hesperia Community Schools,Pub,Newaygo,70,62,88.6,0,2,6,8.6,0,0.0,0,0.0,6,8.6,2019,MI
Newaygo Elementary School,Newaygo Public School District,Pub,Newaygo,106,103,97.2,0,1,2,1.9,0,0.0,0,0.0,2,1.9,2019,MI
White Cloud  Schools All Buildings,White Cloud Public Schools,Pub,Newaygo,65,61,93.8,1,1,2,3.1,0,0.0,2,3.1,0,0.0,2019,MI
Michigan School Deaf,Michigan School for the Blind/Deaf,Pub,No County Affiliation,7,7,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
AGBU Alex-Marie Manoogian School,AGBU Alex-Marie Manoogian School,Pub,Oakland,26,23,88.5,0,0,3,11.5,0,0.0,0,0.0,3,11.5,2019,MI
Arts Technology Academy of Pontiac,Arts Technology Academy of Pontiac,Pub,Oakland,57,52,91.2,0,5,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
The Montessori School Rochester,Avondale School District,Priv,Oakland,6,6,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Rochester Hills Christian School,Avondale School District,Priv,Oakland,10,7,70.0,0,0,3,30.0,0,0.0,1,10.0,2,20.0,2019,MI
R Grant Graham Elementary School,Avondale School District,Pub,Oakland,5,4,80.0,0,0,1,20.0,1,20.0,0,0.0,0,0.0,2019,MI
Deerfield Elementary School,Avondale School District,Pub,Oakland,63,60,95.2,0,1,2,3.2,1,1.6,1,1.6,0,0.0,2019,MI
Auburn Elementary School,Avondale School District,Pub,Oakland,72,66,91.7,0,1,5,6.9,0,0.0,1,1.4,4,5.6,2019,MI
Woodland Elementary School,Avondale School District,Pub,Oakland,75,70,93.3,0,1,4,5.3,1,1.3,0,0.0,3,4.0,2019,MI
Pattengill Elementary School,Berkley School District,Pub,Oakland,70,64,91.4,1,0,5,7.1,0,0.0,1,1.4,4,5.7,2019,MI
Norup School,Berkley School District,Pub,Oakland,45,42,93.3,0,1,2,4.4,0,0.0,0,0.0,2,4.4,2019,MI
James B. Angell Elementary School,Berkley School District,Pub,Oakland,67,62,92.5,0,0,5,7.5,0,0.0,0,0.0,5,7.5,2019,MI
Burton Elementary School,Berkley School District,Pub,Oakland,103,102,99.0,0,0,1,1.0,0,0.0,1,1.0,0,0.0,2019,MI
Rogers Elementary School,Berkley School District,Pub,Oakland,50,49,98.0,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Detroit Country Day Lower School,Birmingham City School District,Priv,Oakland,46,44,95.7,0,1,1,2.2,0,0.0,0,0.0,1,2.2,2019,MI
Our Shepherd Lutheran School,Birmingham City School District,Priv,Oakland,13,12,92.3,0,0,1,7.7,0,0.0,0,0.0,1,7.7,2019,MI
Greenfield Elementary School,Birmingham City School District,Pub,Oakland,39,38,97.4,1,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Our Lady Queen of Martyrs School,Birmingham City School District,Priv,Oakland,28,26,92.9,0,0,2,7.1,0,0.0,0,0.0,2,7.1,2019,MI
Brookfield Academy,Birmingham City School District,Priv,Oakland,11,7,63.6,0,1,3,27.3,0,0.0,0,0.0,3,27.3,2019,MI
Beverly Elementary School,Birmingham City School District,Pub,Oakland,61,60,98.4,0,0,1,1.6,0,0.0,0,0.0,1,1.6,2019,MI
Harlan Elementary School,Birmingham City School District,Pub,Oakland,88,85,96.6,0,1,2,2.3,0,0.0,0,0.0,2,2.3,2019,MI
Holy Name Catholic School,Birmingham City School District,Priv,Oakland,30,28,93.3,0,1,1,3.3,0,0.0,0,0.0,1,3.3,2019,MI
Pembroke Elementary School,Birmingham City School District,Pub,Oakland,63,61,96.8,0,0,2,3.2,0,0.0,0,0.0,2,3.2,2019,MI
Pierce Elementary School,Birmingham City School District,Pub,Oakland,103,99,96.1,0,0,4,3.9,1,1.0,0,0.0,3,2.9,2019,MI
Quarton Elementary,Birmingham City School District,Pub,Oakland,79,77,97.5,0,0,2,2.5,0,0.0,0,0.0,2,2.5,2019,MI
St. Regis Catholic School,Birmingham City School District,Priv,Oakland,42,38,90.5,0,1,3,7.1,1,2.4,2,4.8,0,0.0,2019,MI
Bingham Farms Elementary School,Birmingham City School District,Pub,Oakland,49,46,93.9,0,0,3,6.1,2,4.1,0,0.0,1,2.0,2019,MI
West Maple Elementary School,Birmingham City School District,Pub,Oakland,95,91,95.8,0,1,3,3.2,0,0.0,0,0.0,3,3.2,2019,MI
Huda School and Montessori,Birmingham City School District,Priv,Oakland,22,20,90.9,0,0,2,9.1,1,4.5,0,0.0,1,4.5,2019,MI
Beverly Hills Academy,Birmingham City School District,Priv,Oakland,21,21,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Cooks Academy PreK,Bloomfield Hills School District,Priv,Oakland,9,7,77.8,0,0,2,22.2,0,0.0,2,22.2,0,0.0,2019,MI
Conant Elementary School,Bloomfield Hills School District,Pub,Oakland,92,85,92.4,0,5,2,2.2,0,0.0,1,1.1,1,1.1,2019,MI
Eastover Elementary School,Bloomfield Hills School District,Pub,Oakland,119,112,94.1,0,4,3,2.5,2,1.7,1,0.8,0,0.0,2019,MI
Lone Pine Elementary School,Bloomfield Hills School District,Pub,Oakland,86,80,93.0,0,3,3,3.5,0,0.0,0,0.0,3,3.5,2019,MI
Way Elementary School,Bloomfield Hills School District,Pub,Oakland,76,70,92.1,0,4,2,2.6,0,0.0,0,0.0,2,2.6,2019,MI
Roeper City and Country Elementary School,Bloomfield Hills School District,Priv,Oakland,26,21,80.8,0,0,5,19.2,1,3.8,1,3.8,3,11.5,2019,MI
St. Hugo of the Hills School,Bloomfield Hills School District,Priv,Oakland,39,38,97.4,0,0,1,2.6,0,0.0,1,2.6,0,0.0,2019,MI
Academy of Sacred Heart,Bloomfield Hills School District,Priv,Oakland,18,14,77.8,0,2,2,11.1,0,0.0,0,0.0,2,11.1,2019,MI
Bloomfield Christian School,Bloomfield Hills School District,Priv,Oakland,12,7,58.3,0,1,4,33.3,0,0.0,0,0.0,4,33.3,2019,MI
Cranbrook - Brookside School,Bloomfield Hills School District,Priv,Oakland,62,59,95.2,0,0,3,4.8,0,0.0,0,0.0,3,4.8,2019,MI
Bradford Academy,Bradford Academy,Pub,Oakland,101,94,93.1,1,5,1,1.0,1,1.0,0,0.0,0,0.0,2019,MI
Harvey-Swanson Elementary School,Brandon School District,Pub,Oakland,81,74,91.4,1,4,2,2.5,1,1.2,0,0.0,1,1.2,2019,MI
Oakwood Elementary School,Brandon School District,Pub,Oakland,76,68,89.5,1,4,3,3.9,0,0.0,1,1.3,2,2.6,2019,MI
Botsford Elementary School,Clarenceville School District,Pub,Oakland,37,34,91.9,0,0,3,8.1,0,0.0,1,2.7,2,5.4,2019,MI
Grandview Elementary School,Clarenceville School District,Pub,Oakland,56,52,92.9,0,1,3,5.4,0,0.0,1,1.8,2,3.6,2019,MI
Concordia Lutheran North,Clarenceville School District,Priv,Oakland,7,7,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Children's Ark KD,Clarkston Community School District,Priv,Oakland,8,4,50.0,0,0,4,50.0,0,0.0,4,50.0,0,0.0,2019,MI
Renaissance Virtual,Clarkston Community School District,Pub,Oakland,43,16,37.2,0,2,25,58.1,0,0.0,10,23.3,15,34.9,2019,MI
Andersonville Elementary School,Clarkston Community School District,Pub,Oakland,48,48,100.0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,2019,MI
Bailey Lake Elementary School,Clarkston Community School District,Pub,Oakland,86,71,82.6,3,0,12,14.0,0,0.0,8,9.3,4,4.7,2019,MI
