,year,FIPS,office,state,dem_votes,rep_votes,total_votes,target,win_percentage,win_margin,skew,Population(2010),Land Areami²,Water Areami²,Total Areami²,Latitude,Longitude
2104,2020,48081.0,PRESIDENT,TX,178.0,1586.0,1764.0,1,89.91,39.91,39.91,3320,911.470,16.521,927.991,31.8771,-100.63523
2110,2020,48083.0,PRESIDENT,TX,451.0,3641.0,4092.0,1,88.98,38.98,38.98,8895,1261.946,19.487,1281.433,31.9142,-99.34662
2116,2020,48085.0,PRESIDENT,TX,230945.0,252318.0,483263.0,1,52.21,2.21,2.21,782341,841.225,44.879,886.104,33.19388,-96.57815
2122,2020,48087.0,PRESIDENT,TX,155.0,1048.0,1203.0,1,87.12,37.12,37.12,3057,918.441,0.880,919.321,34.96335,-100.27213
2128,2020,48089.0,PRESIDENT,TX,2420.0,7472.0,9892.0,1,75.54,25.54,25.54,20874,960.274,13.412,973.686,29.5959,-96.50838
2134,2020,48091.0,PRESIDENT,TX,24826.0,62740.0,87566.0,1,71.65,21.65,21.65,108472,559.476,15.402,574.878,29.80301,-98.2552
2140,2020,48093.0,PRESIDENT,TX,853.0,5177.0,6030.0,1,85.85,35.85,35.85,13974,937.754,9.930,947.684,31.95164,-98.54961
2146,2020,48095.0,PRESIDENT,TX,197.0,1058.0,1255.0,1,84.3,34.3,34.3,4087,983.799,9.894,993.693,31.31886,-99.86364
2152,2020,48097.0,PRESIDENT,TX,3210.0,15596.0,18806.0,1,82.93,32.93,32.93,38437,874.759,23.681,898.440,33.63916,-97.21037
2158,2020,48099.0,PRESIDENT,TX,7565.0,15438.0,23003.0,1,67.11,17.11,17.11,75388,1052.066,4.690,1056.756,31.39117,-97.79802
2164,2020,48101.0,PRESIDENT,TX,113.0,540.0,653.0,1,82.7,32.7,32.7,1505,900.563,1.052,901.615,34.0919,-100.27644
2170,2020,48103.0,PRESIDENT,TX,241.0,1247.0,1488.0,1,83.8,33.8,33.8,4375,785.069,0.655,785.724,31.42279,-102.48777
2176,2020,48105.0,PRESIDENT,TX,344.0,1220.0,1564.0,1,78.01,28.01,28.01,3719,2807.327,0.021,2807.348,30.71753,-101.40421
2182,2020,48107.0,PRESIDENT,TX,527.0,1396.0,1923.0,1,72.59,22.59,22.59,6059,900.198,1.496,901.694,33.60914,-101.29871
2188,2020,48109.0,PRESIDENT,TX,438.0,415.0,853.0,0,51.35,1.35,-1.35,2398,3812.798,0.215,3813.013,31.4459,-104.52694
2194,2020,48111.0,PRESIDENT,TX,197.0,1389.0,1586.0,1,87.58,37.58,37.58,6703,1503.259,2.001,1505.260,36.28637,-102.59402
2200,2020,48113.0,PRESIDENT,TX,598576.0,307076.0,905652.0,0,66.09,16.09,-16.09,2368139,871.279,37.335,908.614,32.76698,-96.77842
2206,2020,48115.0,PRESIDENT,TX,808.0,2951.0,3759.0,1,78.5,28.5,28.5,13833,900.306,1.823,902.129,32.74193,-101.94732
2212,2020,48117.0,PRESIDENT,TX,1264.0,3294.0,4558.0,1,72.27,22.27,22.27,19372,1496.868,1.516,1498.384,34.94076,-102.60756
2218,2020,48119.0,PRESIDENT,TX,403.0,2162.0,2565.0,1,84.29,34.29,34.29,5231,256.825,21.107,277.932,33.38593,-95.67335
2224,2020,48121.0,PRESIDENT,TX,188695.0,222480.0,411175.0,1,54.11,4.11,4.11,662614,878.432,74.545,952.977,33.205,-97.11904
2230,2020,48123.0,PRESIDENT,TX,1494.0,6567.0,8061.0,1,81.47,31.47,31.47,20097,908.975,1.514,910.489,29.08234,-97.36165
2236,2020,48125.0,PRESIDENT,TX,130.0,853.0,983.0,1,86.78,36.78,36.78,2444,901.724,3.497,905.221,33.61466,-100.78609
2242,2020,48127.0,PRESIDENT,TX,2264.0,1384.0,3648.0,0,62.06,12.06,-12.06,9996,1328.884,5.628,1334.512,28.42358,-99.76587
2248,2020,48129.0,PRESIDENT,TX,198.0,1438.0,1636.0,1,87.9,37.9,37.9,3677,926.886,6.160,933.046,34.95503,-100.81584
2254,2020,48131.0,PRESIDENT,TX,2575.0,2443.0,5018.0,0,51.32,1.32,-1.32,11782,1793.481,2.115,1795.596,27.68112,-98.49739
2260,2020,48133.0,PRESIDENT,TX,983.0,7237.0,8220.0,1,88.04,38.04,38.04,18583,926.491,5.424,931.915,32.32464,-98.83656
2266,2020,48135.0,PRESIDENT,TX,11367.0,32697.0,44064.0,1,74.2,24.2,24.2,137130,897.687,4.092,901.779,31.8653,-102.5425
2272,2020,48137.0,PRESIDENT,TX,168.0,893.0,1061.0,1,84.17,34.17,34.17,2002,2117.858,2.008,2119.866,29.98587,-100.30737
2278,2020,48139.0,PRESIDENT,TX,27565.0,56717.0,84282.0,1,67.29,17.29,17.29,149610,935.487,16.261,951.748,32.34727,-96.79833
2284,2020,48141.0,PRESIDENT,TX,178126.0,84331.0,262457.0,0,67.87,17.87,-17.87,800647,1012.693,2.267,1014.960,31.7664,-106.24139
2290,2020,48143.0,PRESIDENT,TX,2916.0,13684.0,16600.0,1,82.43,32.43,32.43,37890,1083.071,6.736,1089.807,32.23813,-98.22237
2296,2020,48145.0,PRESIDENT,TX,1899.0,4177.0,6076.0,1,68.75,18.75,18.75,17866,765.483,8.358,773.841,31.25193,-96.93412
2302,2020,48147.0,PRESIDENT,TX,2655.0,12171.0,14826.0,1,82.09,32.09,32.09,33915,890.837,8.047,898.884,33.59116,-96.10498
2308,2020,48149.0,PRESIDENT,TX,2661.0,10171.0,12832.0,1,79.26,29.26,29.26,24554,950.008,9.800,959.808,29.87788,-96.92123
2314,2020,48151.0,PRESIDENT,TX,352.0,1448.0,1800.0,1,80.44,30.44,30.44,3974,898.941,2.812,901.753,32.74047,-100.40312
2320,2020,48153.0,PRESIDENT,TX,438.0,1584.0,2022.0,1,78.34,28.34,28.34,6446,992.143,0.380,992.523,34.07373,-101.30327
2326,2020,48155.0,PRESIDENT,TX,99.0,445.0,544.0,1,81.8,31.8,31.8,1336,704.397,3.288,707.685,33.9804,-99.77742
2332,2020,48157.0,PRESIDENT,TX,195552.0,157718.0,353270.0,0,55.35,5.35,-5.35,585375,861.481,23.860,885.341,29.5266,-95.77101
2338,2020,48159.0,PRESIDENT,TX,804.0,4161.0,4965.0,1,83.81,33.81,33.81,10605,284.391,10.377,294.768,33.17584,-95.21906
2344,2020,48161.0,PRESIDENT,TX,1635.0,6991.0,8626.0,1,81.05,31.05,31.05,19816,877.739,14.253,891.992,31.70165,-96.14423
2350,2020,48163.0,PRESIDENT,TX,2422.0,2823.0,5245.0,1,53.82,3.82,3.82,17217,1133.500,0.847,1134.347,28.86933,-99.10878
2356,2020,48165.0,PRESIDENT,TX,576.0,5355.0,5931.0,1,90.29,40.29,40.29,17526,1502.375,0.488,1502.863,32.74394,-102.63156
2362,2020,48167.0,PRESIDENT,TX,58842.0,93911.0,152753.0,1,61.48,11.48,11.48,291309,378.358,495.450,873.808,29.2287,-94.89486
2368,2020,48169.0,PRESIDENT,TX,231.0,1413.0,1644.0,1,85.95,35.95,35.95,6461,893.412,2.787,896.199,33.18379,-101.30113
2374,2020,48171.0,PRESIDENT,TX,3176.0,12514.0,15690.0,1,79.76,29.76,29.76,24837,1058.214,3.467,1061.681,30.32639,-98.9421
2380,2020,48173.0,PRESIDENT,TX,39.0,611.0,650.0,1,94.0,44.0,44.0,1226,900.218,0.867,901.085,31.86859,-101.52897
2386,2020,48175.0,PRESIDENT,TX,877.0,3085.0,3962.0,1,77.86,27.86,27.86,7210,852.014,7.355,859.369,28.6607,-97.43041
2392,2020,48177.0,PRESIDENT,TX,1948.0,5627.0,7575.0,1,74.28,24.28,24.28,19807,1066.688,3.166,1069.854,29.4687,-97.47773
2398,2020,48179.0,PRESIDENT,TX,829.0,6840.0,7669.0,1,89.19,39.19,39.19,22535,925.974,3.359,929.333,35.40254,-100.81237
2404,2020,48181.0,PRESIDENT,TX,14506.0,44163.0,58669.0,1,75.27,25.27,25.27,120877,932.804,46.373,979.177,33.6245,-96.67569
2410,2020,48183.0,PRESIDENT,TX,14796.0,32493.0,47289.0,1,68.71,18.71,18.71,121730,273.303,2.461,275.764,32.48639,-94.81627
2416,2020,48185.0,PRESIDENT,TX,2833.0,9432.0,12265.0,1,76.9,26.9,26.9,26604,787.459,14.144,801.603,30.54323,-95.98808
2422,2020,48187.0,PRESIDENT,TX,28805.0,47553.0,76358.0,1,62.28,12.28,12.28,131533,711.300,3.515,714.815,29.5832,-97.94902
2428,2020,48189.0,PRESIDENT,TX,2279.0,7177.0,9456.0,1,75.9,25.9,25.9,36273,1004.683,0.095,1004.778,34.06843,-101.82288
2434,2020,48191.0,PRESIDENT,TX,168.0,995.0,1163.0,1,85.55,35.55,35.55,3353,883.492,20.605,904.097,34.45318,-100.57634
2440,2020,48193.0,PRESIDENT,TX,641.0,3616.0,4257.0,1,84.94,34.94,34.94,8517,835.914,0.478,836.392,31.70698,-98.11179
2446,2020,48195.0,PRESIDENT,TX,166.0,1849.0,2015.0,1,91.76,41.76,41.76,5613,919.810,0.598,920.408,36.27284,-101.35693
2452,2020,48197.0,PRESIDENT,TX,241.0,1330.0,1571.0,1,84.66,34.66,34.66,4139,695.114,1.756,696.870,34.2899,-99.74569
2458,2020,48199.0,PRESIDENT,TX,3474.0,23858.0,27332.0,1,87.29,37.29,37.29,54635,890.567,6.985,897.552,30.32961,-94.39314
2464,2020,48201.0,PRESIDENT,TX,918193.0,700630.0,1618823.0,0,56.72,6.72,-6.72,4092459,1703.478,74.005,1777.483,29.85727,-95.39303
2470,2020,48203.0,PRESIDENT,TX,7908.0,21466.0,29374.0,1,73.08,23.08,23.08,65631,899.951,15.803,915.754,32.54799,-94.37442
2476,2020,48205.0,PRESIDENT,TX,195.0,1868.0,2063.0,1,90.55,40.55,40.55,6062,1462.033,1.168,1463.201,35.84024,-102.61004
2482,2020,48207.0,PRESIDENT,TX,353.0,1840.0,2193.0,1,83.9,33.9,33.9,5899,903.131,7.132,910.263,33.17596,-99.73077
2488,2020,48209.0,PRESIDENT,TX,59524.0,47680.0,107204.0,0,55.52,5.52,-5.52,157107,677.978,1.945,679.923,30.06122,-98.02926
2494,2020,48211.0,PRESIDENT,TX,206.0,1486.0,1692.0,1,87.83,37.83,37.83,3807,906.286,5.871,912.157,35.81623,-100.2848
2500,2020,48213.0,PRESIDENT,TX,7060.0,28911.0,35971.0,1,80.37,30.37,30.37,78532,873.748,74.583,948.331,32.21163,-95.85341
2506,2020,48215.0,PRESIDENT,TX,128199.0,90527.0,218726.0,0,58.61,8.61,-8.61,774769,1570.865,12.043,1582.908,26.39638,-98.18099
2512,2020,48217.0,PRESIDENT,TX,2860.0,11926.0,14786.0,1,80.66,30.66,30.66,35089,958.864,26.856,985.720,31.98224,-97.12988
2518,2020,48219.0,PRESIDENT,TX,1482.0,6536.0,8018.0,1,81.52,31.52,31.52,22935,908.392,0.172,908.564,33.60593,-102.34339
2524,2020,48221.0,PRESIDENT,TX,5648.0,26496.0,32144.0,1,82.43,32.43,32.43,51182,420.641,16.187,436.828,32.43014,-97.83167
2530,2020,48223.0,PRESIDENT,TX,3046.0,12719.0,15765.0,1,80.68,30.68,30.68,35161,767.174,25.598,792.772,33.14895,-95.56519
2536,2020,48225.0,PRESIDENT,TX,2314.0,7060.0,9374.0,1,75.31,25.31,25.31,23732,1230.909,5.666,1236.575,31.32303,-95.4216
2542,2020,48227.0,PRESIDENT,TX,2069.0,8054.0,10123.0,1,79.56,29.56,29.56,35012,900.791,3.414,904.205,32.30358,-101.43853
2548,2020,48229.0,PRESIDENT,TX,371.0,779.0,1150.0,1,67.74,17.74,17.74,3476,4570.983,0.846,4571.829,31.45086,-105.37754
2554,2020,48231.0,PRESIDENT,TX,8906.0,29163.0,38069.0,1,76.61,26.61,26.61,86129,840.318,41.705,882.023,33.12343,-96.0838
2560,2020,48233.0,PRESIDENT,TX,965.0,7681.0,8646.0,1,88.84,38.84,38.84,22150,887.419,7.533,894.952,35.83704,-101.36274
2566,2020,48235.0,PRESIDENT,TX,120.0,759.0,879.0,1,86.35,36.35,36.35,1599,1051.563,0.068,1051.631,31.30342,-100.9813
2572,2020,48237.0,PRESIDENT,TX,331.0,3418.0,3749.0,1,91.17,41.17,41.17,9044,910.662,9.464,920.126,33.23227,-98.1719
2578,2020,48239.0,PRESIDENT,TX,1033.0,5231.0,6264.0,1,83.51,33.51,33.51,14075,829.435,27.437,856.872,28.9598,-96.58908
2584,2020,48241.0,PRESIDENT,TX,2954.0,12542.0,15496.0,1,80.94,30.94,30.94,35710,938.845,30.852,969.697,30.75293,-94.02229
2590,2020,48243.0,PRESIDENT,TX,501.0,784.0,1285.0,1,61.01,11.01,11.01,2342,2264.555,0.080,2264.635,30.61708,-104.18786
2596,2020,48245.0,PRESIDENT,TX,46073.0,47570.0,93643.0,1,50.8,0.8,0.8,252273,876.295,236.354,1112.649,29.854,-94.14933
2602,2020,48247.0,PRESIDENT,TX,1197.0,833.0,2030.0,0,58.97,8.97,-8.97,5300,1136.138,0.036,1136.174,27.04121,-98.70012
2608,2020,48249.0,PRESIDENT,TX,6119.0,7453.0,13572.0,1,54.91,4.91,4.91,40838,864.966,3.374,868.340,27.73351,-98.09081
2614,2020,48251.0,PRESIDENT,TX,16464.0,54628.0,71092.0,1,76.84,26.84,26.84,150934,724.692,9.772,734.464,32.37951,-97.36482
2620,2020,48253.0,PRESIDENT,TX,999.0,5660.0,6659.0,1,85.0,35.0,35.0,20202,928.554,8.583,937.137,32.7437,-99.87443
2626,2020,48255.0,PRESIDENT,TX,1234.0,3968.0,5202.0,1,76.28,26.28,26.28,14824,747.556,5.992,753.548,28.90761,-97.86076
2632,2020,48257.0,PRESIDENT,TX,18405.0,37624.0,56029.0,1,67.15,17.15,17.15,103350,780.699,26.961,807.660,32.59894,-96.28837
2638,2020,48259.0,PRESIDENT,TX,6020.0,20083.0,26103.0,1,76.94,26.94,26.94,33410,662.453,0.578,663.031,29.94452,-98.71109
2644,2020,48261.0,PRESIDENT,TX,65.0,127.0,192.0,1,66.15,16.15,16.15,416,1458.329,487.468,1945.797,26.89023,-97.59123
2650,2020,48263.0,PRESIDENT,TX,47.0,411.0,458.0,1,89.74,39.74,39.74,808,902.507,0.411,902.918,33.18478,-100.76972
2656,2020,48265.0,PRESIDENT,TX,6524.0,20879.0,27403.0,1,76.19,26.19,26.19,49625,1103.318,3.958,1107.276,30.05392,-99.35196
2662,2020,48267.0,PRESIDENT,TX,284.0,1987.0,2271.0,1,87.49,37.49,37.49,4607,1250.987,0.191,1251.178,30.47947,-99.74639
2668,2020,48269.0,PRESIDENT,TX,8.0,151.0,159.0,1,94.97,44.97,44.97,286,910.872,2.470,913.342,33.61415,-100.25054
2674,2020,48271.0,PRESIDENT,TX,446.0,1144.0,1590.0,1,71.95,21.95,21.95,3598,1360.055,5.068,1365.123,29.34708,-100.4177
2680,2020,48273.0,PRESIDENT,TX,5314.0,5504.0,10818.0,1,50.88,0.88,0.88,32061,881.308,208.897,1090.205,27.43873,-97.66062
2686,2020,48275.0,PRESIDENT,TX,265.0,1180.0,1445.0,1,81.66,31.66,31.66,3719,850.621,4.856,855.477,33.61665,-99.74711
2692,2020,48277.0,PRESIDENT,TX,4458.0,16760.0,21218.0,1,78.99,28.99,28.99,49793,907.190,25.913,933.103,33.66726,-95.57034
2698,2020,48279.0,PRESIDENT,TX,840.0,3521.0,4361.0,1,80.74,30.74,30.74,13977,1016.181,1.534,1017.715,34.06886,-102.34801
2704,2020,48281.0,PRESIDENT,TX,2144.0,8086.0,10230.0,1,79.04,29.04,29.04,19677,712.840,1.094,713.934,31.19673,-98.24088
2710,2020,48283.0,PRESIDENT,TX,1052.0,1335.0,2387.0,1,55.93,5.93,5.93,6886,1486.691,7.544,1494.235,28.35109,-99.09677
2716,2020,48285.0,PRESIDENT,TX,1333.0,8804.0,10137.0,1,86.85,36.85,36.85,19263,969.708,0.728,970.436,29.38257,-96.92363
2722,2020,48287.0,PRESIDENT,TX,1750.0,6255.0,8005.0,1,78.14,28.14,28.14,16612,629.016,5.084,634.100,30.3211,-96.97636
2728,2020,48289.0,PRESIDENT,TX,1072.0,7523.0,8595.0,1,87.53,37.53,37.53,16801,1073.151,7.468,1080.619,31.30049,-95.99562
2734,2020,48291.0,PRESIDENT,TX,5785.0,23302.0,29087.0,1,80.11,30.11,30.11,75643,1158.417,17.920,1176.337,30.16218,-94.82268
2740,2020,48293.0,PRESIDENT,TX,2213.0,6789.0,9002.0,1,75.42,25.42,25.42,23384,905.288,27.876,933.164,31.54754,-96.59362
2746,2020,48295.0,PRESIDENT,TX,131.0,1205.0,1336.0,1,90.19,40.19,40.19,3302,932.179,0.115,932.294,36.2802,-100.27268
2752,2020,48297.0,PRESIDENT,TX,819.0,4199.0,5018.0,1,83.68,33.68,33.68,11531,1039.696,39.183,1078.879,28.35153,-98.12696
2758,2020,48299.0,PRESIDENT,TX,2465.0,10079.0,12544.0,1,80.35,30.35,30.35,19301,934.034,31.822,965.856,30.70758,-98.68469
2764,2020,48301.0,PRESIDENT,TX,4.0,60.0,64.0,1,93.75,43.75,43.75,82,668.925,7.781,676.706,31.84493,-103.56122
2770,2020,48303.0,PRESIDENT,TX,40017.0,78861.0,118878.0,1,66.34,16.34,16.34,278831,895.599,5.101,900.700,33.61146,-101.81994
2776,2020,48305.0,PRESIDENT,TX,428.0,1853.0,2281.0,1,81.24,31.24,31.24,5915,891.867,1.610,893.477,33.17841,-101.81849
2782,2020,48307.0,PRESIDENT,TX,490.0,2904.0,3394.0,1,85.56,35.56,35.56,8283,1065.598,7.832,1073.430,31.20547,-99.35985
2788,2020,48309.0,PRESIDENT,TX,36688.0,59543.0,96231.0,1,61.88,11.88,11.88,234906,1037.101,23.130,1060.231,31.54949,-97.20147
2794,2020,48311.0,PRESIDENT,TX,53.0,460.0,513.0,1,89.67,39.67,39.67,707,1139.426,17.359,1156.785,28.38492,-98.57885
2800,2020,48313.0,PRESIDENT,TX,1088.0,4169.0,5257.0,1,79.3,29.3,29.3,13664,466.065,6.368,472.433,30.96687,-95.93037
2806,2020,48315.0,PRESIDENT,TX,1339.0,3470.0,4809.0,1,72.16,22.16,22.16,10546,380.880,39.442,420.322,32.79775,-94.35767
2812,2020,48317.0,PRESIDENT,TX,288.0,1857.0,2145.0,1,86.57,36.57,36.57,4799,914.944,0.746,915.690,32.30983,-101.96183
2818,2020,48319.0,PRESIDENT,TX,457.0,1991.0,2448.0,1,81.33,31.33,31.33,4012,928.803,3.411,932.214,30.70323,-99.2376
2824,2020,48321.0,PRESIDENT,TX,3733.0,9845.0,13578.0,1,72.51,22.51,22.51,36702,1100.276,512.234,1612.510,28.78334,-95.99775
2830,2020,48323.0,PRESIDENT,TX,8332.0,6881.0,15213.0,0,54.77,4.77,-4.77,54258,1279.258,12.520,1291.778,28.74521,-100.31136
2836,2020,48325.0,PRESIDENT,TX,6773.0,15642.0,22415.0,1,69.78,19.78,19.78,46006,1325.356,9.177,1334.533,29.35366,-99.11108
2842,2020,48327.0,PRESIDENT,TX,197.0,823.0,1020.0,1,80.69,30.69,30.69,2242,902.030,0.237,902.267,30.8837,-99.85493
2848,2020,48329.0,PRESIDENT,TX,12329.0,45624.0,57953.0,1,78.73,28.73,28.73,136872,900.299,1.751,902.050,31.87089,-102.02432
2854,2020,48331.0,PRESIDENT,TX,2496.0,7984.0,10480.0,1,76.18,26.18,26.18,24757,1016.930,4.841,1021.771,30.79124,-96.98439
2860,2020,48333.0,PRESIDENT,TX,271.0,2217.0,2488.0,1,89.11,39.11,39.11,4936,748.261,1.507,749.768,31.49488,-98.59462
2866,2020,48335.0,PRESIDENT,TX,397.0,2170.0,2567.0,1,84.53,34.53,34.53,9403,911.090,4.822,915.912,32.30378,-100.92458
2872,2020,48337.0,PRESIDENT,TX,1097.0,8615.0,9712.0,1,88.7,38.7,38.7,19719,930.906,7.370,938.276,33.67628,-97.72474
2878,2020,48339.0,PRESIDENT,TX,74377.0,193382.0,267759.0,1,72.22,22.22,22.22,455746,1041.735,35.144,1076.879,30.30236,-95.50352
2884,2020,48341.0,PRESIDENT,TX,1062.0,4359.0,5421.0,1,80.41,30.41,30.41,21904,899.691,9.930,909.621,35.83567,-101.8905
2890,2020,48343.0,PRESIDENT,TX,1669.0,3872.0,5541.0,1,69.88,19.88,19.88,12934,251.985,6.716,258.701,33.11646,-94.73126
2896,2020,48345.0,PRESIDENT,TX,46.0,604.0,650.0,1,92.92,42.92,42.92,1210,989.562,0.248,989.810,34.05838,-100.79369
2902,2020,48347.0,PRESIDENT,TX,9000.0,17378.0,26378.0,1,65.88,15.88,15.88,64524,946.537,34.651,981.188,31.62056,-94.62025
2908,2020,48349.0,PRESIDENT,TX,5101.0,13800.0,18901.0,1,73.01,23.01,23.01,47735,1009.627,76.309,1085.936,32.04845,-96.4769
2914,2020,48351.0,PRESIDENT,TX,1173.0,4882.0,6055.0,1,80.63,30.63,30.63,14445,933.677,6.051,939.728,30.78671,-93.73925
2920,2020,48353.0,PRESIDENT,TX,1162.0,4131.0,5293.0,1,78.05,28.05,28.05,15216,911.997,1.951,913.948,32.31233,-100.4181
2926,2020,48355.0,PRESIDENT,TX,60925.0,64617.0,125542.0,1,51.47,1.47,1.47,340223,838.482,327.116,1165.598,27.7394,-97.52164
2932,2020,48357.0,PRESIDENT,TX,302.0,2812.0,3114.0,1,90.3,40.3,40.3,10223,917.627,0.514,918.141,36.27874,-100.81586
2938,2020,48359.0,PRESIDENT,TX,81.0,917.0,998.0,1,91.88,41.88,41.88,2052,1500.533,0.903,1501.436,35.40192,-102.59762
2944,2020,48361.0,PRESIDENT,TX,6357.0,29186.0,35543.0,1,82.11,32.11,32.11,81837,333.669,45.861,379.530,30.12091,-93.89335
2950,2020,48363.0,PRESIDENT,TX,2178.0,10179.0,12357.0,1,82.37,32.37,32.37,28111,951.791,33.718,985.509,32.75221,-98.31797
2956,2020,48365.0,PRESIDENT,TX,2057.0,9326.0,11383.0,1,81.93,31.93,31.93,23796,801.749,19.554,821.303,32.16397,-94.30515
2962,2020,48367.0,PRESIDENT,TX,13017.0,62045.0,75062.0,1,82.66,32.66,32.66,116927,903.478,6.616,910.094,32.77709,-97.8059
2968,2020,48369.0,PRESIDENT,TX,488.0,2135.0,2623.0,1,81.4,31.4,31.4,10269,880.778,4.380,885.158,34.53216,-102.78485
2974,2020,48371.0,PRESIDENT,TX,1382.0,3215.0,4597.0,1,69.94,19.94,19.94,15507,4763.847,0.978,4764.825,30.77089,-102.71986
2980,2020,48373.0,PRESIDENT,TX,5387.0,18573.0,23960.0,1,77.52,27.52,27.52,45413,1057.093,52.567,1109.660,30.78455,-94.83733
2986,2020,48375.0,PRESIDENT,TX,9921.0,22820.0,32741.0,1,69.7,19.7,19.7,121073,908.370,13.620,921.990,35.39867,-101.8938
2992,2020,48377.0,PRESIDENT,TX,1463.0,721.0,2184.0,0,66.99,16.99,-16.99,7818,3855.237,0.685,3855.922,30.00589,-104.26161
2998,2020,48379.0,PRESIDENT,TX,842.0,5155.0,5997.0,1,85.96,35.96,35.96,10914,229.452,29.376,258.828,32.87058,-95.79544
3004,2020,48381.0,PRESIDENT,TX,12802.0,50796.0,63598.0,1,79.87,29.87,29.87,120725,911.544,10.885,922.429,34.96252,-101.89554
3010,2020,48383.0,PRESIDENT,TX,172.0,942.0,1114.0,1,84.56,34.56,34.56,3367,1175.301,0.692,1175.993,31.37289,-101.5139
3016,2020,48385.0,PRESIDENT,TX,320.0,1643.0,1963.0,1,83.7,33.7,33.7,3309,699.195,0.906,700.101,29.82303,-99.8053
3022,2020,48387.0,PRESIDENT,TX,1246.0,4517.0,5763.0,1,78.38,28.38,28.38,12860,1036.578,20.158,1056.736,33.61962,-95.04842
3028,2020,48389.0,PRESIDENT,TX,1395.0,2254.0,3649.0,1,61.77,11.77,11.77,13783,2635.375,6.717,2642.092,31.30836,-103.7127
3034,2020,48391.0,PRESIDENT,TX,1108.0,2210.0,3318.0,1,66.61,16.61,16.61,7383,770.444,47.799,818.243,28.31249,-97.16047
3040,2020,48393.0,PRESIDENT,TX,17.0,529.0,546.0,1,96.89,46.89,46.89,929,924.058,0.134,924.192,35.83621,-100.80755
3046,2020,48395.0,PRESIDENT,TX,2374.0,5646.0,8020.0,1,70.4,20.4,20.4,16622,855.683,9.670,865.353,31.02548,-96.51494
3052,2020,48397.0,PRESIDENT,TX,16412.0,36726.0,53138.0,1,69.11,19.11,19.11,78337,127.036,21.681,148.717,32.88921,-96.4075
3058,2020,48399.0,PRESIDENT,TX,552.0,3807.0,4359.0,1,87.34,37.34,37.34,10501,1050.945,6.151,1057.096,31.83331,-99.96785
3064,2020,48401.0,PRESIDENT,TX,4629.0,16534.0,21163.0,1,78.13,28.13,28.13,53330,924.027,14.380,938.407,32.10942,-94.75638
3070,2020,48403.0,PRESIDENT,TX,669.0,4784.0,5453.0,1,87.73,37.73,37.73,10834,491.390,85.260,576.650,31.3433,-93.85191
3076,2020,48405.0,PRESIDENT,TX,980.0,3007.0,3987.0,1,75.42,25.42,25.42,8865,530.657,61.640,592.297,31.38244,-94.16318
3082,2020,48407.0,PRESIDENT,TX,2337.0,10161.0,12498.0,1,81.3,31.3,31.3,26384,569.243,58.668,627.911,30.57421,-95.16285
3088,2020,48409.0,PRESIDENT,TX,8988.0,16516.0,25504.0,1,64.76,14.76,14.76,64804,693.451,14.494,707.945,28.01178,-97.51716
3094,2020,48411.0,PRESIDENT,TX,287.0,2308.0,2595.0,1,88.94,38.94,38.94,6131,1135.297,3.117,1138.414,31.15513,-98.81929
3100,2020,48413.0,PRESIDENT,TX,211.0,940.0,1151.0,1,81.67,31.67,31.67,3461,1310.630,0.034,1310.664,30.89623,-100.52721
3106,2020,48415.0,PRESIDENT,TX,818.0,4983.0,5801.0,1,85.9,35.9,35.9,16921,905.444,2.100,907.544,32.74446,-100.91339
3112,2020,48417.0,PRESIDENT,TX,130.0,1484.0,1614.0,1,91.95,41.95,41.95,3378,914.286,1.262,915.548,32.74378,-99.34704
3118,2020,48419.0,PRESIDENT,TX,2068.0,7975.0,10043.0,1,79.41,29.41,29.41,25448,795.583,39.034,834.617,31.79013,-94.14256
3124,2020,48421.0,PRESIDENT,TX,91.0,886.0,977.0,1,90.69,40.69,40.69,3034,923.035,0.166,923.201,36.27762,-101.89471
3130,2020,48423.0,PRESIDENT,TX,29615.0,69080.0,98695.0,1,69.99,19.99,19.99,209714,921.454,28.267,949.721,32.37709,-95.26963
3136,2020,48425.0,PRESIDENT,TX,768.0,4105.0,4873.0,1,84.24,34.24,34.24,8490,186.463,5.491,191.954,32.21794,-97.76921
3142,2020,48427.0,PRESIDENT,TX,9123.0,8247.0,17370.0,0,52.52,2.52,-2.52,60968,1223.179,5.908,1229.087,26.54633,-98.7158
3148,2020,48429.0,PRESIDENT,TX,397.0,3385.0,3782.0,1,89.5,39.5,39.5,9630,896.719,24.762,921.481,32.73153,-98.84008
3154,2020,48431.0,PRESIDENT,TX,51.0,584.0,635.0,1,91.97,41.97,41.97,1143,923.451,0.065,923.516,31.83577,-101.05491
3160,2020,48433.0,PRESIDENT,TX,116.0,615.0,731.0,1,84.13,34.13,34.13,1490,916.313,3.930,920.243,33.17958,-100.2538
3166,2020,48435.0,PRESIDENT,TX,322.0,1222.0,1544.0,1,79.15,29.15,29.15,4128,1453.926,0.493,1454.419,30.51786,-100.50539
3172,2020,48437.0,PRESIDENT,TX,478.0,1845.0,2323.0,1,79.42,29.42,29.42,7854,890.159,10.532,900.691,34.53046,-101.73285
3178,2020,48439.0,PRESIDENT,TX,411567.0,409741.0,821308.0,0,50.11,0.11,-0.11,1809034,863.608,38.696,902.304,32.77204,-97.29129
