,year,FIPS,office,state,dem_votes,rep_votes,total_votes,target,win_percentage,win_margin,skew,Population(2010),Land Areami²,Water Areami²,Total Areami²,Latitude,Longitude
406,2020,12019.0,PRESIDENT,FL,38317.0,84480.0,122797.0,1,68.8,18.8,18.8,190865,604.360,39.188,643.548,29.98711,-81.85814
412,2020,12021.0,PRESIDENT,FL,77621.0,128950.0,206571.0,1,62.42,12.42,12.42,321520,1998.324,306.691,2305.015,26.11871,-81.40088
418,2020,12023.0,PRESIDENT,FL,8914.0,23836.0,32750.0,1,72.78,22.78,22.78,67531,797.574,3.754,801.328,30.2213,-82.62312
424,2020,12027.0,PRESIDENT,FL,4259.0,8313.0,12572.0,1,66.12,16.12,16.12,34862,637.059,2.423,639.482,27.19058,-81.80625
430,2020,12029.0,PRESIDENT,FL,1365.0,6759.0,8124.0,1,83.2,33.2,33.2,16422,705.053,158.597,863.650,29.58089,-83.19566
436,2020,12031.0,PRESIDENT,FL,252556.0,233762.0,486318.0,0,51.93,1.93,-1.93,864263,762.192,156.260,918.452,30.33524,-81.64811
442,2020,12033.0,PRESIDENT,FL,70929.0,96674.0,167603.0,1,57.68,7.68,7.68,297619,656.461,218.243,874.704,30.61166,-87.33904
448,2020,12035.0,PRESIDENT,FL,28161.0,43043.0,71204.0,1,60.45,10.45,10.45,95696,485.461,85.364,570.825,29.47489,-81.28636
454,2020,12037.0,PRESIDENT,FL,2120.0,4675.0,6795.0,1,68.8,18.8,18.8,11549,534.725,491.769,1026.494,29.81017,-84.79917
460,2020,12039.0,PRESIDENT,FL,16153.0,7465.0,23618.0,0,68.39,18.39,-18.39,46389,516.332,12.196,528.528,30.57917,-84.61278
466,2020,12041.0,PRESIDENT,FL,1700.0,7895.0,9595.0,1,82.28,32.28,32.28,16939,349.677,5.562,355.239,29.72345,-82.7958
472,2020,12043.0,PRESIDENT,FL,1385.0,3782.0,5167.0,1,73.2,23.2,23.2,12884,806.009,180.839,986.848,26.95481,-81.19082
478,2020,12045.0,PRESIDENT,FL,1985.0,6113.0,8098.0,1,75.49,25.49,25.49,15863,564.012,191.549,755.561,29.90725,-85.25653
484,2020,12047.0,PRESIDENT,FL,1963.0,3815.0,5778.0,1,66.03,16.03,16.03,14799,513.790,5.266,519.056,30.4911,-82.95104
490,2020,12049.0,PRESIDENT,FL,2298.0,6122.0,8420.0,1,72.71,22.71,22.71,27731,637.783,0.556,638.339,27.49284,-81.82158
496,2020,12051.0,PRESIDENT,FL,4929.0,7906.0,12835.0,1,61.6,11.6,11.6,39140,1152.750,37.246,1189.996,26.53934,-81.15158
502,2020,12053.0,PRESIDENT,FL,37519.0,70412.0,107931.0,1,65.24,15.24,15.24,172778,472.539,116.483,589.022,28.56791,-82.46483
508,2020,12055.0,PRESIDENT,FL,16938.0,34873.0,51811.0,1,67.31,17.31,17.31,98786,1016.615,89.420,1106.035,27.34262,-81.34092
514,2020,12057.0,PRESIDENT,FL,376367.0,327398.0,703765.0,0,53.48,3.48,-3.48,1229226,1020.214,245.551,1265.765,27.90659,-82.34956
520,2020,12059.0,PRESIDENT,FL,924.0,8080.0,9004.0,1,89.74,39.74,39.74,19927,478.777,10.270,489.047,30.86622,-85.81295
526,2020,12061.0,PRESIDENT,FL,37844.0,58872.0,96716.0,1,60.87,10.87,10.87,138028,502.872,114.134,617.006,27.70063,-80.5748
532,2020,12063.0,PRESIDENT,FL,6766.0,15488.0,22254.0,1,69.6,19.6,19.6,49746,917.760,36.804,954.564,30.78781,-85.21037
538,2020,12065.0,PRESIDENT,FL,3897.0,4479.0,8376.0,1,53.47,3.47,3.47,14761,598.095,38.440,636.535,30.42455,-83.89085
544,2020,12067.0,PRESIDENT,FL,510.0,3128.0,3638.0,1,85.98,35.98,35.98,8870,543.411,4.497,547.908,29.99006,-83.17851
550,2020,12069.0,PRESIDENT,FL,83505.0,125859.0,209364.0,1,60.11,10.11,10.11,297052,938.381,218.583,1156.964,28.76411,-81.71228
556,2020,12071.0,PRESIDENT,FL,157695.0,233247.0,390942.0,1,59.66,9.66,9.66,618754,784.513,427.948,1212.461,26.55213,-81.89225
562,2020,12073.0,PRESIDENT,FL,103517.0,57453.0,160970.0,0,64.31,14.31,-14.31,275487,666.852,34.937,701.789,30.45931,-84.2778
568,2020,12075.0,PRESIDENT,FL,6205.0,16749.0,22954.0,1,72.97,22.97,22.97,40801,1118.206,294.589,1412.795,29.2844,-82.78348
574,2020,12077.0,PRESIDENT,FL,694.0,2846.0,3540.0,1,80.4,30.4,30.4,8365,835.562,7.561,843.123,30.25984,-84.86858
580,2020,12079.0,PRESIDENT,FL,3747.0,5576.0,9323.0,1,59.81,9.81,9.81,19224,695.948,19.735,715.683,30.44722,-83.47043
586,2020,12081.0,PRESIDENT,FL,90166.0,124987.0,215153.0,1,58.09,8.09,8.09,322833,742.931,149.748,892.679,27.48138,-82.36578
592,2020,12083.0,PRESIDENT,FL,74858.0,127826.0,202684.0,1,63.07,13.07,13.07,331298,1584.546,78.064,1662.610,29.2028,-82.0431
598,2020,12085.0,PRESIDENT,FL,36893.0,61168.0,98061.0,1,62.38,12.38,12.38,146318,543.464,209.365,752.829,27.07995,-80.39821
604,2020,12086.0,PRESIDENT,FL,617864.0,532833.0,1150697.0,0,53.69,3.69,-3.69,2496435,1897.716,533.467,2431.183,25.61049,-80.49904
610,2020,12087.0,PRESIDENT,FL,21881.0,25693.0,47574.0,1,54.01,4.01,4.01,73090,983.282,2754.242,3737.524,25.60104,-81.20677
616,2020,12089.0,PRESIDENT,FL,15564.0,42566.0,58130.0,1,73.23,23.23,23.23,73314,648.639,77.282,725.921,30.60592,-81.76492
622,2020,12091.0,PRESIDENT,FL,34248.0,79798.0,114046.0,1,69.97,19.97,19.97,180822,930.247,151.831,1082.078,30.66585,-86.59419
628,2020,12093.0,PRESIDENT,FL,4390.0,11470.0,15860.0,1,72.32,22.32,22.32,39996,768.908,122.999,891.907,27.38559,-80.88738
634,2020,12095.0,PRESIDENT,FL,395014.0,245398.0,640412.0,0,61.68,11.68,-11.68,1145956,903.429,99.831,1003.260,28.51443,-81.32329
640,2020,12097.0,PRESIDENT,FL,97297.0,73480.0,170777.0,0,56.97,6.97,-6.97,268685,1327.453,178.453,1505.906,28.05902,-81.13931
646,2020,12099.0,PRESIDENT,FL,433572.0,334711.0,768283.0,0,56.43,6.43,-6.43,1320134,1969.763,413.246,2383.009,26.64576,-80.44867
652,2020,12101.0,PRESIDENT,FL,119073.0,179621.0,298694.0,1,60.14,10.14,10.14,464697,746.886,121.568,868.454,28.30202,-82.4557
658,2020,12103.0,PRESIDENT,FL,277450.0,276209.0,553659.0,0,50.11,0.11,-0.11,916542,273.799,334.328,608.127,27.90312,-82.73951
