,unnamed:_0,target_2016,fip,"total_production,_transportation,_and_material_moving_occupations",median_age:_total,median_income,in_civilian_labor_force,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,state_fip,county_fip,FIPS,Total Areami²,percent_no_hs,pop_density,unemp_rate,uninsured_rate,total_agriculture_percentage,total_construction_percentage,total_manufacturing_percentage,total_wholesale_trade_percentage,total_retail_trade_percentage,transportation_warehousing_utilities_percentage,total_information_percentage,total_finance_and_real_estate_percentage,total_scientific_administrative_and_waste_management_services_percentage,total_educational_healthcare_and_social_assistance_percentage,total_arts_and_entertainment_percentage,total_other_services_percentage,total_public_administration_percentage,total_management_business_science_and_arts_occupations_percentage,total_service_occupations_percentage,total_sales_and_office_occupations_percentage,total_natural_resources_and_maintenance_occupations_percentage,"total_production,_transportation,_and_material_moving_occupations_percentage",percent_white,percent_black,percent_american_indian_and_alaska_native,percent_pacific_islander
142,142,1,17151,310,47.7,20151.0,1633,0,86,195,4126,0,4331,17,151,17151,374.302,1.1429479034307497,11.570870580440392,0.10042865890998164,31.22222222222222,0.0520514390691978,0.04409063074096754,0.07532149418248622,0.004286589099816289,0.16105327617881202,0.07532149418248622,0.007960808328230252,0.021432945499081445,0.05511328842620943,0.24372320881812615,0.056338028169014086,0.03919167176974893,0.06368646662584201,0.19534598897734232,0.21187997550520515,0.18064911206368647,0.12186160440906307,0.18983466013472136,0.9464867380176827,0.036993950674732434,0.0020939972080037225,0.0
143,143,1,17153,324,43.5,18911.0,2309,47,170,367,5863,0,5871,17,153,17153,203.229,1.1948692649235324,28.88859365543303,0.16197488090082288,64.88888888888889,0.039411000433087914,0.060632308358596794,0.07535729753139887,0.004763967085318319,0.08488523170203552,0.09874404504114336,0.006929406669553919,0.03594629709831096,0.047206582936336075,0.23040277176266782,0.04027717626678216,0.038111736682546554,0.07535729753139887,0.21741013425725422,0.223906453009961,0.1693373754872239,0.08705067128627111,0.14032048505846687,0.6659707724425887,0.3268963117606124,0.0015657620041753654,0.0
144,144,1,17155,575,46.0,30426.0,3138,25,196,272,5816,0,5822,17,155,17155,172.224,1.0976190476190477,33.80481233742103,0.09910771191841937,54.77777777777778,0.04684512428298279,0.05704270235818993,0.15360101975780752,0.02804333970681963,0.12810707456978968,0.09337157425111536,0.0124282982791587,0.03441682600382409,0.04174633524537922,0.18196303377947737,0.06118546845124283,0.02581261950286807,0.036328871892925434,0.25908221797323133,0.1577437858508604,0.17845761631612492,0.12237093690248566,0.18323773103887828,0.9910917030567685,0.002096069868995633,0.0,0.0
145,145,1,17157,3238,41.7,25343.0,14685,262,825,1304,29941,0,33069,17,157,17157,597.205,1.153113431221663,55.37294563843236,0.06721144024514811,265.6666666666667,0.038202247191011236,0.06748382703438884,0.19298604017705143,0.014096016343207354,0.09159005788219271,0.06128702757916241,0.013823629553966633,0.033980251957780046,0.04630575417092271,0.21872659176029963,0.05543071161048689,0.041675178753830436,0.05720122574055159,0.2292815798433776,0.1906026557711951,0.17991147429349677,0.11249574395641812,0.2204971058903643,0.8874327956989247,0.104044477028348,0.0010997067448680353,0.0
146,146,1,17159,1621,42.4,24557.0,7735,183,460,758,15917,0,16127,17,159,17159,361.896,1.1163390554122565,44.56252625063554,0.054040077569489336,155.66666666666666,0.06360698125404007,0.043051066580478345,0.13665158371040723,0.022236586942469296,0.12954104718810602,0.05261797026502909,0.01965093729799612,0.03089851325145443,0.036457659987071754,0.24628312863606983,0.055591467356173235,0.05391079508726568,0.05546218487394958,0.26218487394957984,0.15888817065287653,0.21706528765352295,0.0982546864899806,0.20956690368455075,0.9883545259977339,0.004406395568425028,0.003210373914138235,0.0
147,147,0,17161,13211,40.0,26898.0,74277,907,5125,6726,144775,115,147161,17,161,17161,451.288,1.1188800095183327,326.09109925369165,0.07861114476890559,1417.5555555555557,0.009585739865638085,0.04971929399410315,0.17446854342528642,0.02370855042610768,0.10727412254129812,0.058874214090499075,0.01971000444282887,0.0357041883759441,0.07792452576167588,0.1986213767384251,0.08112874779541446,0.042960808864116753,0.041708738909756723,0.27191458998074775,0.17382231377142318,0.21996041843370087,0.07783028393715416,0.17786124910806844,0.8478786901113082,0.09753326272821002,0.0028826528823021947,0.0002454813890038365
148,148,0,17163,15121,37.7,27516.0,127881,2361,11258,12407,261228,110,267029,17,163,17163,674.033,1.0965173569075706,396.16606308593197,0.08870747022622595,2891.777777777778,0.005536397119196753,0.049436585575652364,0.0801370023693903,0.02101172183514361,0.10178212556986574,0.06188565932390269,0.01179221307309139,0.05877339088684011,0.09988974124381261,0.22206582682337486,0.08459427123654022,0.043235508011354305,0.07115208670560912,0.3160203626809299,0.17768863240043478,0.2255378046777864,0.07380298871607198,0.118242741298551,0.6694961538461538,0.30721923076923074,0.0018076923076923077,0.00023846153846153847
149,149,1,17165,1392,42.4,19775.0,11314,31,1066,1444,24235,0,24783,17,165,17165,386.78,1.1422428820453225,64.07518485961012,0.13019268163337458,282.3333333333333,0.09254021566201166,0.05320841435389782,0.0692946791585646,0.02253844794060456,0.11065936008485062,0.0493194272582641,0.013434682694007424,0.03226091567968888,0.043839490896234755,0.22131872016970125,0.06584762241470744,0.04436980731836662,0.05117553473572565,0.20063637970655826,0.209916917093866,0.20381827823934948,0.13240233339225738,0.1230334099345943,0.9506198262015568,0.037519047815164124,0.004983320291586013,0.0
150,150,1,17167,8252,39.7,30755.0,104365,976,5881,7352,196845,107,199016,17,167,17167,877.019,1.078915817733809,226.9232479569998,0.07866621951803765,1578.7777777777778,0.012494610262061036,0.04076079145307335,0.044833037895846306,0.021204426771427202,0.09919034158961337,0.0382982800747377,0.01652852967949025,0.07453648253724908,0.07985435730369377,0.2423034542231591,0.07707564796627221,0.04560916015905715,0.1286446605662818,0.3795812772481196,0.16698126766636323,0.2313419249748479,0.06436065730848464,0.07906865328414699,0.8459518217187733,0.12640759833272516,0.0013876825187979585,0.000308373893066213
151,151,1,17169,525,44.7,24886.0,3233,65,413,722,7232,47,7311,17,169,17169,441.332,1.1238676280273618,16.565760017401864,0.05289205072687906,133.33333333333334,0.07052273430250541,0.05289205072687906,0.13671512527064647,0.05907825549025673,0.11135168574079803,0.03773584905660377,0.011753789050417568,0.035879987627590475,0.02721930095886174,0.2437364676770801,0.039591710485617077,0.04361274358181256,0.07701824930405196,0.2601299103000309,0.17630683575626352,0.24342715743891122,0.10485617073925146,0.16238787503866378,0.9519933783970203,0.04579942060973927,0.002207200993240447,0.0
