,C24050_002E,C24050_003E,C24050_004E,C24050_005E,C24050_006E,C24050_007E,C24050_008E,C24050_009E,C24050_010E,C24050_011E,C24050_012E,C24050_013E,C24050_014E,C24050_015E,C24050_029E,C24050_043E,C24050_057E,C24050_071E,C02003_002E,C02003_003E,C02003_004E,C02003_005E,C02003_006E,C02003_007E,C02003_008E,B01002_001E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B19326_001E,B23025_005E,B23025_003E,B27010_017E,B27010_033E,B27010_050E,B27010_001E,B27010_066E,B01003_001E,state_fip,county_fip
"Mackinac County, Michigan: Summary level: 050, state:26> county:097",135,359,209,35,431,249,39,275,272,907,884,265,410,1083,1252,1058,555,522,10391,8318,189,1747,65,0,72,50.9,8412,40,0,5,0,6,0,3,0,35,31,112,152,232,251,107,22348,639,5109,195,495,889,10902,5,11044,26,097
"Macomb County, Michigan: Summary level: 050, state:26> county:099",1160,19442,82939,10176,47943,14423,6272,23317,38855,84760,37308,18911,15640,135401,71669,101681,29953,62442,835788,711052,87934,2293,29616,158,4735,40.8,592575,8913,86,41,153,236,795,825,1235,2588,1437,6364,6915,12227,13039,11071,27633,39477,440623,6458,33399,38318,848168,671,854689,26,099
"Manistee County, Michigan: Summary level: 050, state:26> county:101",277,607,1221,170,1193,353,167,392,524,1803,1307,372,624,2455,2107,2157,967,1324,23881,22518,781,464,95,8,15,48.2,18127,128,3,0,3,5,0,5,2,35,91,179,255,530,382,259,22321,1176,10186,240,921,1472,23296,7,24536,26,101
"Marquette County, Michigan: Summary level: 050, state:26> county:103",1509,1817,1476,511,3525,1355,455,1315,1969,8859,3572,1560,1599,9218,7119,6588,3634,2963,65825,63104,1143,885,477,34,182,39.1,44640,239,0,0,0,0,11,0,67,83,50,324,355,391,604,337,21891,2606,32128,490,3612,2811,65440,22,67582,26,103
"Mason County, Michigan: Summary level: 050, state:26> county:105",417,766,2110,397,1536,517,147,624,594,2655,1394,593,433,3669,2320,2713,1158,2323,28114,27275,286,219,172,0,162,45.7,20531,134,0,0,18,2,5,11,15,37,10,289,171,428,374,215,21830,1462,13645,309,1339,1644,28407,10,28711,26,105
"Mecosta County, Michigan: Summary level: 050, state:26> county:107",477,988,2878,252,2139,719,253,700,891,5071,2036,724,511,5037,4048,3553,1545,3456,42175,40277,1190,200,353,46,109,35.7,26471,268,0,4,0,10,0,28,37,27,59,388,242,566,780,410,18954,2444,20083,640,2307,1885,43073,20,43301,26,107
"Menominee County, Michigan: Summary level: 050, state:26> county:109",337,547,2987,235,1043,467,108,383,433,1965,1064,412,365,2631,1916,2184,1214,2401,23086,22465,63,496,48,0,14,47.5,17343,88,0,4,2,0,4,15,16,9,43,287,172,432,453,166,22100,967,11313,256,869,1133,23417,19,23717,26,109
"Midland County, Michigan: Summary level: 050, state:26> county:111",313,2675,8184,569,3988,1485,538,1386,3058,8545,3722,1937,1006,14714,6096,8687,3273,4636,82347,78318,1155,365,1949,49,511,40.9,57296,291,0,4,0,20,2,3,13,48,95,594,397,863,835,570,26974,3491,40897,667,2734,3312,83011,21,83624,26,111
"Missaukee County, Michigan: Summary level: 050, state:26> county:113",692,397,1163,131,721,404,68,180,257,1123,442,272,246,1451,977,1360,940,1368,14813,14533,79,97,67,0,37,43.0,10373,53,0,14,3,0,0,5,19,43,17,187,206,334,362,147,21442,753,6849,236,679,839,14871,0,14988,26,113
"Monroe County, Michigan: Summary level: 050, state:26> county:115",918,3748,14095,1520,6849,5147,935,2839,4868,15955,5955,3391,1804,19912,12474,14361,7282,13995,148201,142325,3494,533,928,7,914,41.7,103337,776,9,7,0,31,10,18,3,299,249,1140,1342,2082,2505,1682,27354,6136,74160,1090,4419,5532,149557,34,150436,26,115
"Montcalm County, Michigan: Summary level: 050, state:26> county:117",794,1726,5450,701,3239,1239,369,768,1474,5140,1388,1185,1115,6158,3985,5775,3192,5478,61522,59382,1333,287,246,13,261,40.0,43161,536,5,0,2,0,30,29,53,41,87,794,579,1461,1112,747,21366,3089,27677,730,2452,3617,60537,53,63004,26,117
"Montmorency County, Michigan: Summary level: 050, state:26> county:119",100,251,393,40,367,154,20,169,175,553,356,209,150,628,732,684,327,566,9249,9124,34,59,0,0,32,54.6,7465,122,0,19,0,0,0,0,0,8,12,171,119,253,256,121,19475,558,3495,103,321,775,9289,0,9401,26,119
"Muskegon County, Michigan: Summary level: 050, state:26> county:121",610,3457,17684,1516,8139,2195,673,2407,4911,16205,6076,3250,2550,19699,14218,15778,5073,14905,165280,138796,23697,1104,875,57,751,39.1,114891,1300,11,0,2,14,97,38,69,180,440,1166,1495,3146,2793,2070,21852,9446,79119,1002,6653,6955,166589,10,171483,26,121
"Newaygo County, Michigan: Summary level: 050, state:26> county:123",813,1451,4014,379,2438,694,193,770,1346,3818,1016,1004,683,4804,2905,4323,2588,3999,47260,45280,661,340,151,0,828,42.4,32890,455,2,0,5,6,11,18,48,156,66,590,643,1069,930,604,21499,2091,20710,483,1705,2645,47509,0,48029,26,123
"Oakland County, Michigan: Summary level: 050, state:26> county:125",1621,23746,107961,16124,61911,16464,12715,46546,84644,140084,52022,25491,17155,290186,87572,144336,29731,54659,1197620,938156,170706,3312,77073,194,8179,40.8,854509,7104,44,84,103,275,526,576,857,2477,1324,5170,5829,9850,12651,10701,34295,49410,655894,8693,40270,49043,1223588,916,1229503,26,125
"Oceana County, Michigan: Summary level: 050, state:26> county:127",1072,596,2382,218,943,371,75,357,636,1959,822,478,451,2646,1852,1904,1559,2399,25859,24850,341,177,74,0,417,42.3,17791,177,0,8,9,11,33,16,46,200,68,409,384,421,527,302,20180,988,11348,368,1352,1590,26056,9,26229,26,127
"Ogemaw County, Michigan: Summary level: 050, state:26> county:129",452,484,772,243,1152,393,79,204,477,1979,823,347,256,1902,1670,1974,931,1184,20977,20543,66,194,119,0,55,49.0,15701,166,1,2,1,0,11,3,7,29,51,267,377,503,618,322,19907,1084,8745,284,736,1279,20952,8,21222,26,129
"Ontonagon County, Michigan: Summary level: 050, state:26> county:131",132,170,167,12,213,147,49,84,71,470,249,130,154,538,446,437,294,333,6206,6062,20,67,32,2,23,55.6,5140,39,0,0,0,0,0,2,0,0,27,58,59,90,100,69,21833,324,2372,81,175,559,6234,0,6298,26,131
"Osceola County, Michigan: Summary level: 050, state:26> county:133",443,458,2168,111,938,505,72,268,499,1978,624,417,326,2200,1567,1707,1029,2304,22880,22438,184,151,65,3,39,42.5,15947,86,0,15,6,33,10,6,19,34,23,411,194,390,431,258,20681,1010,9817,565,1046,1538,22972,38,23234,26,133
"Oscoda County, Michigan: Summary level: 050, state:26> county:135",118,174,553,18,329,97,34,104,198,489,355,146,177,623,620,675,313,561,8299,8164,37,56,7,12,23,51.3,6277,65,0,0,0,0,0,0,2,3,11,297,155,176,227,87,19653,424,3216,284,478,672,8401,21,8444,26,135
"Otsego County, Michigan: Summary level: 050, state:26> county:137",329,581,1062,444,1793,597,188,540,562,2080,1445,600,512,3110,1962,2973,1147,1541,23656,23129,92,192,151,0,92,44.2,16985,142,0,5,13,3,34,0,7,11,37,92,191,262,250,325,24151,955,11688,184,918,1335,23956,2,24141,26,137
"Ottawa County, Michigan: Summary level: 050, state:26> county:139",2853,6977,33538,4534,14477,4507,1786,6127,10659,29107,11107,6615,3209,46264,20888,30480,10843,27021,267373,246029,4466,1272,7643,5,7958,34.7,167263,1607,35,0,48,182,217,83,184,907,452,1873,1589,2129,2539,2607,26028,8863,144359,1603,7915,8233,271817,115,273136,26,139
"Presque Isle County, Michigan: Summary level: 050, state:26> county:141",379,333,563,74,505,356,42,158,228,1024,389,190,249,1240,839,974,648,789,12848,12681,60,49,44,0,14,53.2,10127,71,0,0,0,1,21,1,4,16,26,247,151,210,249,212,22295,674,5164,143,457,774,12877,0,13037,26,141
"Roscommon County, Michigan: Summary level: 050, state:26> county:143",105,739,727,179,1414,400,128,448,358,1479,889,293,404,1869,1385,2159,977,1173,23713,23304,48,273,66,0,22,54.4,18994,147,0,4,5,0,8,0,8,48,62,247,309,489,655,266,19432,1249,8812,238,785,1728,23841,0,24068,26,143
"Saginaw County, Michigan: Summary level: 050, state:26> county:145",1030,3866,12299,1988,10994,3319,1382,3833,6392,20963,8077,4040,2923,24622,17247,20648,6238,12351,190269,147890,36160,517,2307,77,3318,40.3,132135,1538,23,10,21,45,190,56,219,463,313,1602,1729,3537,3811,2246,22617,10164,91270,1280,7557,8211,193164,85,196479,26,145
"St. Clair County, Michigan: Summary level: 050, state:26> county:147",608,4797,15430,1044,8695,3523,811,2752,4638,15444,6055,3136,3007,19044,13674,16135,7310,13777,156066,150204,3534,290,1003,0,1035,42.8,111510,1107,7,24,14,13,61,46,49,259,220,1185,1252,2686,2897,1793,24470,8087,78027,1254,5836,7630,159239,57,160429,26,147
"St. Joseph County, Michigan: Summary level: 050, state:26> county:149",1004,1066,9575,469,2301,1051,164,839,1568,4489,1924,1128,754,6470,3799,5083,2518,8462,59746,56231,1687,208,387,3,1230,39.2,40598,593,0,0,0,43,38,12,55,272,62,1123,851,1246,1104,608,24283,2478,28810,1155,2818,2645,60467,59,61022,26,149
"Sanilac County, Michigan: Summary level: 050, state:26> county:151",1650,906,3776,308,2391,810,248,559,800,3334,999,757,609,4418,2737,3968,2230,3794,41380,40601,240,151,131,2,255,44.2,29344,281,0,0,0,10,3,8,3,83,41,594,426,852,738,530,21274,2051,19198,942,1905,2601,41718,32,42014,26,151
"Schoolcraft County, Michigan: Summary level: 050, state:26> county:153",151,214,244,13,271,134,15,180,84,745,432,152,168,722,706,620,393,362,7875,7204,41,493,122,0,15,50.0,6184,173,0,0,5,0,8,13,0,2,14,78,60,167,148,114,19165,518,3321,153,175,636,8179,0,8288,26,153
"Shiawassee County, Michigan: Summary level: 050, state:26> county:155",677,2250,5085,767,4126,1486,447,1230,2019,6719,1698,1668,1530,8370,5135,7081,3394,5722,68057,66900,317,313,299,31,197,41.5,47399,366,0,12,33,0,0,4,26,25,98,468,551,996,948,753,25213,3418,33120,810,2769,3479,68665,9,69113,26,155
"Tuscola County, Michigan: Summary level: 050, state:26> county:157",979,1519,4110,441,2989,1229,226,871,1423,5806,1631,1136,714,6029,4791,4881,2737,4636,53665,52509,625,168,172,0,191,43.3,38134,350,0,19,51,0,3,15,34,74,85,682,447,941,1054,538,22423,2368,25442,424,1937,2989,53502,22,54420,26,157
"Van Buren County, Michigan: Summary level: 050, state:26> county:159",1507,2129,5898,784,3622,1401,372,1367,2649,6973,2791,1536,1223,9377,6361,6797,4088,5629,72808,66196,2723,491,436,7,2955,41.3,50855,782,0,3,18,33,179,75,142,553,186,892,901,1214,1251,719,22607,2975,35227,916,3197,4701,74891,26,75351,26,159
"Washtenaw County, Michigan: Summary level: 050, state:26> county:161",901,5291,19186,2806,16384,5261,3614,7122,20207,66890,17343,7182,4196,90558,28584,35217,7782,14242,339158,262252,42750,952,29879,125,3200,33.4,219618,1172,70,7,14,43,216,141,56,448,381,1440,1249,2270,2140,2496,30317,14001,190384,1726,11821,8095,349733,145,354092,26,161
"Wayne County, Michigan: Summary level: 050, state:26> county:163",1929,27563,116065,16407,76227,42009,12491,38327,73772,162050,72207,33971,23882,218413,143150,170261,48007,117069,1738814,948947,701169,5998,51675,270,30755,37.8,1170589,19134,180,350,313,710,1569,1915,3773,8438,4349,14349,18820,34769,44692,25830,22406,121718,818618,16748,93389,105265,1766776,1783,1778969,26,163
"Wexford County, Michigan: Summary level: 050, state:26> county:165",339,545,2788,219,1742,725,200,526,980,2851,1328,717,481,3562,2358,2898,1221,3402,32177,31515,211,210,205,4,32,41.7,22609,258,0,1,0,11,49,0,11,35,67,243,356,585,495,412,21724,1404,14845,515,1409,1823,32506,20,32751,26,165
"Anderson County, Texas: Summary level: 050, state:48> county:001",1764,1431,817,335,3302,1218,161,654,1310,4331,1223,835,2478,4647,4762,4716,2982,2752,57206,42959,12265,255,355,9,1363,38.9,41678,420,6,2,6,45,127,150,80,721,452,715,1322,1842,1848,703,22416,895,20754,1243,3078,4033,44901,5,57915,48,001
"Andrews County, Texas: Summary level: 050, state:48> county:003",2252,633,466,168,537,724,54,349,545,1311,390,337,157,1757,1094,1734,1977,1361,16369,15490,329,103,63,0,384,31.3,9980,264,0,0,21,17,115,72,48,552,76,153,163,300,521,248,31134,322,8245,891,1297,1119,16683,45,16775,48,003
"Angelina County, Texas: Summary level: 050, state:48> county:005",1263,2434,4793,979,4352,1702,344,1119,2648,9607,3421,2001,1519,9708,7519,8110,4817,6028,86341,68827,13246,404,848,0,3016,36.4,56564,1035,25,36,107,149,313,84,224,1106,596,1268,1803,1689,2116,1223,21516,3612,39794,2684,6211,7828,85572,172,87748,48,005
"Aransas County, Texas: Summary level: 050, state:48> county:007",538,1553,280,257,1472,319,65,383,928,1680,1114,627,248,2707,1884,2145,1755,973,23053,21538,409,183,404,0,519,49.0,17888,233,0,0,0,43,100,49,46,204,106,322,489,475,432,321,21351,689,10153,641,1543,2312,23866,87,24292,48,007
"Archer County, Texas: Summary level: 050, state:48> county:009",534,290,326,160,533,245,53,221,266,1020,165,230,196,1429,591,922,665,632,8657,8260,91,131,41,0,134,44.1,6085,40,0,0,29,2,28,2,10,61,16,116,94,141,98,46,29122,133,4372,142,426,566,8708,5,8779,48,009
"Armstrong County, Texas: Summary level: 050, state:48> county:011",122,126,46,40,94,50,15,42,48,226,52,32,61,374,115,192,199,74,1894,1751,23,31,0,3,86,45.1,1375,17,0,0,0,0,4,0,0,0,0,2,28,17,41,19,30403,11,965,11,105,90,1878,0,1943,48,011
"Atascosa County, Texas: Summary level: 050, state:48> county:013",2116,2263,1437,468,2281,1352,180,1047,1298,4075,1713,779,966,4647,4180,4350,3851,2947,45741,43154,369,163,147,0,1908,35.5,29641,650,0,0,13,121,239,151,342,774,362,755,1110,748,1459,442,23716,1389,21364,1244,3703,4060,46593,49,47050,48,013
"Austin County, Texas: Summary level: 050, state:48> county:015",788,1341,2068,464,1779,973,171,650,1085,2392,768,548,456,4157,2301,2825,1814,2386,28041,24483,2553,7,0,0,998,40.6,19347,457,0,0,14,69,98,55,41,514,178,360,334,297,433,165,27913,888,14371,951,1675,2208,28641,4,28886,48,015
"Bailey County, Texas: Summary level: 050, state:48> county:017",417,310,163,204,271,395,12,78,135,647,316,166,77,740,714,657,660,420,7108,6050,147,9,29,8,865,34.9,4299,98,50,0,15,157,78,0,41,246,0,62,97,238,258,26,20645,143,3334,388,870,842,6996,0,7126,48,017
"Bandera County, Texas: Summary level: 050, state:48> county:019",527,1106,580,129,945,102,108,496,759,2190,681,738,649,3227,1665,1909,1480,729,20013,19441,294,120,45,0,113,51.5,15840,56,0,12,3,4,6,38,12,70,392,261,273,304,526,295,24890,456,9466,569,1132,1925,20602,13,20796,48,019
"Bastrop County, Texas: Summary level: 050, state:48> county:021",1008,4224,3081,557,3880,2573,444,1206,2828,5791,2270,1607,2874,10202,4840,8189,5245,3867,75515,62368,6069,627,678,0,5773,38.7,51089,842,5,10,55,250,239,128,457,1138,982,809,1147,1327,1750,744,27962,3509,35852,3015,5132,6489,74866,65,76948,48,021
"Baylor County, Texas: Summary level: 050, state:48> county:023",137,182,71,24,55,98,25,115,67,450,86,110,66,559,178,326,322,101,3516,3378,69,21,0,0,48,48.5,2643,45,0,0,0,0,0,0,0,10,3,22,70,86,39,32,27038,21,1507,90,163,396,3555,23,3628,48,023
"Bee County, Texas: Summary level: 050, state:48> county:025",1334,636,444,120,1570,554,100,291,400,2480,594,797,1131,2222,2755,2339,1512,1623,32181,26848,2848,189,76,0,2220,35.3,22094,439,0,8,14,45,136,146,210,408,331,716,1012,1214,1160,221,19478,790,11241,665,2275,2689,25088,25,32659,48,025
"Bell County, Texas: Summary level: 050, state:48> county:027",1158,7562,8012,3006,15869,5815,1871,5931,12028,32293,11860,6416,15729,40957,25387,33390,12510,15306,310329,211001,70205,2814,9314,2558,14437,30.2,194614,2338,36,42,138,287,429,307,432,1812,727,2410,2272,2672,3229,2510,26968,13388,140938,6692,19093,16736,303696,465,326041,48,027
"Bexar County, Texas: Summary level: 050, state:48> county:029",10367,60307,48174,20077,99390,35567,15573,74630,91164,190807,94181,41210,42676,285059,161270,217659,78972,81163,1768384,1418681,136532,12001,48018,1273,151879,33.1,1145479,22336,240,416,1424,2689,6105,3984,6124,23401,8483,18074,27058,25023,26686,18791,24947,66157,890280,42379,143816,133688,1793642,2967,1825502,48,029
"Blanco County, Texas: Summary level: 050, state:48> county:031",251,771,334,78,382,146,35,221,418,1166,378,313,177,1693,965,903,724,385,10479,9956,65,141,52,0,265,48.6,7901,250,0,0,0,16,27,10,0,34,32,118,73,132,124,62,25669,319,4989,307,651,1159,10611,9,10723,48,031
"Borden County, Texas: Summary level: 050, state:48> county:033",53,14,12,11,20,6,0,13,13,72,9,8,51,149,33,40,40,20,701,680,0,21,0,0,0,38.7,474,1,0,0,0,0,0,0,0,0,0,0,4,9,12,4,37813,2,284,11,9,19,705,0,705,48,033
"Bosque County, Texas: Summary level: 050, state:48> county:035",593,685,805,181,799,568,74,332,519,1583,509,296,221,2042,1294,1560,1120,1149,17630,16923,269,81,80,0,277,46.0,12739,138,0,3,1,21,43,77,75,311,149,239,378,300,384,205,22502,611,7776,619,1212,1772,17623,23,17971,48,035
"Bowie County, Texas: Summary level: 050, state:48> county:037",541,2444,3126,982,4502,1667,370,1893,2976,8614,3137,1990,3717,10682,7346,8626,4199,5106,91009,64513,22609,824,917,66,2080,37.7,62572,568,0,5,2,72,40,148,148,419,374,532,1055,1314,1992,1275,22282,3341,39300,2166,6304,6834,87842,46,93155,48,037
"Brazoria County, Texas: Summary level: 050, state:48> county:039",3858,13949,22244,3783,14844,7533,2230,7179,16337,36995,10628,7105,7605,63303,22017,32302,16965,19703,325578,247806,43117,1058,19735,7,13855,35.5,213913,2983,28,22,158,369,758,702,909,3825,1810,2360,3923,4429,4914,2803,35625,8748,163038,8640,20592,22758,321393,748,331741,48,039
"Brazos County, Texas: Summary level: 050, state:48> county:041",3067,6629,5780,2260,11416,2591,1409,4853,8769,32105,11719,4348,3348,39456,16896,24295,9142,8505,199726,151747,22071,652,11780,68,13408,25.2,103564,1502,0,38,144,287,601,420,431,1910,652,1358,2004,2172,2338,1257,19176,6756,105050,3631,15969,10355,201420,302,205271,48,041
"Brewster County, Texas: Summary level: 050, state:48> county:043",232,309,94,120,409,74,72,211,198,1604,550,102,410,1901,854,824,550,256,9067,8609,123,140,0,0,195,42.1,6535,94,0,0,7,0,3,36,27,48,17,70,143,106,73,154,23016,227,4612,127,511,1085,9153,6,9235,48,043
"Briscoe County, Texas: Summary level: 050, state:48> county:045",116,89,54,12,59,59,2,16,19,140,70,65,56,255,126,126,156,94,1602,1500,72,1,0,5,24,42.5,1123,42,0,0,0,0,20,3,46,33,4,42,38,17,26,1,24107,37,794,69,127,197,1670,0,1670,48,045
"Brooks County, Texas: Summary level: 050, state:48> county:047",256,144,66,26,316,137,11,57,55,768,223,185,172,474,783,611,269,279,7135,6131,6,0,135,0,863,31.7,4494,194,0,0,7,19,0,149,43,143,124,196,237,56,96,57,13427,595,3011,196,1197,632,6898,12,7221,48,047
"Brown County, Texas: Summary level: 050, state:48> county:049",752,851,2151,220,1721,692,169,497,772,4032,1092,939,1118,4845,2976,3372,1498,2315,37199,34639,1629,150,178,8,595,41.0,25560,481,6,0,7,15,93,74,23,242,189,450,363,805,574,402,21850,682,15688,545,2781,2832,36802,1,37833,48,049
"Burleson County, Texas: Summary level: 050, state:48> county:051",641,567,973,162,733,371,72,261,439,1894,395,502,342,2011,1203,1678,1168,1292,16887,13613,2119,34,69,0,1052,42.6,11987,179,0,0,0,29,40,65,8,301,92,326,338,447,508,281,24671,592,7944,771,719,1812,17120,19,17293,48,051
"Burnet County, Texas: Summary level: 050, state:48> county:053",763,2360,1406,378,2485,766,366,861,1773,3068,2481,961,1005,5472,3835,4264,2849,2253,43699,41142,1037,335,137,0,1048,44.1,30751,265,0,0,12,109,109,112,114,489,152,485,702,807,725,516,25352,998,19671,813,3233,3442,43830,14,44144,48,053
"Caldwell County, Texas: Summary level: 050, state:48> county:055",826,1683,1436,405,2099,632,189,775,1210,3660,1315,1097,1366,4018,3740,3913,2407,2615,38342,29001,2785,235,80,27,6214,35.6,25019,433,0,76,8,70,294,154,296,446,337,486,641,748,870,395,22750,919,17612,1247,3542,4135,37433,6,39347,48,055
"Calhoun County, Texas: Summary level: 050, state:48> county:057",496,1141,2348,233,1015,365,109,428,572,1741,489,240,239,2601,1146,2169,1490,2010,20644,18986,624,15,767,19,233,38.1,14403,296,8,21,38,23,70,132,82,294,151,280,551,463,333,151,27007,729,10145,881,1346,1523,21472,6,21666,48,057
"Callahan County, Texas: Summary level: 050, state:48> county:059",344,455,519,167,600,353,17,219,235,1113,340,391,339,1318,839,1275,750,910,13254,12758,230,7,92,10,157,43.5,9466,176,0,0,29,2,0,4,30,21,42,86,94,224,286,183,23851,292,5384,584,935,1543,13451,53,13532,48,059
"Cameron County, Texas: Summary level: 050, state:48> county:061",3587,9894,8072,3614,19118,7301,2353,6672,12097,47045,12665,7630,7963,41246,37512,36959,15823,16471,413609,384900,2386,946,2724,25,22628,31.2,240350,11295,174,48,982,2630,3875,3309,4882,14478,3879,6930,11409,7625,7630,5546,17327,16472,164483,17995,51471,59490,415215,2245,417947,48,061
"Camp County, Texas: Summary level: 050, state:48> county:063",216,445,899,228,631,186,9,212,269,1219,294,270,161,1109,986,1103,683,1158,12207,9012,2182,14,43,0,956,37.8,8118,89,0,9,0,35,47,29,13,177,109,157,260,227,246,359,20780,471,5510,395,1113,1263,12448,18,12516,48,063
"Carson County, Texas: Summary level: 050, state:48> county:065",293,342,345,59,331,167,14,132,224,575,80,194,146,1013,295,703,515,376,5961,5799,65,39,21,11,26,40.7,4071,11,0,0,0,0,1,6,14,37,0,31,43,78,146,47,30995,49,2951,116,287,463,6020,0,6068,48,065
"Cass County, Texas: Summary level: 050, state:48> county:067",603,790,2005,254,1508,575,50,486,502,3125,662,873,531,2543,2296,2925,1782,2418,29895,23979,5239,106,128,24,419,43.3,21270,126,2,9,10,68,14,5,47,86,109,321,460,605,841,368,21266,1218,13182,1119,2218,2601,29920,41,30328,48,067
"Castro County, Texas: Summary level: 050, state:48> county:069",797,218,265,62,393,279,71,85,114,515,184,209,124,786,498,696,711,625,7562,7023,45,25,31,2,436,34.6,4773,221,8,0,26,58,97,39,17,256,22,148,207,117,126,87,22633,164,3480,578,874,1135,7858,2,7948,48,069
"Chambers County, Texas: Summary level: 050, state:48> county:071",348,2389,2943,897,887,1078,173,523,1238,2862,876,595,357,5210,1629,2867,2494,2966,36292,31317,2957,86,486,13,1433,36.2,23796,190,0,25,28,21,35,141,253,353,242,583,479,588,747,345,35375,1282,16448,1127,2374,3185,37046,94,37251,48,071
"Cherokee County, Texas: Summary level: 050, state:48> county:073",1324,1748,2236,590,2109,722,302,591,1576,5211,1171,952,1197,5302,4420,3936,3098,2973,49788,41138,7459,90,246,0,855,37.6,33172,745,0,39,34,107,214,48,229,784,190,700,1184,1210,1019,725,21116,1349,21078,1274,4173,4654,48955,33,51167,48,073
"Childress County, Texas: Summary level: 050, state:48> county:075",112,88,182,35,175,139,29,95,126,843,138,282,356,888,570,472,225,445,6961,5701,680,69,133,149,229,34.6,4806,17,0,0,0,5,3,0,58,87,0,130,28,111,167,24,24484,143,2743,86,315,419,5823,0,7059,48,075
"Clay County, Texas: Summary level: 050, state:48> county:077",489,343,327,187,513,248,75,254,292,1034,327,249,267,1326,844,1134,668,633,10321,9936,75,143,41,0,126,45.7,7457,90,0,0,10,10,4,27,10,78,65,90,61,182,136,72,24369,334,4939,300,527,882,10403,0,10479,48,077
"Cochran County, Texas: Summary level: 050, state:48> county:079",434,83,50,13,96,63,2,28,7,242,47,51,64,285,168,152,392,183,2870,2566,118,5,1,0,180,34.9,1821,48,0,0,0,7,66,26,31,136,41,55,112,21,40,40,20891,109,1289,223,384,297,2949,5,2993,48,079
"Coke County, Texas: Summary level: 050, state:48> county:081",184,69,24,2,138,151,67,69,42,506,105,46,105,698,209,228,189,184,3227,3051,25,28,4,0,119,49.3,2427,18,0,0,0,0,8,14,12,31,16,17,41,41,64,24,23966,49,1557,121,74,367,3121,0,3238,48,081
"Coleman County, Texas: Summary level: 050, state:48> county:083",367,340,247,47,355,214,35,138,79,827,252,188,146,848,673,780,569,365,8446,7973,202,69,70,0,132,47.1,6057,38,0,0,0,0,10,0,3,75,73,62,190,251,253,123,20027,288,3523,227,867,1127,8499,0,8536,48,083
"Collin County, Texas: Summary level: 050, state:48> county:085",5127,20708,44188,13590,52892,13688,17256,51073,72735,87989,34652,19988,10303,231328,52402,111732,23199,25528,836023,625093,77771,3801,107876,567,20915,35.9,557114,4868,66,96,294,403,731,680,2143,4893,1518,2810,4487,4211,3961,5357,41141,23054,467243,19743,40957,48271,859074,1950,862215,48,085
"Collingsworth County, Texas: Summary level: 050, state:48> county:087",287,204,43,9,85,92,5,51,55,276,94,37,107,341,209,250,364,181,3015,2562,106,62,6,0,279,37.0,2052,74,0,0,0,0,32,30,46,58,6,8,34,50,64,35,21242,74,1419,110,245,327,2996,6,3058,48,087
"Colorado County, Texas: Summary level: 050, state:48> county:089",853,714,908,407,1134,664,68,530,390,2200,553,424,324,2661,1554,1870,1483,1601,20707,16620,2831,111,38,0,1107,43.6,14328,209,0,10,0,20,79,88,90,232,97,332,407,349,358,234,24982,399,9568,720,877,1987,20417,13,20757,48,089
"Comal County, Texas: Summary level: 050, state:48> county:091",1052,5201,3664,1792,6881,2396,1309,3797,6606,11901,4810,2639,2142,20505,9014,13894,5963,4814,116565,108851,2355,503,1032,22,3802,42.4,82814,1265,12,92,56,149,222,134,235,943,331,669,706,1076,975,1026,30367,2817,57007,3227,6260,8509,118666,168,119632,48,091
"Comanche County, Texas: Summary level: 050, state:48> county:093",672,266,791,102,594,403,36,181,222,1286,215,330,240,1434,838,1105,831,1130,13422,13075,57,25,45,0,220,43.6,9364,297,0,8,40,73,161,36,26,133,18,207,245,262,258,233,21906,252,5590,882,1155,1487,13429,9,13623,48,093
"Concho County, Texas: Summary level: 050, state:48> county:095",209,109,39,3,33,18,29,46,22,204,47,43,159,328,130,235,163,105,4058,3822,21,0,32,0,183,40.8,3068,80,0,0,10,17,70,29,91,179,62,129,178,82,123,80,20966,28,989,67,106,220,2685,0,4086,48,095
"Cooke County, Texas: Summary level: 050, state:48> county:097",1448,980,3090,308,1903,1059,138,555,1009,3501,2427,816,778,4972,4067,3433,2061,3479,37826,35756,940,450,286,38,356,39.6,25864,183,0,0,0,72,133,87,97,137,122,378,478,742,550,354,26099,1347,19359,1028,2248,2833,38252,12,38761,48,097
"Coryell County, Texas: Summary level: 050, state:48> county:099",257,1495,999,454,2570,922,404,1142,1818,5613,1957,1167,3886,6891,5477,5693,2513,2110,70804,54447,11535,570,1526,736,1990,30.6,46703,308,9,0,0,46,92,52,160,374,287,470,937,1135,1061,571,25703,2384,25068,1055,2582,2548,58975,45,76128,48,099
"Cottle County, Texas: Summary level: 050, state:48> county:101",129,61,3,0,37,18,2,55,16,175,22,28,69,193,139,141,118,24,1489,1257,158,21,0,0,53,50.1,1056,16,0,0,4,0,37,3,3,32,4,32,49,33,34,14,18802,50,665,58,98,215,1510,0,1510,48,101
"Crane County, Texas: Summary level: 050, state:48> county:103",578,106,83,58,156,181,5,4,68,384,100,162,95,377,385,342,434,442,4657,2656,165,57,0,0,1779,33.5,2899,9,0,0,8,26,59,2,27,270,21,99,93,87,72,33,24301,109,2089,193,352,311,4636,0,4730,48,103
