,C24050_002E,C24050_003E,C24050_004E,C24050_005E,C24050_006E,C24050_007E,C24050_008E,C24050_009E,C24050_010E,C24050_011E,C24050_012E,C24050_013E,C24050_014E,C24050_015E,C24050_029E,C24050_043E,C24050_057E,C24050_071E,C02003_002E,C02003_003E,C02003_004E,C02003_005E,C02003_006E,C02003_007E,C02003_008E,B01002_001E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B19326_001E,B23025_005E,B23025_003E,B27010_017E,B27010_033E,B27010_050E,B27010_001E,B27010_066E,B01003_001E,state_fip,county_fip
"De Witt County, Illinois: Summary level: 050, state:17> county:039",240,603,1156,192,889,653,78,746,421,1676,604,394,414,2193,1419,2146,1069,1239,16064,15763,82,10,12,13,184,42.8,11618,78,0,0,0,6,23,1,12,27,2,130,122,155,208,118,28055,670,8736,99,402,786,16149,6,16388,17,039
"Douglas County, Illinois: Summary level: 050, state:17> county:041",368,750,2178,230,1215,477,170,394,412,1820,663,388,350,2480,1451,2367,1091,2026,19618,19121,96,47,127,0,227,38.3,13182,107,0,0,0,29,19,20,38,108,61,1136,138,155,235,70,28575,608,10023,1129,998,1347,19670,103,19826,17,041
"DuPage County, Illinois: Summary level: 050, state:17> county:043",972,21945,61565,18598,50107,26747,12697,43315,68809,99662,41189,22695,11291,214705,62683,125463,26154,50587,908104,739000,43798,2018,100760,333,22195,38.8,627482,5695,58,25,321,216,900,1015,1690,5662,1536,5641,4279,6437,5375,8987,36237,36311,515903,6903,32428,36494,924581,1370,930412,17,043
"Edgar County, Illinois: Summary level: 050, state:17> county:045",605,385,1801,194,702,392,22,453,347,1682,475,374,375,2108,1374,1680,758,1887,17847,17664,99,14,69,0,1,43.4,12791,185,0,0,0,0,2,2,34,76,10,225,259,358,326,126,24474,833,8640,176,541,740,17722,3,17992,17,045
"Edwards County, Illinois: Summary level: 050, state:17> county:047",237,163,755,117,322,137,22,126,145,577,122,136,109,699,408,628,412,821,6542,6490,37,0,15,0,0,43.7,4631,43,0,0,0,0,0,2,0,28,0,105,79,115,93,74,24776,267,3235,32,188,306,6615,19,6649,17,047
"Effingham County, Illinois: Summary level: 050, state:17> county:049",485,1354,2736,751,2499,797,195,757,972,3871,1735,810,420,5070,3107,4334,1854,3017,34104,33570,117,30,187,7,193,38.9,23140,149,4,8,0,0,3,0,4,16,59,592,224,388,338,252,26171,999,18381,232,976,1162,33927,2,34332,17,049
"Fayette County, Illinois: Summary level: 050, state:17> county:051",549,613,1280,216,1119,440,125,360,395,2114,570,412,750,2188,1957,1939,1140,1719,21782,20633,932,15,145,0,57,40.1,15284,158,0,4,0,2,37,18,4,135,29,579,298,530,611,242,21989,1036,9979,489,944,1210,20497,0,22136,17,051
"Ford County, Illinois: Summary level: 050, state:17> county:053",541,405,897,174,758,348,96,349,247,1490,374,376,124,1845,1078,1250,794,1212,13686,13508,80,48,41,7,2,42.7,9665,54,0,8,0,2,0,0,0,35,23,233,142,276,182,103,24592,584,6763,153,444,606,13424,0,13835,17,053
"Franklin County, Illinois: Summary level: 050, state:17> county:055",1069,750,1986,332,2115,791,209,870,747,4012,1176,696,757,4177,3227,3379,1861,2866,39229,38704,189,97,174,5,60,42.1,27687,259,0,13,12,7,9,11,28,128,44,525,413,698,760,537,22911,1731,17241,389,1723,2093,39216,19,39694,17,055
"Fulton County, Illinois: Summary level: 050, state:17> county:057",468,942,2465,514,1780,848,165,640,930,4258,932,753,870,4472,3159,3163,1621,3150,35893,34328,1290,27,95,38,115,42.2,26041,129,0,5,0,0,45,15,8,58,93,660,390,544,810,455,24137,1331,16896,167,946,1664,34089,17,36323,17,057
"Gallatin County, Illinois: Summary level: 050, state:17> county:059",352,141,169,56,224,214,31,70,131,574,71,119,128,673,432,438,366,371,5296,5216,21,33,25,0,1,45.1,3893,16,0,0,0,0,1,1,2,11,14,173,48,102,129,47,22417,185,2465,17,170,321,5385,0,5385,17,059
"Greene County, Illinois: Summary level: 050, state:17> county:061",480,403,802,262,762,303,87,240,308,1405,317,281,294,1632,1245,1122,732,1213,13409,13194,129,14,7,0,65,42.6,9490,56,0,0,11,1,0,16,0,38,42,252,230,337,220,158,22218,620,6564,138,426,667,13244,0,13502,17,061
"Grundy County, Illinois: Summary level: 050, state:17> county:063",391,2230,2538,874,3041,2145,265,1111,1744,5440,2351,1034,723,6911,4208,5733,3038,3997,49742,47413,731,54,359,0,1185,37.2,33005,224,25,24,0,6,2,0,53,146,14,550,304,300,469,361,32187,2033,25920,343,1242,2035,50053,0,50277,17,063
"Hamilton County, Illinois: Summary level: 050, state:17> county:065",609,273,402,83,417,303,45,142,162,672,180,171,159,930,524,851,582,731,8315,8265,42,8,0,0,0,43.2,5842,48,6,0,5,2,1,0,28,13,15,317,56,101,71,53,25973,171,3789,117,195,492,8241,25,8322,17,065
"Hancock County, Illinois: Summary level: 050, state:17> county:067",695,556,1305,332,961,562,100,322,584,1907,443,445,383,2517,1456,2065,879,1678,18557,18312,106,59,67,1,12,46.2,13470,82,0,0,14,0,0,7,3,42,25,195,98,272,203,156,26195,632,9227,43,441,882,18572,13,18738,17,067
"Hardin County, Illinois: Summary level: 050, state:17> county:069",230,51,26,32,130,180,6,49,59,477,81,85,87,401,304,263,253,272,4168,4083,33,5,28,0,19,46.6,3055,17,0,0,0,0,0,0,1,0,22,149,38,76,136,67,18515,330,1823,4,156,305,4193,2,4228,17,069
"Henderson County, Illinois: Summary level: 050, state:17> county:071",174,298,532,62,349,250,29,79,213,838,161,206,159,855,724,617,405,749,6971,6875,6,34,44,0,12,49.1,5206,19,0,0,0,0,0,0,4,11,11,126,86,124,125,121,25719,252,3602,40,151,324,6977,0,7042,17,071
"Henry County, Illinois: Summary level: 050, state:17> county:073",767,1642,4325,712,2737,1609,354,1104,1409,4925,1681,1151,1128,7285,3960,5464,2581,4254,48889,46841,890,47,257,7,847,42.2,34483,151,0,0,16,25,7,4,34,65,50,673,498,681,784,570,27739,1458,25002,283,1275,1757,49117,0,49883,17,073
"Iroquois County, Illinois: Summary level: 050, state:17> county:075",1047,1019,1886,505,1645,876,314,653,523,3258,760,695,352,3855,2191,3045,1832,2610,28773,27519,394,18,155,0,687,44.1,20316,141,0,0,24,11,54,21,23,95,37,270,274,562,403,381,24590,1101,14634,208,990,1197,28596,17,29053,17,075
"Jackson County, Illinois: Summary level: 050, state:17> county:077",557,1152,1656,252,3240,994,336,870,1315,10631,2417,944,1259,9728,5266,6399,1836,2394,57491,46043,8652,244,1982,0,570,30.1,35056,309,0,0,0,19,15,22,7,60,76,736,144,580,624,316,18487,2970,28593,403,2878,2111,58832,46,59534,17,077
"Jasper County, Illinois: Summary level: 050, state:17> county:079",430,259,653,146,508,450,60,206,327,935,259,270,188,1371,662,1171,610,877,9559,9417,33,9,14,0,86,42.9,6768,39,0,0,0,3,0,0,0,0,20,249,96,130,105,63,26826,273,4964,58,275,410,9572,20,9635,17,079
"Jefferson County, Illinois: Summary level: 050, state:17> county:081",476,900,2370,698,2446,988,162,675,1065,3947,1462,715,624,4399,3276,3885,1528,3440,37546,33894,3067,66,406,0,113,40.7,26773,227,0,1,9,0,5,18,66,70,40,980,388,687,742,503,22771,1679,18207,501,1146,1789,36536,37,38578,17,081
