,vax_percentage,total_agriculture,total_construction,total_manufacturing,total_wholesale_trade,total_retail_trade,transportation_warehousing_utilities,total_information,total_finance_and_real_estate,total_scientific_administrative_and_waste_management_services,total_educational_healthcare_and_social_assistance,total_arts_and_entertainment,total_other_services,total_public_administration,total_management_business_science_and_arts_occupations,total_service_occupations,total_sales_and_office_occupations,total_natural_resources_and_maintenance_occupations,"total_production,_transportation,_and_material_moving_occupations",median_age:_total,median_income,under_19_no_health_insurance_coverage,19_to_34_years_no_health_insurance_coverage,35_to_64_years_no_health_insurance_coverage,health_insurance_total,65_years_and_over_no_health_insurance_coverage,total_population_estimate,total_votes,target,county_[2],population(2010),land_areami²,water_areami²,total_areami²,percent_no_hs,unemp_rate,uninsured_rate,percent_white,percent_black,percent_american_indian_and_alaska_native,percent_pacific_islander
69,0.96,2970,1117,580,242,1365,709,99,413,748,1643,930,554,909,1932,2684,2398,3754,1511,40.1,19743.0,832,3627,4047,33136,100,34957,10559.0,1,DeSoto,34862,637.059,2.423,639.482,0.291572705253487,0.09373385489704038,1.2566996619990343,0.830021117185918,0.1337614625820822,0.0034713182330990194,0.000520697734964853
70,0.978,271,405,552,42,553,285,25,285,173,1065,424,141,689,1173,1001,1062,592,1082,46.9,18553.0,409,754,1663,14574,0,16091,7092.0,1,Dixie,16422,705.053,158.597,863.65,0.21175194057257324,0.07200907200907201,1.1939069575957184,0.8975056976449735,0.08964294758166624,0.002279057989364396,0.0017726006583945303
71,0.9109999999999999,1473,21734,24018,10925,50387,28791,6843,47138,52212,84382,42066,19869,19583,145285,75677,113931,31373,43155,36.0,26729.0,15105,53675,61109,872854,826,890673,417376.0,1,Duval,864263,762.192,156.26,918.452,0.11357793681504443,0.10038320742859905,1.1488095374484164,0.6356331419470325,0.30395015752802884,0.0025341465509835927,0.0011004905773396453
72,0.956,1312,7200,5990,2881,20185,6305,2432,10531,13842,29658,14542,7454,8070,42011,27322,37170,11060,12839,37.2,23934.0,3832,18322,18568,290220,54,306327,146269.0,1,Escambia,297619,656.461,218.243,874.704,0.10415780045329032,0.09353038086433055,1.1403142443663428,0.7241166550121344,0.22684861448178464,0.004387588608723075,0.0016522013354722828
73,0.9440000000000001,309,2190,2485,1020,5404,1226,669,2524,4583,8760,4327,2012,1414,11094,7730,11438,3320,3341,49.6,23536.0,2424,5089,7281,100410,190,100783,55876.0,1,Flagler,95696,485.461,85.36399999999998,570.825,0.09053267830277856,0.09342467098801807,1.147335922716861,0.8314164986269721,0.11450343003637764,0.00127676391014014,0.0002533261726468532
74,0.9009999999999999,396,269,68,208,393,193,55,265,282,762,564,217,659,1241,1219,669,755,447,42.1,24022.0,213,741,1031,9782,0,11628,5869.0,1,Franklin,11549,534.725,491.769,1026.494,0.2108535895986433,0.09393305439330545,1.2029237374769985,0.8294762484774665,0.1472072385592483,0.005133112928484427,0.005916130154863407
75,0.977,609,1520,514,372,1840,745,172,608,1528,4563,1063,748,2451,4839,3901,4255,2062,1676,40.2,23006.0,841,2827,4181,43969,67,46424,21748.0,0,Gadsden,46389,516.332,12.196,528.528,0.21961928058456423,0.11207216768373574,1.1785121335486366,0.4117518471560355,0.5560486162724609,0.0009399728938049228,0.0002841778516154418
76,0.9420000000000001,286,627,332,132,755,313,66,496,659,1414,474,198,508,1726,1261,1442,903,928,42.0,21073.0,573,1261,1579,15808,33,16992,8198.0,1,Gilchrist,16939,349.677,5.562,355.2390000000001,0.17100371747211895,0.10417859187178019,1.2159033400809716,0.9288016232991168,0.061888278825495344,0.0018500835521604202,0.0
77,0.9620000000000001,620,167,250,35,360,409,61,89,270,558,511,139,232,860,674,1201,512,454,45.3,19925.0,502,942,1289,11922,14,13272,4267.0,1,Glades,12884,806.0089999999999,180.83900000000003,986.848,0.2312733138421212,0.12856133741464562,1.2292400603925515,0.8068960267925103,0.1316029837113716,0.04034099558532501,0.0
78,0.981,135,709,256,111,548,333,150,341,673,802,568,194,784,1507,1311,1352,728,706,43.3,21158.0,157,896,1355,13459,17,15785,7049.0,1,Gulf,15863,564.012,191.549,755.561,0.17965331538202625,0.10221082986222364,1.1789137380191694,0.7900346731732375,0.18216257865673557,0.005650443046102478,0.0010273532811095416
79,0.981,394,251,387,34,376,305,43,159,205,905,436,102,369,1088,857,869,494,658,40.5,18616.0,229,737,762,11047,3,14395,5347.0,1,Hamilton,14799,513.79,5.266,519.056,0.2632400374570804,0.15814052218212693,1.1564225581605865,0.6217811922037274,0.34912505335040545,0.003201024327784891,0.0
80,0.993,2427,925,489,187,980,531,41,260,632,1627,610,363,445,1916,1702,1932,2653,1314,34.8,19673.0,1101,2628,2619,25794,0,27468,7391.0,1,Hardee,27731,637.783,0.556,638.339,0.3072842393474417,0.10981199139463099,1.24610374505699,0.8400637225844695,0.08106105512744517,0.0028897451096621223,0.00025933609958506224
81,0.946,3996,1304,1235,363,1320,659,57,461,956,2226,888,515,752,3239,1941,2545,4972,2035,33.8,19052.0,2127,4521,4494,36827,129,38363,10810.0,1,Hendry,39140,1152.75,37.246,1189.996,0.36972611331800126,0.11858322364484863,1.302549759687186,0.7514667233003265,0.12222251718920067,0.02182165706549152,0.0011946162627093897
82,0.932,542,4354,3145,1311,9002,3182,1033,4000,5540,13637,6198,3433,2982,17010,11692,17264,6383,6010,48.7,21851.0,3701,8399,13594,172961,207,174809,90765.0,1,Hernando,172778,472.539,116.483,589.0219999999998,0.12915357112519982,0.13673949380944633,1.1485537202028202,0.9187684072740873,0.054958861203309804,0.002501051844233556,0.00029217895376560234
83,0.973,2260,1786,1249,552,4575,1073,283,1441,2593,7880,3718,1758,1963,8610,7429,8341,4518,2233,52.1,19592.0,2013,5089,8254,97283,97,98328,44502.0,1,Highlands,98786,1016.615,89.42,1106.035,0.17423040731281086,0.13272043460091934,1.1578487505525117,0.8460366801367734,0.09739923324007875,0.0016267744275204642,0.0012433944668946222
84,0.919,8302,40103,31065,18782,71675,27881,15205,63796,85927,131364,61481,28433,24963,227706,108060,168777,53415,51019,36.6,26711.0,24297,88291,96233,1290830,1901,1302884,574766.0,0,Hillsborough,1229226,1020.214,245.551,1265.765,0.12525189501898745,0.08971775700375786,1.16177265790228,0.7345578712253675,0.1717874903102772,0.003697550660010811,0.0008409648982361138
85,0.975,340,603,409,77,894,299,139,201,490,1270,471,223,702,1574,1493,1379,920,752,42.1,17966.0,300,1313,1845,17718,25,19635,8336.0,1,Holmes,19927,478.777,10.27,489.047,0.2418611351195621,0.15368654032369622,1.1951687549384806,0.9139616329517537,0.07171606293450421,0.0029271862422246614,0.001202237206627986
86,0.937,1164,4145,2801,1566,7295,1902,879,4221,6370,11461,5936,3009,2462,17210,11789,14140,5669,4403,50.7,23674.0,2737,8574,12471,141532,281,142866,77663.0,1,Indian River,138028,502.872,114.134,617.006,0.11730935372095831,0.12165530446839769,1.1680326710567221,0.8762615837947871,0.09402269071445857,0.0024128457344588534,0.0
87,0.9790000000000001,492,852,802,361,2235,736,167,567,779,4549,1339,621,2121,4427,4472,3506,1446,1770,41.0,20022.0,416,2274,2765,41347,10,48900,20654.0,1,Jackson,49746,917.76,36.804,954.564,0.2073505677152646,0.13221487695128048,1.1319321837134495,0.7059731697648703,0.2728505560075942,0.005153241117439653,0.0006884897039494273
88,0.963,259,374,121,4,458,164,65,292,542,1177,339,242,909,2031,938,1132,505,340,45.3,25429.0,183,419,706,11742,0,14198,7471.0,1,Jefferson,14761,598.095,38.44,636.535,0.2009595866396014,0.09447088978396193,1.1113949923352069,0.6150618688664485,0.36523965296543875,0.0027734319442469066,0.0
89,0.9790000000000001,271,88,277,62,211,222,9,78,178,476,159,153,501,800,700,470,256,459,36.4,21665.0,127,558,889,7014,0,8801,3327.0,1,Lafayette,8870,543.411,4.497,547.908,0.24503868146653213,0.14626391096979333,1.2244083262047334,0.7845284759050034,0.18399815540696335,0.0,0.0
90,0.95,1869,8965,6695,2445,15913,5541,2833,7073,12122,26090,19717,6423,5956,37713,26174,33515,12600,11640,46.4,23370.0,5526,14685,22967,307095,615,310561,165026.0,1,Lake,297052,938.381,218.583,1156.964,0.1262811288941463,0.09706201101560297,1.1406014425503508,0.8543851137492533,0.1000557772343073,0.003904406401510276,0.0010957421177526724
91,0.953,2833,24654,9259,5502,41396,10357,4617,18669,33626,55427,33704,13872,9163,79358,59416,73902,29072,21331,46.9,24877.0,14664,45103,60831,658174,1952,663675,316459.0,1,Lee,618754,784.513,427.948,1212.461,0.13048169210366609,0.10136189893869577,1.1832311820278527,0.8598964591353817,0.08783961894019274,0.0030390990902626224,0.00022835389029204778
