,skew_diff,FIPS,county,state,Population(2010),Total Areami²,Latitude,Longitude
447,12.705,13033.0,BURKE,GA,23316,834.983,33.06373,-82.00389
2403,12.695,45089.0,WILLIAMSBURG,SC,34423,937.043,33.62646,-79.71647
952,12.695,20043.0,DONIPHAN,KS,7945,398.276,39.7885,-95.14722
2579,12.690000000000001,48029.0,BEXAR,TX,1714773,1256.086,29.44867,-98.52014
907,12.68,19151.0,POCAHONTAS,IA,7310,578.657,42.73403,-94.67827
2017,12.679999999999998,37169.0,STOKES,NC,47401,455.629,36.40419,-80.23927
795,12.674999999999999,18111.0,NEWTON,IN,14244,403.438,40.96239,-87.40217
1516,12.665000000000001,28145.0,UNION,MS,27134,416.906,34.4891,-89.0023
686,12.66,17097.0,LAKE,IL,703462,1368.479,42.32644,-87.43611
1540,12.65,29029.0,CAMDEN,MO,44002,708.645,38.03199,-92.76513
1011,12.635000000000002,20161.0,RILEY,KS,71115,621.956,39.29121,-96.72748
2019,12.625,37173.0,SWAIN,NC,13981,540.644,35.56884,-83.46561
465,12.625,13071.0,COLQUITT,GA,45498,556.639,31.18975,-83.76974
715,12.625,17155.0,PUTNAM,IL,6006,172.224,41.19894,-89.29838
522,12.620000000000001,13185.0,LOWNDES,GA,109233,510.575,30.83368,-83.26896
2329,12.600000000000001,42085.0,MERCER,PA,116638,682.605,41.30001,-80.25278
3083,12.585,54097.0,UPSHUR,WV,24254,354.755,38.90253,-80.23133
1378,12.57,27043.0,FARIBAULT,MN,14553,721.905,43.67652,-93.94723
1448,12.565000000000001,28009.0,BENTON,MS,8729,408.654,34.81077,-89.20002
2011,12.565,37157.0,ROCKINGHAM,NC,93643,572.705,36.38092,-79.78288
569,12.559999999999999,13281.0,TOWNS,GA,10471,171.983,34.90265,-83.73215
790,12.535,18101.0,MARTIN,IN,10334,340.406,38.70532,-86.80184
584,12.53,13311.0,WHITE,GA,27144,242.207,34.64367,-83.74371
2252,12.525,41003.0,BENTON,OR,85579,678.612,44.49062,-123.42631
219,12.520000000000001,5129.0,SEARCY,AR,8195,668.511,35.90966,-92.69935
2671,12.520000000000001,48213.0,HENDERSON,TX,78532,948.331,32.21163,-95.85341
2430,12.514999999999999,46053.0,GREGORY,SD,4271,1053.529,43.17909,-99.20215
1146,12.51,21221.0,TRIGG,KY,14339,481.329,36.80768,-87.85865
1126,12.490000000000002,21181.0,NICHOLAS,KY,7135,196.834,38.33713,-84.02555
714,12.489999999999998,17153.0,PULASKI,IL,6161,203.229,37.21561,-89.12775
3180,12.48,56037.0,SWEETWATER,WY,43806,10491.085,41.66033,-108.87567
3138,12.475,55095.0,POLK,WI,44205,956.407,45.46803,-92.45315
2411,12.475,46015.0,BRULE,SD,5255,846.476,43.72988,-99.09294
2847,12.46,49057.0,WEBER,UT,231236,659.386,41.27035,-111.87587
1956,12.46,37047.0,COLUMBUS,NC,58098,953.640,34.26047,-78.63637
3118,12.46,55057.0,JUNEAU,WI,26664,804.028,43.93283,-90.11398
