,year,FIPS,office,state_x,dem_votes,rep_votes,county_x,total_votes,target,win_percentage,win_margin,skew,skew_diff,county_y,state_y
3142,2020,48427.0,PRESIDENT,TX,9123.0,8247.0,STARR,17370.0,0,52.52,2.52,-2.52,12.35,STARR,TX
3148,2020,48429.0,PRESIDENT,TX,397.0,3385.0,STEPHENS,3782.0,1,89.5,39.5,39.5,12.16,STEPHENS,TX
3154,2020,48431.0,PRESIDENT,TX,51.0,584.0,STERLING,635.0,1,91.97,41.97,41.97,6.224999999999998,STERLING,TX
3160,2020,48433.0,PRESIDENT,TX,116.0,615.0,STONEWALL,731.0,1,84.13,34.13,34.13,17.58,STONEWALL,TX
3166,2020,48435.0,PRESIDENT,TX,322.0,1222.0,SUTTON,1544.0,1,79.15,29.15,29.15,4.800000000000001,SUTTON,TX
3172,2020,48437.0,PRESIDENT,TX,478.0,1845.0,SWISHER,2323.0,1,79.42,29.42,29.42,11.035,SWISHER,TX
3178,2020,48439.0,PRESIDENT,TX,411567.0,409741.0,TARRANT,821308.0,0,50.11,0.11,-0.11,10.315,TARRANT,TX
3184,2020,48441.0,PRESIDENT,TX,14588.0,39547.0,TAYLOR,54135.0,1,73.05,23.05,23.05,3.1549999999999994,TAYLOR,TX
3190,2020,48443.0,PRESIDENT,TX,119.0,334.0,TERRELL,453.0,1,73.73,23.73,23.73,11.305,TERRELL,TX
3196,2020,48445.0,PRESIDENT,TX,757.0,2812.0,TERRY,3569.0,1,78.79,28.79,28.79,2.6499999999999986,TERRY,TX
3202,2020,48447.0,PRESIDENT,TX,82.0,806.0,THROCKMORTON,888.0,1,90.77,40.77,40.77,15.535000000000002,THROCKMORTON,TX
3208,2020,48449.0,PRESIDENT,TX,2856.0,7570.0,TITUS,10426.0,1,72.61,22.61,22.61,8.704999999999998,TITUS,TX
3214,2020,48451.0,PRESIDENT,TX,12239.0,32313.0,TOM GREEN,44552.0,1,72.53,22.53,22.53,2.7650000000000006,TOM GREEN,TX
3220,2020,48453.0,PRESIDENT,TX,435860.0,161337.0,TRAVIS,597197.0,0,72.98,22.98,-22.98,19.78,TRAVIS,TX
3226,2020,48455.0,PRESIDENT,TX,1323.0,5579.0,TRINITY,6902.0,1,80.83,30.83,30.83,18.884999999999998,TRINITY,TX
3232,2020,48457.0,PRESIDENT,TX,1403.0,8194.0,TYLER,9597.0,1,85.38,35.38,35.38,21.814999999999998,TYLER,TX
3238,2020,48459.0,PRESIDENT,TX,2877.0,15809.0,UPSHUR,18686.0,1,84.6,34.6,34.6,15.825,UPSHUR,TX
3244,2020,48461.0,PRESIDENT,TX,170.0,1178.0,UPTON,1348.0,1,87.39,37.39,37.39,1.8450000000000024,UPTON,TX
3250,2020,48463.0,PRESIDENT,TX,4073.0,6174.0,UVALDE,10247.0,1,60.25,10.25,10.25,1.85,UVALDE,TX
3256,2020,48465.0,PRESIDENT,TX,6771.0,8284.0,VAL VERDE,15055.0,1,55.02,5.02,5.02,6.88,VAL VERDE,TX
3262,2020,48467.0,PRESIDENT,TX,3516.0,22270.0,VAN ZANDT,25786.0,1,86.36,36.36,36.36,13.655000000000001,VAN ZANDT,TX
3268,2020,48469.0,PRESIDENT,TX,10380.0,23358.0,VICTORIA,33738.0,1,69.23,19.23,19.23,1.3049999999999997,VICTORIA,TX
3274,2020,48471.0,PRESIDENT,TX,7884.0,15375.0,WALKER,23259.0,1,66.1,16.1,16.1,1.634999999999999,WALKER,TX
3280,2020,48473.0,PRESIDENT,TX,8191.0,14260.0,WALLER,22451.0,1,63.52,13.52,13.52,9.84,WALLER,TX
3286,2020,48475.0,PRESIDENT,TX,764.0,3241.0,WARD,4005.0,1,80.92,30.92,30.92,7.265000000000001,WARD,TX
3292,2020,48477.0,PRESIDENT,TX,4261.0,12959.0,WASHINGTON,17220.0,1,75.26,25.26,25.26,1.745000000000001,WASHINGTON,TX
3298,2020,48479.0,PRESIDENT,TX,41820.0,25898.0,WEBB,67718.0,0,61.76,11.76,-11.76,11.56,WEBB,TX
3304,2020,48481.0,PRESIDENT,TX,4694.0,11926.0,WHARTON,16620.0,1,71.76,21.76,21.76,6.155,WHARTON,TX
3310,2020,48483.0,PRESIDENT,TX,168.0,2159.0,WHEELER,2327.0,1,92.78,42.78,42.78,13.195,WHEELER,TX
3316,2020,48485.0,PRESIDENT,TX,13161.0,32069.0,WICHITA,45230.0,1,70.9,20.9,20.9,5.1850000000000005,WICHITA,TX
3322,2020,48487.0,PRESIDENT,TX,956.0,3524.0,WILBARGER,4480.0,1,78.66,28.66,28.66,7.16,WILBARGER,TX
3328,2020,48489.0,PRESIDENT,TX,3108.0,2441.0,WILLACY,5549.0,0,56.01,6.01,-6.01,2.650000000000001,WILLACY,TX
3334,2020,48491.0,PRESIDENT,TX,143795.0,139729.0,WILLIAMSON,283524.0,0,50.72,0.72,-0.72,16.185000000000002,WILLIAMSON,TX
3340,2020,48493.0,PRESIDENT,TX,6350.0,18463.0,WILSON,24813.0,1,74.41,24.41,24.41,6.715000000000001,WILSON,TX
3346,2020,48495.0,PRESIDENT,TX,358.0,1753.0,WINKLER,2111.0,1,83.04,33.04,33.04,3.535,WINKLER,TX
3352,2020,48497.0,PRESIDENT,TX,4973.0,27032.0,WISE,32005.0,1,84.46,34.46,34.46,12.16,WISE,TX
3358,2020,48499.0,PRESIDENT,TX,3509.0,19049.0,WOOD,22558.0,1,84.44,34.44,34.44,11.209999999999999,WOOD,TX
3364,2020,48501.0,PRESIDENT,TX,420.0,2174.0,YOAKUM,2594.0,1,83.81,33.81,33.81,2.164999999999999,YOAKUM,TX
3370,2020,48503.0,PRESIDENT,TX,1034.0,7110.0,YOUNG,8144.0,1,87.3,37.3,37.3,11.445,YOUNG,TX
3376,2020,48505.0,PRESIDENT,TX,1826.0,2033.0,ZAPATA,3859.0,1,52.68,2.68,2.68,6.844999999999999,ZAPATA,TX
3382,2020,48507.0,PRESIDENT,TX,2864.0,1490.0,ZAVALA,4354.0,0,65.78,15.78,-15.78,5.3450000000000015,ZAVALA,TX
