,year,FIPS,office,state,dem_votes,rep_votes,county
0,2000,17045.0,PRESIDENT,IL,3216.0,4833.0,EDGAR
0,2000,17047.0,PRESIDENT,IL,978.0,2212.0,EDWARDS
0,2000,17049.0,PRESIDENT,IL,4225.0,9855.0,EFFINGHAM
0,2000,17051.0,PRESIDENT,IL,3886.0,5200.0,FAYETTE
0,2000,17053.0,PRESIDENT,IL,2090.0,3889.0,FORD
0,2000,17055.0,PRESIDENT,IL,10201.0,8490.0,FRANKLIN
0,2000,17057.0,PRESIDENT,IL,8940.0,6936.0,FULTON
0,2000,17059.0,PRESIDENT,IL,1878.0,1591.0,GALLATIN
0,2000,17061.0,PRESIDENT,IL,2490.0,3129.0,GREENE
0,2000,17063.0,PRESIDENT,IL,7516.0,8709.0,GRUNDY
0,2000,17065.0,PRESIDENT,IL,1943.0,2519.0,HAMILTON
0,2000,17067.0,PRESIDENT,IL,4256.0,5134.0,HANCOCK
0,2000,17069.0,PRESIDENT,IL,1184.0,1366.0,HARDIN
0,2000,17071.0,PRESIDENT,IL,2030.0,1708.0,HENDERSON
0,2000,17073.0,PRESIDENT,IL,11921.0,10896.0,HENRY
0,2000,17075.0,PRESIDENT,IL,4397.0,8685.0,IROQUOIS
0,2000,17077.0,PRESIDENT,IL,11773.0,9823.0,JACKSON
0,2000,17079.0,PRESIDENT,IL,1815.0,3119.0,JASPER
0,2000,17081.0,PRESIDENT,IL,6685.0,8362.0,JEFFERSON
0,2000,17083.0,PRESIDENT,IL,4355.0,4699.0,JERSEY
0,2000,17085.0,PRESIDENT,IL,4585.0,5304.0,JO DAVIESS
0,2000,17087.0,PRESIDENT,IL,1928.0,3285.0,JOHNSON
0,2000,17089.0,PRESIDENT,IL,60127.0,76996.0,KANE
0,2000,17091.0,PRESIDENT,IL,19180.0,20049.0,KANKAKEE
0,2000,17093.0,PRESIDENT,IL,8444.0,13688.0,KENDALL
0,2000,17095.0,PRESIDENT,IL,12572.0,9912.0,KNOX
0,2000,17097.0,PRESIDENT,IL,115058.0,120988.0,LAKE
0,2000,17099.0,PRESIDENT,IL,23355.0,21276.0,LASALLE
0,2000,17101.0,PRESIDENT,IL,2822.0,3594.0,LAWRENCE
0,2000,17103.0,PRESIDENT,IL,6111.0,8069.0,LEE
0,2000,17105.0,PRESIDENT,IL,5829.0,9187.0,LIVINGSTON
0,2000,17107.0,PRESIDENT,IL,4600.0,8141.0,LOGAN
