,year,FIPS,office,state,dem_votes,rep_votes,total_votes,target,win_margin,win_percentage,State,County [2],Population(2010),Land Areami²,Water Areami²,Total Areami²,Latitude,Longitude
126,2000,6043,PRESIDENT,CA,2816.0,4727.0,7543.0,1,12.670000000000002,62.67,CA,Mariposa,18251,1448.816,14.004,1462.820,37.57003,-119.91286
127,2004,6043,PRESIDENT,CA,3251.0,5215.0,8466.0,1,11.600000000000001,61.6,CA,Mariposa,18251,1448.816,14.004,1462.820,37.57003,-119.91286
128,2008,6043,PRESIDENT,CA,4100.0,5298.0,9398.0,1,6.369999999999997,56.37,CA,Mariposa,18251,1448.816,14.004,1462.820,37.57003,-119.91286
129,2012,6043,PRESIDENT,CA,3498.0,5140.0,8638.0,1,9.5,59.5,CA,Mariposa,18251,1448.816,14.004,1462.820,37.57003,-119.91286
130,2016,6043,PRESIDENT,CA,3122.0,5185.0,8307.0,1,12.420000000000002,62.42,CA,Mariposa,18251,1448.816,14.004,1462.820,37.57003,-119.91286
131,2020,6043,PRESIDENT,CA,4088.0,5950.0,10038.0,1,9.270000000000003,59.27,CA,Mariposa,18251,1448.816,14.004,1462.820,37.57003,-119.91286
132,2000,6045,PRESIDENT,CA,16634.0,12272.0,28906.0,0,7.549999999999997,57.55,CA,Mendocino,87841,3506.343,371.798,3878.141,39.43238,-123.44288
133,2004,6045,PRESIDENT,CA,24385.0,12955.0,37340.0,0,15.310000000000002,65.31,CA,Mendocino,87841,3506.343,371.798,3878.141,39.43238,-123.44288
134,2008,6045,PRESIDENT,CA,27843.0,10721.0,38564.0,0,22.200000000000003,72.2,CA,Mendocino,87841,3506.343,371.798,3878.141,39.43238,-123.44288
135,2012,6045,PRESIDENT,CA,23193.0,9658.0,32851.0,0,20.599999999999994,70.6,CA,Mendocino,87841,3506.343,371.798,3878.141,39.43238,-123.44288
136,2016,6045,PRESIDENT,CA,22079.0,10888.0,32967.0,0,16.97,66.97,CA,Mendocino,87841,3506.343,371.798,3878.141,39.43238,-123.44288
137,2020,6045,PRESIDENT,CA,28782.0,13267.0,42049.0,0,18.450000000000003,68.45,CA,Mendocino,87841,3506.343,371.798,3878.141,39.43238,-123.44288
138,2000,6047,PRESIDENT,CA,22726.0,26102.0,48828.0,1,3.460000000000001,53.46,CA,Merced,255793,1934.972,43.537,1978.509,37.1948,-120.7228
139,2004,6047,PRESIDENT,CA,24491.0,32773.0,57264.0,1,7.229999999999997,57.23,CA,Merced,255793,1934.972,43.537,1978.509,37.1948,-120.7228
140,2008,6047,PRESIDENT,CA,34031.0,28704.0,62735.0,0,4.25,54.25,CA,Merced,255793,1934.972,43.537,1978.509,37.1948,-120.7228
141,2012,6047,PRESIDENT,CA,33005.0,27581.0,60586.0,0,4.479999999999997,54.48,CA,Merced,255793,1934.972,43.537,1978.509,37.1948,-120.7228
142,2016,6047,PRESIDENT,CA,37317.0,28725.0,66042.0,0,6.5,56.5,CA,Merced,255793,1934.972,43.537,1978.509,37.1948,-120.7228
143,2020,6047,PRESIDENT,CA,48991.0,39397.0,88388.0,0,5.43,55.43,CA,Merced,255793,1934.972,43.537,1978.509,37.1948,-120.7228
144,2000,6049,PRESIDENT,CA,945.0,2969.0,3914.0,1,25.86,75.86,CA,Modoc,9686,3917.770,285.629,4203.399,41.59291,-120.71837
145,2004,6049,PRESIDENT,CA,1149.0,3235.0,4384.0,1,23.790000000000006,73.79,CA,Modoc,9686,3917.770,285.629,4203.399,41.59291,-120.71837
146,2008,6049,PRESIDENT,CA,1313.0,2981.0,4294.0,1,19.42,69.42,CA,Modoc,9686,3917.770,285.629,4203.399,41.59291,-120.71837
147,2012,6049,PRESIDENT,CA,1111.0,2777.0,3888.0,1,21.42,71.42,CA,Modoc,9686,3917.770,285.629,4203.399,41.59291,-120.71837
148,2016,6049,PRESIDENT,CA,877.0,2696.0,3573.0,1,25.450000000000003,75.45,CA,Modoc,9686,3917.770,285.629,4203.399,41.59291,-120.71837
149,2020,6049,PRESIDENT,CA,1150.0,3109.0,4259.0,1,23.0,73.0,CA,Modoc,9686,3917.770,285.629,4203.399,41.59291,-120.71837
150,2000,6051,PRESIDENT,CA,1788.0,2296.0,4084.0,1,6.219999999999999,56.22,CA,Mono,14202,3048.982,82.894,3131.876,37.91583,-118.87516
151,2004,6051,PRESIDENT,CA,2628.0,2621.0,5249.0,0,0.07000000000000028,50.07,CA,Mono,14202,3048.982,82.894,3131.876,37.91583,-118.87516
152,2008,6051,PRESIDENT,CA,3093.0,2354.0,5447.0,0,6.780000000000001,56.78,CA,Mono,14202,3048.982,82.894,3131.876,37.91583,-118.87516
153,2012,6051,PRESIDENT,CA,2733.0,2285.0,5018.0,0,4.460000000000001,54.46,CA,Mono,14202,3048.982,82.894,3131.876,37.91583,-118.87516
154,2016,6051,PRESIDENT,CA,2773.0,2111.0,4884.0,0,6.780000000000001,56.78,CA,Mono,14202,3048.982,82.894,3131.876,37.91583,-118.87516
155,2020,6051,PRESIDENT,CA,4013.0,2513.0,6526.0,0,11.490000000000002,61.49,CA,Mono,14202,3048.982,82.894,3131.876,37.91583,-118.87516
156,2000,6053,PRESIDENT,CA,67618.0,43761.0,111379.0,0,10.71,60.71,CA,Monterey,415057,3280.595,490.626,3771.221,36.2401,-121.31557
157,2004,6053,PRESIDENT,CA,75241.0,47838.0,123079.0,0,11.130000000000003,61.13,CA,Monterey,415057,3280.595,490.626,3771.221,36.2401,-121.31557
158,2008,6053,PRESIDENT,CA,88453.0,38797.0,127250.0,0,19.510000000000005,69.51,CA,Monterey,415057,3280.595,490.626,3771.221,36.2401,-121.31557
159,2012,6053,PRESIDENT,CA,82920.0,37390.0,120310.0,0,18.92,68.92,CA,Monterey,415057,3280.595,490.626,3771.221,36.2401,-121.31557
160,2016,6053,PRESIDENT,CA,89088.0,34895.0,123983.0,0,21.86,71.86,CA,Monterey,415057,3280.595,490.626,3771.221,36.2401,-121.31557
161,2020,6053,PRESIDENT,CA,113953.0,46299.0,160252.0,0,21.11,71.11,CA,Monterey,415057,3280.595,490.626,3771.221,36.2401,-121.31557
162,2000,6055,PRESIDENT,CA,28097.0,20633.0,48730.0,0,7.659999999999997,57.66,CA,Napa,136484,748.362,40.220,788.582,38.50735,-122.32599
163,2004,6055,PRESIDENT,CA,33666.0,22059.0,55725.0,0,10.409999999999997,60.41,CA,Napa,136484,748.362,40.220,788.582,38.50735,-122.32599
164,2008,6055,PRESIDENT,CA,38849.0,19484.0,58333.0,0,16.599999999999994,66.6,CA,Napa,136484,748.362,40.220,788.582,38.50735,-122.32599
165,2012,6055,PRESIDENT,CA,35870.0,19526.0,55396.0,0,14.75,64.75,CA,Napa,136484,748.362,40.220,788.582,38.50735,-122.32599
